"No.","Time","Source","Destination","Protocol","Length","Sequence Number","TCP Segment Len","Info"
"59","18.618562","fe80::4e9:7ecb:78c2:fe8e","ff02::1","UDP","72","","","59119  >  15118 Len=10"
"63","18.873384","fe80::4e9:7ecb:78c2:fe8e","ff02::1","UDP","72","","","59119  >  15118 Len=10"
"67","19.126336","fe80::4e9:7ecb:78c2:fe8e","ff02::1","UDP","72","","","59119  >  15118 Len=10"
"69","19.381631","fe80::4e9:7ecb:78c2:fe8e","ff02::1","UDP","72","","","59119  >  15118 Len=10"
"70","19.638329","fe80::4e9:7ecb:78c2:fe8e","ff02::1","UDP","72","","","59119  >  15118 Len=10"
"74","19.664017","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","UDP","90","","","15118  >  59119 Len=28"
"75","19.686794","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","UDP","90","","","15118  >  59119 Len=28"
"79","20.886392","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","98","0","0","57071  >  60645 [SYN, ECN, CWR] Seq=0 Win=65535 Len=0 MSS=1440 WS=64 TSval=803560258 TSecr=0 SACK_PERM=1"
"80","20.921711","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","98","0","0","60645  >  57071 [SYN, ACK, ECN] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=64 TSval=1394092122 TSecr=803560258 SACK_PERM=1"
"81","20.921823","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","1","0","57071  >  60645 [ACK] Seq=1 Ack=1 Win=131328 Len=0 TSval=803560293 TSecr=1394092122"
"82","20.958696","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","86","1","0","[TCP Window Update] 60645  >  57071 [ACK] Seq=1 Ack=1 Win=131328 Len=0 TSval=1394092184 TSecr=803560293"
"83","21.002668","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TLSv1.2","288","1","202","Client Hello"
"84","21.132373","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","86","1","0","60645  >  57071 [ACK] Seq=1 Ack=203 Win=131136 Len=0 TSval=1394092339 TSecr=803560372"
"85","21.165398","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TLSv1.2","176","1","90","Server Hello"
"86","21.165525","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","203","0","57071  >  60645 [ACK] Seq=203 Ack=91 Win=131264 Len=0 TSval=803560533 TSecr=1394092384"
"87","21.166953","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","1514","91","1428","60645  >  57071 [ACK] Seq=91 Ack=203 Win=131136 Len=1428 TSval=1394092384 TSecr=803560372 [TCP segment of a reassembled PDU]"
"88","21.166959","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TLSv1.2","96","1519","10","Certificate"
"89","21.167065","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","203","0","57071  >  60645 [ACK] Seq=203 Ack=1529 Win=129792 Len=0 TSval=803560534 TSecr=1394092384"
"90","21.171935","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TLSv1.2","207","1529","121","Server Key Exchange"
"91","21.172081","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","203","0","57071  >  60645 [ACK] Seq=203 Ack=1650 Win=129664 Len=0 TSval=803560538 TSecr=1394092398"
"92","21.181870","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TLSv1.2","95","1650","9","Server Hello Done"
"93","21.181977","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","203","0","57071  >  60645 [ACK] Seq=203 Ack=1659 Win=130880 Len=0 TSval=803560546 TSecr=1394092405"
"95","21.261078","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TLSv1.2","128","203","42","Client Key Exchange"
"96","21.301434","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","86","1659","0","60645  >  57071 [ACK] Seq=1659 Ack=245 Win=131072 Len=0 TSval=1394092509 TSecr=803560623"
"97","21.301533","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TLSv1.2","177","245","91","Change Cipher Spec, Encrypted Handshake Message"
"98","21.352293","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","86","1659","0","60645  >  57071 [ACK] Seq=1659 Ack=336 Win=131008 Len=0 TSval=1394092561 TSecr=803560662"
"99","21.352765","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TLSv1.2","92","1659","6","Change Cipher Spec"
"100","21.352837","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","336","0","57071  >  60645 [ACK] Seq=336 Ack=1665 Win=131008 Len=0 TSval=803560712 TSecr=1394092565"
"101","21.357241","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TLSv1.2","171","1665","85","Encrypted Handshake Message"
"102","21.357336","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","336","0","57071  >  60645 [ACK] Seq=336 Ack=1750 Win=130944 Len=0 TSval=803560716 TSecr=1394092582"
"103","21.437598","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TLSv1.2","187","336","101","Application Data"
"104","21.459665","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","86","1750","0","60645  >  57071 [ACK] Seq=1750 Ack=437 Win=130944 Len=0 TSval=1394092684 TSecr=803560796"
"105","21.822740","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TLSv1.2","155","1750","69","Application Data"
"106","21.822851","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","437","0","57071  >  60645 [ACK] Seq=437 Ack=1819 Win=130944 Len=0 TSval=803561180 TSecr=1394092785"
"107","21.845711","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","155","1750","69","[TCP Spurious Retransmission] 60645  >  57071 [PSH, ACK] Seq=1750 Ack=437 Win=131072 Len=69 TSval=1394092920 TSecr=803560796"
"108","21.845813","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","98","437","0","[TCP Window Update] 57071  >  60645 [ACK] Seq=437 Ack=1819 Win=131072 Len=0 TSval=803561202 TSecr=1394092920 SLE=1750 SRE=1819"
"109","22.006580","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TLSv1.2","171","437","85","Application Data"
"110","22.213244","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","171","437","85","[TCP Retransmission] 57071  >  60645 [PSH, ACK] Seq=437 Ack=1819 Win=131072 Len=85 TSval=803561568 TSecr=1394092920"
"111","22.231213","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","86","1819","0","60645  >  57071 [ACK] Seq=1819 Ack=522 Win=130944 Len=0 TSval=1394093262 TSecr=803561362"
"112","22.246135","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TLSv1.2","187","1819","101","Application Data"
"113","22.246240","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","522","0","57071  >  60645 [ACK] Seq=522 Ack=1920 Win=130944 Len=0 TSval=803561600 TSecr=1394093276"
"114","22.260624","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TLSv1.2","171","522","85","Application Data"
"115","22.266532","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","98","1920","0","[TCP Dup ACK 111#1] 60645  >  57071 [ACK] Seq=1920 Ack=522 Win=131072 Len=0 TSval=1394093480 TSecr=803561568 SLE=437 SRE=522"
"116","22.392017","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","86","1920","0","60645  >  57071 [ACK] Seq=1920 Ack=607 Win=130944 Len=0 TSval=1394093584 TSecr=803561614"
"117","22.414663","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TLSv1.2","251","1920","165","Application Data"
"118","22.414767","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","607","0","57071  >  60645 [ACK] Seq=607 Ack=2085 Win=130880 Len=0 TSval=803561767 TSecr=1394093600"
"119","22.587689","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TLSv1.2","171","607","85","Application Data"
"122","23.040050","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","86","2085","0","60645  >  57071 [ACK] Seq=2085 Ack=692 Win=130944 Len=0 TSval=1394094016 TSecr=803561938"
"123","23.041215","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TLSv1.2","171","2085","85","Application Data"
"124","23.041306","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","692","0","57071  >  60645 [ACK] Seq=692 Ack=2170 Win=130944 Len=0 TSval=803562391 TSecr=1394094028"
"125","23.378741","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","1514","692","1428","57071  >  60645 [ACK] Seq=692 Ack=2170 Win=131072 Len=1428 TSval=803562727 TSecr=1394094028 [TCP segment of a reassembled PDU]"
"126","23.378742","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TLSv1.2","183","2120","97","Application Data"
