"No.","Time","Source","Destination","Protocol","Length","Sequence Number","TCP Segment Len","Info"
"327","24.661954","fe80::4e9:7ecb:78c2:fe8e","ff02::1","UDP","72","","","63582  >  15118 Len=10"
"333","24.919415","fe80::4e9:7ecb:78c2:fe8e","ff02::1","UDP","72","","","63582  >  15118 Len=10"
"334","25.172249","fe80::4e9:7ecb:78c2:fe8e","ff02::1","UDP","72","","","63582  >  15118 Len=10"
"335","25.205396","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","UDP","90","","","15118  >  63582 Len=28"
"336","25.209459","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","UDP","90","","","15118  >  63582 Len=28"
"340","27.033057","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","98","0","0","56969  >  56585 [SYN, ECN, CWR] Seq=0 Win=65535 Len=0 MSS=1440 WS=64 TSval=801292286 TSecr=0 SACK_PERM=1"
"341","27.065912","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","98","0","0","56585  >  56969 [SYN, ACK, ECN] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=64 TSval=2868924597 TSecr=801292286 SACK_PERM=1"
"342","27.066008","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","1","0","56969  >  56585 [ACK] Seq=1 Ack=1 Win=131328 Len=0 TSval=801292891 TSecr=2868924597"
"343","27.071682","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","86","1","0","[TCP Window Update] 56585  >  56969 [ACK] Seq=1 Ack=1 Win=131328 Len=0 TSval=2868924605 TSecr=801292891"
"344","27.142048","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TLSv1.2","288","1","202","Client Hello"
"345","27.146939","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","86","1","0","56585  >  56969 [ACK] Seq=1 Ack=203 Win=131136 Len=0 TSval=2868924683 TSecr=801292966"
"346","27.204430","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TLSv1.2","176","1","90","Server Hello"
"347","27.204518","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","203","0","56969  >  56585 [ACK] Seq=203 Ack=91 Win=131264 Len=0 TSval=801293027 TSecr=2868924737"
"348","27.209855","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","1514","91","1428","56585  >  56969 [ACK] Seq=91 Ack=203 Win=131136 Len=1428 TSval=2868924737 TSecr=801292966 [TCP segment of a reassembled PDU]"
"349","27.210282","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TLSv1.2","96","1519","10","Certificate"
"350","27.210357","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","203","0","56969  >  56585 [ACK] Seq=203 Ack=1529 Win=129792 Len=0 TSval=801293032 TSecr=2868924737"
"351","27.215295","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TLSv1.2","206","1529","120","Server Key Exchange"
"352","27.215394","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","203","0","56969  >  56585 [ACK] Seq=203 Ack=1649 Win=130944 Len=0 TSval=801293037 TSecr=2868924751"
"353","27.220360","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TLSv1.2","95","1649","9","Server Hello Done"
"354","27.220467","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","203","0","56969  >  56585 [ACK] Seq=203 Ack=1658 Win=130880 Len=0 TSval=801293042 TSecr=2868924753"
"355","27.295221","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TLSv1.2","128","203","42","Client Key Exchange"
"356","27.301304","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","86","1658","0","56585  >  56969 [ACK] Seq=1658 Ack=245 Win=131072 Len=0 TSval=2868924834 TSecr=801293115"
"357","27.311209","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TLSv1.2","92","245","6","Change Cipher Spec"
"358","27.314432","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","86","1658","0","56585  >  56969 [ACK] Seq=1658 Ack=251 Win=131072 Len=0 TSval=2868924849 TSecr=801293129"
"359","27.314513","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TLSv1.2","171","251","85","Encrypted Handshake Message"
"360","27.316618","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","86","1658","0","56585  >  56969 [ACK] Seq=1658 Ack=336 Win=131008 Len=0 TSval=2868924852 TSecr=801293132"
"361","27.340421","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TLSv1.2","92","1658","6","Change Cipher Spec"
"362","27.340515","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","336","0","56969  >  56585 [ACK] Seq=336 Ack=1664 Win=131008 Len=0 TSval=801293157 TSecr=2868924860"
"363","27.343748","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TLSv1.2","171","1664","85","Encrypted Handshake Message"
"364","27.343834","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","336","0","56969  >  56585 [ACK] Seq=336 Ack=1749 Win=130944 Len=0 TSval=801293160 TSecr=2868924879"
"365","27.440436","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TLSv1.2","187","336","101","Application Data"
"366","27.455301","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","86","1749","0","56585  >  56969 [ACK] Seq=1749 Ack=437 Win=130944 Len=0 TSval=2868924990 TSecr=801293256"
"367","27.597903","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TLSv1.2","155","1749","69","Application Data"
"368","27.597978","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","437","0","56969  >  56585 [ACK] Seq=437 Ack=1818 Win=130944 Len=0 TSval=801293412 TSecr=2868925133"
"370","27.780674","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TLSv1.2","171","437","85","Application Data"
"371","27.785187","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","86","1818","0","56585  >  56969 [ACK] Seq=1818 Ack=522 Win=130944 Len=0 TSval=2868925320 TSecr=801293594"
"372","27.799491","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TLSv1.2","187","1818","101","Application Data"
