"No.","Time","Source address","Transmitter address","Receiver address","Destination address","Protocol","Length","Sequence number","Data Length","Duration","Duration","Starting Sequence Number","Info"
"2260","48.775482","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","33:33:00:00:00:01","802.11","160","1930","74","48","47\302\265s","","QoS Data, SN=1930, FN=0, Flags=.p.....TC"
"2262","48.885547","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","33:33:00:00:00:01","33:33:00:00:00:01","802.11","135","1445","74","0","272\302\265s","","Data, SN=1445, FN=0, Flags=.p....F.C"
"2278","49.690248","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","186","1931","100","48","51\302\265s","","QoS Data, SN=1931, FN=0, Flags=.p.....TC"
"2285","49.711771","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","186","302","100","112","51\302\265s","","QoS Data, SN=302, FN=0, Flags=.p....F.C"
"2286","49.713163","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","186","302","100","112","51\302\265s","","QoS Data, SN=302, FN=0, Flags=.p..R.F.C"
"2299","49.731114","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","174","1932","88","48","47\302\265s","","QoS Data, SN=1932, FN=0, Flags=.p.....TC"
"2301","49.732381","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","303","88","112","47\302\265s","","QoS Data, SN=303, FN=0, Flags=.p....F.C"
"2312","49.790899","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","376","1933","290","48","62\302\265s","","QoS Data, SN=1933, FN=0, Flags=.p.....TC"
"2314","49.791556","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","376","304","290","112","62\302\265s","","QoS Data, SN=304, FN=0, Flags=.p....F.C"
"2338","49.829208","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","170","1934","88","48","35\302\265s","","QoS Data, SN=1934, FN=0, Flags=.p.....TC"
"2339","49.829264","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","174","1935","88","48","7\302\265s","","QoS Data, SN=1935, FN=0, Flags=.p.....TC"
"2341","49.830115","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","170","305","88","112","35\302\265s","","QoS Data, SN=305, FN=0, Flags=.p....F.C"
"2342","49.830171","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","306","88","112","7\302\265s","","QoS Data, SN=306, FN=0, Flags=.p....F.C"
"2358","49.845595","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","174","1936","88","48","47\302\265s","","QoS Data, SN=1936, FN=0, Flags=.p.....TC"
"2360","49.847813","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","307","88","112","47\302\265s","","QoS Data, SN=307, FN=0, Flags=.p....F.C"
"2370","49.854195","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","174","1937","88","48","47\302\265s","","QoS Data, SN=1937, FN=0, Flags=.p.....TC"
"2372","49.855267","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","308","88","112","47\302\265s","","QoS Data, SN=308, FN=0, Flags=.p....F.C"
"2379","49.901892","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","216","1938","130","48","51\302\265s","","QoS Data, SN=1938, FN=0, Flags=.p.....TC"
"2381","49.909492","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","216","309","130","112","51\302\265s","","QoS Data, SN=309, FN=0, Flags=.p....F.C"
"2393","49.919641","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","265","1939","179","48","54\302\265s","","QoS Data, SN=1939, FN=0, Flags=.p.....TC"
"2395","49.920643","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","265","310","179","112","54\302\265s","","QoS Data, SN=310, FN=0, Flags=.p....F.C"
"2414","49.951056","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","174","1940","88","48","47\302\265s","","QoS Data, SN=1940, FN=0, Flags=.p.....TC"
