"No.","Time","Source address","Transmitter address","Receiver address","Destination address","Protocol","Length","Sequence number","Data Length","Duration","Duration","Starting Sequence Number","Info"
"2266","48.897606","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","178","2980","92","48","51\302\265s","","QoS Data, SN=2980, FN=0, Flags=.p.....TC"
"2270","48.898348","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","178","768","92","112","51\302\265s","","QoS Data, SN=768, FN=0, Flags=.p....F.C"
"2290","49.715637","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","186","2981","100","48","51\302\265s","","QoS Data, SN=2981, FN=0, Flags=.p.....TC"
"2292","49.720463","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","186","769","100","112","51\302\265s","","QoS Data, SN=769, FN=0, Flags=.p..R.F.C"
"2306","49.735254","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","174","770","88","112","47\302\265s","","QoS Data, SN=770, FN=0, Flags=.p....F.C"
"2321","49.800354","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","174","2983","88","48","47\302\265s","","QoS Data, SN=2983, FN=0, Flags=.p.....TC"
"2323","49.801164","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","174","771","88","112","47\302\265s","","QoS Data, SN=771, FN=0, Flags=.p....F.C"
"2327","49.826771","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","264","2984","178","48","54\302\265s","","QoS Data, SN=2984, FN=0, Flags=.p.....TC"
"2329","49.826924","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","1598","2985","1516","48","114\302\265s","","QoS Data, SN=2985, FN=0, Flags=.p.....TC"
"2330","49.826980","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","184","2986","98","48","7\302\265s","","QoS Data, SN=2986, FN=0, Flags=.p.....TC"
"2332","49.827958","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","260","772","178","112","42\302\265s","","QoS Data, SN=772, FN=0, Flags=.p....F.C"
