"No.","Time","Source","Destination","Protocol","Length","Sequence Number","TCP Segment Len","Info"
"122","13.931060","fe80::14d5:83a5:43c7:5ce8","ff02::1","UDP","72","","","57709  >  15118 Len=10"
"123","14.055571","fe80::aa:1623:2a4e:a858","fe80::14d5:83a5:43c7:5ce8","UDP","90","","","15118  >  57709 Len=28"
"124","14.836977","fe80::14d5:83a5:43c7:5ce8","fe80::aa:1623:2a4e:a858","TCP","98","0","0","56494  >  55033 [SYN, ECN, CWR] Seq=0 Win=65535 Len=0 MSS=1440 WS=64 TSval=3791922269 TSecr=0 SACK_PERM=1"
"125","14.877469","fe80::aa:1623:2a4e:a858","fe80::14d5:83a5:43c7:5ce8","TCP","98","0","0","55033  >  56494 [SYN, ACK, ECN] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=64 TSval=3807936667 TSecr=3791922269 SACK_PERM=1"
"126","14.877538","fe80::14d5:83a5:43c7:5ce8","fe80::aa:1623:2a4e:a858","TCP","86","1","0","56494  >  55033 [ACK] Seq=1 Ack=1 Win=131328 Len=0 TSval=3791922309 TSecr=3807936667"
"127","14.892295","fe80::aa:1623:2a4e:a858","fe80::14d5:83a5:43c7:5ce8","TCP","86","1","0","[TCP Window Update] 55033  >  56494 [ACK] Seq=1 Ack=1 Win=131328 Len=0 TSval=3807936686 TSecr=3791922309"
"128","14.945478","fe80::14d5:83a5:43c7:5ce8","fe80::aa:1623:2a4e:a858","TLSv1.2","288","1","202","Client Hello"
"129","14.958210","fe80::aa:1623:2a4e:a858","fe80::14d5:83a5:43c7:5ce8","TCP","86","1","0","55033  >  56494 [ACK] Seq=1 Ack=203 Win=131136 Len=0 TSval=3807936745 TSecr=3791922377"
"130","14.984961","fe80::aa:1623:2a4e:a858","fe80::14d5:83a5:43c7:5ce8","TLSv1.2","176","1","90","Server Hello"
"131","14.985092","fe80::aa:1623:2a4e:a858","fe80::14d5:83a5:43c7:5ce8","TCP","1514","91","1428","55033  >  56494 [ACK] Seq=91 Ack=203 Win=131136 Len=1428 TSval=3807936776 TSecr=3791922377 [TCP segment of a reassembled PDU]"
"132","14.985092","fe80::aa:1623:2a4e:a858","fe80::14d5:83a5:43c7:5ce8","TLSv1.2","96","1519","10","Certificate"
