"No.","Time","Source","Destination","Protocol","Length","Sequence Number","TCP Segment Len","Info"
"843","11.552349","fe80::14d5:83a5:43c7:5ce8","ff02::1","UDP","72","","","57115  >  15118 Len=10"
"853","11.697833","fe80::aa:1623:2a4e:a858","fe80::14d5:83a5:43c7:5ce8","UDP","90","","","15118  >  57115 Len=28"
"863","12.417457","fe80::14d5:83a5:43c7:5ce8","fe80::aa:1623:2a4e:a858","TCP","98","0","0","57647  >  64036 [SYN] Seq=0 Win=65535 Len=0 MSS=1440 WS=64 TSval=3327976439 TSecr=0 SACK_PERM=1"
"866","12.482794","fe80::aa:1623:2a4e:a858","fe80::14d5:83a5:43c7:5ce8","TCP","98","0","0","64036  >  57647 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=64 TSval=3800872124 TSecr=3327976439 SACK_PERM=1"
"867","12.482889","fe80::14d5:83a5:43c7:5ce8","fe80::aa:1623:2a4e:a858","TCP","86","1","0","57647  >  64036 [ACK] Seq=1 Ack=1 Win=131328 Len=0 TSval=3327976505 TSecr=3800872124"
"868","12.518339","fe80::aa:1623:2a4e:a858","fe80::14d5:83a5:43c7:5ce8","TCP","86","1","0","[TCP Window Update] 64036  >  57647 [ACK] Seq=1 Ack=1 Win=131328 Len=0 TSval=3800872160 TSecr=3327976505"
"869","12.547683","fe80::14d5:83a5:43c7:5ce8","fe80::aa:1623:2a4e:a858","TLSv1.2","288","1","202","Client Hello"
"870","12.580690","fe80::aa:1623:2a4e:a858","fe80::14d5:83a5:43c7:5ce8","TCP","86","1","0","64036  >  57647 [ACK] Seq=1 Ack=203 Win=131136 Len=0 TSval=3800872222 TSecr=3327976570"
"871","12.614833","fe80::aa:1623:2a4e:a858","fe80::14d5:83a5:43c7:5ce8","TLSv1.2","176","1","90","Server Hello"
"872","12.614903","fe80::14d5:83a5:43c7:5ce8","fe80::aa:1623:2a4e:a858","TCP","86","203","0","57647  >  64036 [ACK] Seq=203 Ack=91 Win=131264 Len=0 TSval=3327976637 TSecr=3800872256"
"873","12.615004","fe80::aa:1623:2a4e:a858","fe80::14d5:83a5:43c7:5ce8","TCP","1514","91","1428","64036  >  57647 [ACK] Seq=91 Ack=203 Win=131136 Len=1428 TSval=3800872256 TSecr=3327976570 [TCP segment of a reassembled PDU]"
"874","12.615004","fe80::aa:1623:2a4e:a858","fe80::14d5:83a5:43c7:5ce8","TLSv1.2","96","1519","10","Certificate"
"875","12.615030","fe80::14d5:83a5:43c7:5ce8","fe80::aa:1623:2a4e:a858","TCP","86","203","0","57647  >  64036 [ACK] Seq=203 Ack=1529 Win=129792 Len=0 TSval=3327976637 TSecr=3800872256"
"877","12.649817","fe80::aa:1623:2a4e:a858","fe80::14d5:83a5:43c7:5ce8","TLSv1.2","215","1529","129","Server Key Exchange, Server Hello Done"
"879","12.649915","fe80::14d5:83a5:43c7:5ce8","fe80::aa:1623:2a4e:a858","TCP","86","203","0","57647  >  64036 [ACK] Seq=203 Ack=1658 Win=130880 Len=0 TSval=3327976672 TSecr=3800872290"
"880","12.696336","fe80::14d5:83a5:43c7:5ce8","fe80::aa:1623:2a4e:a858","TLSv1.2","128","203","42","Client Key Exchange"
"881","12.729796","fe80::aa:1623:2a4e:a858","fe80::14d5:83a5:43c7:5ce8","TCP","86","1658","0","64036  >  57647 [ACK] Seq=1658 Ack=245 Win=131072 Len=0 TSval=3800872371 TSecr=3327976718"
"882","12.729862","fe80::14d5:83a5:43c7:5ce8","fe80::aa:1623:2a4e:a858","TLSv1.2","177","245","91","Change Cipher Spec, Encrypted Handshake Message"
"883","12.762771","fe80::aa:1623:2a4e:a858","fe80::14d5:83a5:43c7:5ce8","TCP","86","1658","0","64036  >  57647 [ACK] Seq=1658 Ack=336 Win=131008 Len=0 TSval=3800872404 TSecr=3327976752"
"884","12.762916","fe80::aa:1623:2a4e:a858","fe80::14d5:83a5:43c7:5ce8","TLSv1.2","92","1658","6","Change Cipher Spec"
"885","12.762963","fe80::14d5:83a5:43c7:5ce8","fe80::aa:1623:2a4e:a858","TCP","86","336","0","57647  >  64036 [ACK] Seq=336 Ack=1664 Win=131008 Len=0 TSval=3327976785 TSecr=3800872409"
"886","12.798647","fe80::aa:1623:2a4e:a858","fe80::14d5:83a5:43c7:5ce8","TLSv1.2","171","1664","85","Encrypted Handshake Message"
"887","12.798758","fe80::14d5:83a5:43c7:5ce8","fe80::aa:1623:2a4e:a858","TCP","86","336","0","57647  >  64036 [ACK] Seq=336 Ack=1749 Win=130944 Len=0 TSval=3327976821 TSecr=3800872438"
"889","12.885262","fe80::14d5:83a5:43c7:5ce8","fe80::aa:1623:2a4e:a858","TLSv1.2","187","336","101","Application Data"
"891","12.892047","fe80::aa:1623:2a4e:a858","fe80::14d5:83a5:43c7:5ce8","TCP","86","1749","0","64036  >  57647 [ACK] Seq=1749 Ack=437 Win=130944 Len=0 TSval=3800872560 TSecr=3327976907"
"892","13.015317","fe80::aa:1623:2a4e:a858","fe80::14d5:83a5:43c7:5ce8","TLSv1.2","155","1749","69","Application Data"
"893","13.015422","fe80::14d5:83a5:43c7:5ce8","fe80::aa:1623:2a4e:a858","TCP","86","437","0","57647  >  64036 [ACK] Seq=437 Ack=1818 Win=130944 Len=0 TSval=3327977037 TSecr=3800872657"
"896","13.154295","fe80::14d5:83a5:43c7:5ce8","fe80::aa:1623:2a4e:a858","TLSv1.2","171","437","85","Application Data"
"897","13.158618","fe80::aa:1623:2a4e:a858","fe80::14d5:83a5:43c7:5ce8","TCP","86","1818","0","64036  >  57647 [ACK] Seq=1818 Ack=522 Win=130944 Len=0 TSval=3800872829 TSecr=3327977176"
"898","13.193066","fe80::aa:1623:2a4e:a858","fe80::14d5:83a5:43c7:5ce8","TLSv1.2","187","1818","101","Application Data"
"899","13.193138","fe80::14d5:83a5:43c7:5ce8","fe80::aa:1623:2a4e:a858","TCP","86","522","0","57647  >  64036 [ACK] Seq=522 Ack=1919 Win=130944 Len=0 TSval=3327977215 TSecr=3800872854"
"900","13.201713","fe80::14d5:83a5:43c7:5ce8","fe80::aa:1623:2a4e:a858","TLSv1.2","171","522","85","Application Data"
"901","13.205413","fe80::aa:1623:2a4e:a858","fe80::14d5:83a5:43c7:5ce8","TCP","86","1919","0","64036  >  57647 [ACK] Seq=1919 Ack=607 Win=130944 Len=0 TSval=3800872876 TSecr=3327977224"
"902","13.213387","fe80::aa:1623:2a4e:a858","fe80::14d5:83a5:43c7:5ce8","TLSv1.2","251","1919","165","Application Data"
"903","13.213457","fe80::14d5:83a5:43c7:5ce8","fe80::aa:1623:2a4e:a858","TCP","86","607","0","57647  >  64036 [ACK] Seq=607 Ack=2084 Win=130880 Len=0 TSval=3327977235 TSecr=3800872884"
"904","13.381350","fe80::14d5:83a5:43c7:5ce8","fe80::aa:1623:2a4e:a858","TLSv1.2","171","607","85","Application Data"
"905","13.385373","fe80::aa:1623:2a4e:a858","fe80::14d5:83a5:43c7:5ce8","TCP","86","2084","0","64036  >  57647 [ACK] Seq=2084 Ack=692 Win=130944 Len=0 TSval=3800873056 TSecr=3327977403"
"906","13.398022","fe80::aa:1623:2a4e:a858","fe80::14d5:83a5:43c7:5ce8","TLSv1.2","171","2084","85","Application Data"
"907","13.398093","fe80::14d5:83a5:43c7:5ce8","fe80::aa:1623:2a4e:a858","TCP","86","692","0","57647  >  64036 [ACK] Seq=692 Ack=2169 Win=130944 Len=0 TSval=3327977420 TSecr=3800873069"
"910","13.571805","fe80::14d5:83a5:43c7:5ce8","fe80::aa:1623:2a4e:a858","TCP","1514","692","1428","57647  >  64036 [ACK] Seq=692 Ack=2169 Win=131072 Len=1428 TSval=3327977594 TSecr=3800873069 [TCP segment of a reassembled PDU]"
"911","13.571872","fe80::14d5:83a5:43c7:5ce8","fe80::aa:1623:2a4e:a858","TLSv1.2","183","2120","97","Application Data"
"912","13.576583","fe80::aa:1623:2a4e:a858","fe80::14d5:83a5:43c7:5ce8","TCP","86","2169","0","64036  >  57647 [ACK] Seq=2169 Ack=2217 Win=129536 Len=0 TSval=3800873247 TSecr=3327977594"
"913","13.629551","fe80::aa:1623:2a4e:a858","fe80::14d5:83a5:43c7:5ce8","TLSv1.2","187","2169","101","Application Data"
"914","13.629651","fe80::14d5:83a5:43c7:5ce8","fe80::aa:1623:2a4e:a858","TCP","86","2217","0","57647  >  64036 [ACK] Seq=2217 Ack=2270 Win=130944 Len=0 TSval=3327977651 TSecr=3800873300"
"915","13.726831","fe80::14d5:83a5:43c7:5ce8","fe80::aa:1623:2a4e:a858","TLSv1.2","459","2217","373","Application Data"
"916","13.733484","fe80::aa:1623:2a4e:a858","fe80::14d5:83a5:43c7:5ce8","TCP","86","2270","0","64036  >  57647 [ACK] Seq=2270 Ack=2590 Win=130688 Len=0 TSval=3800873402 TSecr=3327977749"
"917","13.758924","fe80::aa:1623:2a4e:a858","fe80::14d5:83a5:43c7:5ce8","TLSv1.2","171","2270","85","Application Data"
"918","13.759026","fe80::14d5:83a5:43c7:5ce8","fe80::aa:1623:2a4e:a858","TCP","86","2590","0","57647  >  64036 [ACK] Seq=2590 Ack=2355 Win=130944 Len=0 TSval=3327977781 TSecr=3800873429"
"919","13.773855","fe80::14d5:83a5:43c7:5ce8","fe80::aa:1623:2a4e:a858","TLSv1.2","187","2590","101","Application Data"
"920","13.788944","fe80::aa:1623:2a4e:a858","fe80::14d5:83a5:43c7:5ce8","TCP","86","2355","0","64036  >  57647 [ACK] Seq=2355 Ack=2691 Win=130944 Len=0 TSval=3800873459 TSecr=3327977796"
"921","13.818929","fe80::aa:1623:2a4e:a858","fe80::14d5:83a5:43c7:5ce8","TLSv1.2","491","2355","405","Application Data"
"922","13.819034","fe80::14d5:83a5:43c7:5ce8","fe80::aa:1623:2a4e:a858","TCP","86","2691","0","57647  >  64036 [ACK] Seq=2691 Ack=2760 Win=130624 Len=0 TSval=3327977841 TSecr=3800873489"
"923","13.900756","fe80::14d5:83a5:43c7:5ce8","fe80::aa:1623:2a4e:a858","TLSv1.2","171","2691","85","Application Data"
"924","13.907094","fe80::aa:1623:2a4e:a858","fe80::14d5:83a5:43c7:5ce8","TCP","86","2760","0","64036  >  57647 [ACK] Seq=2760 Ack=2776 Win=130944 Len=0 TSval=3800873575 TSecr=3327977923"
"925","13.917790","fe80::aa:1623:2a4e:a858","fe80::14d5:83a5:43c7:5ce8","TLSv1.2","171","2760","85","Application Data"
"926","13.917892","fe80::14d5:83a5:43c7:5ce8","fe80::aa:1623:2a4e:a858","TCP","86","2776","0","57647  >  64036 [ACK] Seq=2776 Ack=2845 Win=130944 Len=0 TSval=3327977940 TSecr=3800873588"
"927","13.928135","fe80::14d5:83a5:43c7:5ce8","fe80::aa:1623:2a4e:a858","TLSv1.2","171","2776","85","Application Data"
"928","13.932494","fe80::aa:1623:2a4e:a858","fe80::14d5:83a5:43c7:5ce8","TCP","86","2845","0","64036  >  57647 [ACK] Seq=2845 Ack=2861 Win=130944 Len=0 TSval=3800873603 TSecr=3327977950"
"929","13.943837","fe80::aa:1623:2a4e:a858","fe80::14d5:83a5:43c7:5ce8","TLSv1.2","203","2845","117","Application Data"
"930","13.943947","fe80::14d5:83a5:43c7:5ce8","fe80::aa:1623:2a4e:a858","TCP","86","2861","0","57647  >  64036 [ACK] Seq=2861 Ack=2962 Win=130944 Len=0 TSval=3327977966 TSecr=3800873614"
"953","15.967293","fe80::14d5:83a5:43c7:5ce8","fe80::aa:1623:2a4e:a858","TLSv1.2","171","2861","85","Application Data"
"954","16.038084","fe80::aa:1623:2a4e:a858","fe80::14d5:83a5:43c7:5ce8","TCP","86","2962","0","64036  >  57647 [ACK] Seq=2962 Ack=2946 Win=130944 Len=0 TSval=3800875708 TSecr=3327979989"
"955","16.048903","fe80::aa:1623:2a4e:a858","fe80::14d5:83a5:43c7:5ce8","TLSv1.2","203","2962","117","Application Data"
"956","16.049006","fe80::14d5:83a5:43c7:5ce8","fe80::aa:1623:2a4e:a858","TCP","86","2946","0","57647  >  64036 [ACK] Seq=2946 Ack=3079 Win=130944 Len=0 TSval=3327980071 TSecr=3800875719"
"1033","18.066706","fe80::14d5:83a5:43c7:5ce8","fe80::aa:1623:2a4e:a858","TLSv1.2","171","2946","85","Application Data"
