"No.","Time","Source address","Transmitter address","Receiver address","Destination address","Protocol","Length","Sequence number","Data Length","Duration","Duration","Starting Sequence Number","Info"
"38","0.236420","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2132","802.11 Block Ack, Flags=........C"
"105","1.565621","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2133","802.11 Block Ack, Flags=........C"
"116","1.619569","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2134","802.11 Block Ack, Flags=........C"
"161","2.562283","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2135","802.11 Block Ack, Flags=........C"
"163","2.562444","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2136","802.11 Block Ack, Flags=........C"
"175","2.651425","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2137","802.11 Block Ack, Flags=........C"
"204","2.766144","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2138","802.11 Block Ack, Flags=........C"
"212","2.774773","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2139","802.11 Block Ack, Flags=........C"
"239","2.990103","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2140","802.11 Block Ack, Flags=........C"
"257","3.200491","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2141","802.11 Block Ack, Flags=........C"
"271","3.412587","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2142","802.11 Block Ack, Flags=........C"
"284","3.621191","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2143","802.11 Block Ack, Flags=........C"
"298","3.833109","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2144","802.11 Block Ack, Flags=........C"
"314","3.952266","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","28","68\302\265s","2145","802.11 Block Ack, Flags=........C"
"316","3.952429","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","28","68\302\265s","2146","802.11 Block Ack, Flags=........C"
"318","3.952540","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","28","68\302\265s","2147","802.11 Block Ack, Flags=........C"
"320","3.952694","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","28","68\302\265s","2148","802.11 Block Ack, Flags=........C"
"334","4.125442","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2149","802.11 Block Ack, Flags=........C"
"348","4.215120","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2150","802.11 Block Ack, Flags=........C"
"360","4.244332","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","28","68\302\265s","2151","802.11 Block Ack, Flags=........C"
"368","4.436580","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2152","802.11 Block Ack, Flags=........C"
"371","4.437181","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2153","802.11 Block Ack, Flags=........C"
"406","4.581856","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2154","802.11 Block Ack, Flags=........C"
"526","5.062117","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2155","802.11 Block Ack, Flags=........C"
"722","6.668184","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2156","802.11 Block Ack, Flags=........C"
"725","6.672250","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2157","802.11 Block Ack, Flags=........C"
"776","7.579971","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2158","802.11 Block Ack, Flags=........C"
"792","7.759158","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2159","802.11 Block Ack, Flags=........C"
"795","7.763842","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2160","802.11 Block Ack, Flags=........C"
"798","7.764013","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2161","802.11 Block Ack, Flags=........C"
"811","7.796054","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2162","802.11 Block Ack, Flags=........C"
"855","8.637079","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2163","802.11 Block Ack, Flags=........C"
"857","8.637193","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2164","802.11 Block Ack, Flags=........C"
"873","8.646194","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2165","802.11 Block Ack, Flags=........C"
"876","8.648267","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2166","802.11 Block Ack, Flags=........C"
"888","8.806356","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2168","802.11 Block Ack, Flags=........C"
"901","8.844868","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2170","802.11 Block Ack, Flags=........C"
"947","9.737506","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2171","802.11 Block Ack, Flags=........C"
"950","9.740859","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2172","802.11 Block Ack, Flags=........C"
"952","9.740972","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2173","802.11 Block Ack, Flags=........C"
"964","9.772410","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2174","802.11 Block Ack, Flags=........C"
"977","9.881654","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2175","802.11 Block Ack, Flags=........C"
"987","9.991902","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2176","802.11 Block Ack, Flags=........C"
"990","9.996552","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2177","802.11 Block Ack, Flags=........C"
"992","9.996671","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2178","802.11 Block Ack, Flags=........C"
"1003","10.028783","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2179","802.11 Block Ack, Flags=........C"
"1009","10.069232","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2180","802.11 Block Ack, Flags=........C"
"1011","10.069345","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2181","802.11 Block Ack, Flags=........C"
"1066","11.122937","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2182","802.11 Block Ack, Flags=........C"
"1072","11.243193","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2183","802.11 Block Ack, Flags=........C"
"1089","11.453229","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","28","68\302\265s","2184","802.11 Block Ack, Flags=........C"
"1102","11.665297","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2185","802.11 Block Ack, Flags=........C"
"1112","11.731813","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","28","68\302\265s","2186","802.11 Block Ack, Flags=........C"
"1130","11.878199","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2187","802.11 Block Ack, Flags=........C"
"1135","11.927574","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2188","802.11 Block Ack, Flags=........C"
"1137","11.928157","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2188","802.11 Block Ack, Flags=........C"
"1144","11.929345","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2189","802.11 Block Ack, Flags=........C"
"1152","11.960281","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2190","802.11 Block Ack, Flags=........C"
"1162","12.018727","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2191","802.11 Block Ack, Flags=........C"
"1171","12.093670","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2192","802.11 Block Ack, Flags=........C"
"1189","12.309246","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2193","802.11 Block Ack, Flags=........C"
"1212","12.523481","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2194","802.11 Block Ack, Flags=........C"
"1215","12.525071","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2195","802.11 Block Ack, Flags=........C"
"1238","12.803474","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2196","802.11 Block Ack, Flags=........C"
"1256","12.854653","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2197","802.11 Block Ack, Flags=........C"
"1258","12.854820","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2198","802.11 Block Ack, Flags=........C"
"1273","12.919169","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2199","802.11 Block Ack, Flags=........C"
"1281","12.927569","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2200","802.11 Block Ack, Flags=........C"
"1288","12.937439","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","28","68\302\265s","2201","802.11 Block Ack, Flags=........C"
"1291","12.942040","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","28","68\302\265s","2202","802.11 Block Ack, Flags=........C"
"1293","12.942198","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","28","68\302\265s","2203","802.11 Block Ack, Flags=........C"
"1304","12.966538","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2204","802.11 Block Ack, Flags=........C"
"1307","12.966710","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2205","802.11 Block Ack, Flags=........C"
"1319","12.977597","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2207","802.11 Block Ack, Flags=........C"
"1321","12.977712","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2208","802.11 Block Ack, Flags=........C"
"1337","13.007400","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2209","802.11 Block Ack, Flags=........C"
"1344","13.009642","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2210","802.11 Block Ack, Flags=........C"
"1348","13.018334","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2211","802.11 Block Ack, Flags=........C"
"1350","13.018453","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2212","802.11 Block Ack, Flags=........C"
"1358","13.036657","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2213","802.11 Block Ack, Flags=........C"
"1360","13.036878","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2214","802.11 Block Ack, Flags=........C"
"1375","13.064471","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2215","802.11 Block Ack, Flags=........C"
"1378","13.081658","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2216","802.11 Block Ack, Flags=........C"
"1382","13.109353","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2217","802.11 Block Ack, Flags=........C"
"1395","13.126928","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2218","802.11 Block Ack, Flags=........C"
"1398","13.136129","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2219","802.11 Block Ack, Flags=........C"
"1409","13.154610","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2220","802.11 Block Ack, Flags=........C"
"1467","13.251268","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","28","68\302\265s","2221","802.11 Block Ack, Flags=........C"
"1469","13.251424","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","28","68\302\265s","2222","802.11 Block Ack, Flags=........C"
"1472","13.251595","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","28","68\302\265s","2223","802.11 Block Ack, Flags=........C"
"1475","13.280250","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2225","802.11 Block Ack, Flags=........C"
"1486","13.293949","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2226","802.11 Block Ack, Flags=........C"
"1497","13.317782","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2227","802.11 Block Ack, Flags=........C"
"1499","13.317895","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2228","802.11 Block Ack, Flags=........C"
"1509","13.414167","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2229","802.11 Block Ack, Flags=........C"
"1516","13.417505","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2230","802.11 Block Ack, Flags=........C"
"1527","13.419752","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2231","802.11 Block Ack, Flags=........C"
"1546","13.427800","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2232","802.11 Block Ack, Flags=........C"
"1552","13.436889","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2233","802.11 Block Ack, Flags=........C"
"1555","13.443449","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2236","802.11 Block Ack, Flags=........C"
"1566","13.445488","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2237","802.11 Block Ack, Flags=........C"
