"No.","Time","Source address","Transmitter address","Receiver address","Destination address","Protocol","Length","Sequence number","Data Length","Duration","Duration","Starting Sequence Number","Info"
"3257","23.541691","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","178","1153","92","112","51\302\265s","","QoS Data, SN=1153, FN=0, Flags=.p....F.C"
"6076","38.326251","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","33:33:00:00:00:01","802.11","160","3670","74","48","47\302\265s","","QoS Data, SN=3670, FN=0, Flags=.p.....TC"
"6082","38.398956","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","33:33:00:00:00:01","33:33:00:00:00:01","802.11","135","1144","74","0","272\302\265s","","Data, SN=1144, FN=0, Flags=.p....F.C"
"6110","38.438109","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","174","133","88","48","47\302\265s","","QoS Data, SN=133, FN=0, Flags=.p.....TC"
"6116","38.438708","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","1156","88","112","47\302\265s","","QoS Data, SN=1156, FN=0, Flags=.p....F.C"
"6202","39.192505","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","186","3679","100","48","51\302\265s","","QoS Data, SN=3679, FN=0, Flags=.p.....TC"
"6212","39.223218","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","186","1157","100","112","51\302\265s","","QoS Data, SN=1157, FN=0, Flags=.p....F.C"
"6224","39.256588","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","174","3680","88","48","47\302\265s","","QoS Data, SN=3680, FN=0, Flags=.p.....TC"
"6227","39.259076","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","1158","88","112","47\302\265s","","QoS Data, SN=1158, FN=0, Flags=.p....F.C"
"6245","39.321519","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","376","3681","290","48","62\302\265s","","QoS Data, SN=3681, FN=0, Flags=.p.....TC"
"6247","39.322003","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","376","1159","290","112","62\302\265s","","QoS Data, SN=1159, FN=0, Flags=.p....F.C"
"6274","39.388655","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","174","3682","88","48","47\302\265s","","QoS Data, SN=3682, FN=0, Flags=.p.....TC"
