"No.","Time","Source address","Transmitter address","Receiver address","Destination address","Protocol","Length","Sequence number","Data Length","Duration","Duration","Starting Sequence Number","Info"
"1466","13.251211","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","178","2221","92","112","51\302\265s","","QoS Data, SN=2221, FN=0, Flags=.p....F.C"
"1468","13.251324","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","198","2222","112","112","51\302\265s","","QoS Data, SN=2222, FN=0, Flags=.p....F.C"
"1470","13.251481","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","226","2223","144","112","39\302\265s","","QoS Data, SN=2223, FN=0, Flags=.p....F.C"
"1471","13.251538","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","250","2224","164","112","14\302\265s","","QoS Data, SN=2224, FN=0, Flags=.p....F.C"
"3262","23.542011","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","218","2418","132","112","51\302\265s","","QoS Data, SN=2418, FN=0, Flags=.p....F.C"
"6105","38.437257","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","174","2911","88","112","47\302\265s","","QoS Data, SN=2911, FN=0, Flags=.p....F.C"
"6121","38.439980","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","178","453","92","48","52\302\265s","","QoS Data, SN=453, FN=0, Flags=.p.....TC"
"6127","38.470931","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","174","2912","92","112","39\302\265s","","QoS Data, SN=2912, FN=0, Flags=.p....F.C"
"6217","39.224945","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","186","454","100","48","52\302\265s","","QoS Data, SN=454, FN=0, Flags=.p.....TC"
"6232","39.260529","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","174","455","88","48","48\302\265s","","QoS Data, SN=455, FN=0, Flags=.p.....TC"
