"No.","Time","Source address","Transmitter address","Receiver address","Destination address","Protocol","Length","Sequence number","Data Length","Duration","Starting Sequence Number","Type/Subtype","Priority","Info"
"85397","39.770368","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","33:33:00:00:00:01","802.11","137","1132","74","314","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1132, FN=0, Flags=.p.....TC"
"85405","39.777144","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","33:33:00:00:00:01","802.11","137","1132","74","314","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1132, FN=0, Flags=.p..R..TC"
"85406","39.778798","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","33:33:00:00:00:01","802.11","137","1132","74","314","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1132, FN=0, Flags=.p..R..TC"
"85606","39.822663","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","33:33:00:00:00:01","802.11","137","1132","74","314","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1132, FN=0, Flags=.p..R..TC"
"85649","39.839065","20:16:b9:9c:1d:b9","78:44:76:db:82:78","33:33:00:00:00:01","33:33:00:00:00:01","802.11","135","1382","74","0","","Data","","Data, SN=1382, FN=0, Flags=.p....F.C"
"85953","39.909233","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","151","1133","88","314","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1133, FN=0, Flags=.p.....TC"
"86007","39.918899","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","3646","88","148","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3646, FN=0, Flags=.p....F.C"
"87925","40.314529","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","159","1134","96","314","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1134, FN=0, Flags=.p.....TC"
"87933","40.350092","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","182","3647","96","148","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3647, FN=0, Flags=.p....F.C"
"88144","40.374487","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","151","1135","88","314","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1135, FN=0, Flags=.p.....TC"
"88261","40.392874","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","3648","88","148","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3648, FN=0, Flags=.p....F.C"
"88299","40.402442","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","353","1136","290","314","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1136, FN=0, Flags=.p.....TC"
"88303","40.406157","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","353","1136","290","314","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1136, FN=0, Flags=.p..R..TC"
"88309","40.407347","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","376","3649","290","148","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3649, FN=0, Flags=.p....F.C"
"89770","40.666179","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","151","1137","88","258","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1137, FN=0, Flags=.p.....TC"
"89982","40.692840","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","151","1138","88","258","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1138, FN=0, Flags=.p..R..TC"
"90528","40.771059","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","3651","88","148","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3651, FN=0, Flags=.p....F.C"
"93160","41.205218","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","151","1139","88","258","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1139, FN=0, Flags=.p.....TC"
"93177","41.218094","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","193","1140","130","258","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1140, FN=0, Flags=.p.....TC"
"93186","41.218703","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","3653","88","148","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3653, FN=0, Flags=.p....F.C"
"93188","41.218857","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","216","3654","130","148","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3654, FN=0, Flags=.p....F.C"
"93568","41.281783","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","242","1141","179","258","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1141, FN=0, Flags=.p.....TC"
"93573","41.284387","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","265","3655","179","148","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3655, FN=0, Flags=.p....F.C"
"94547","41.435386","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","151","1142","88","258","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1142, FN=0, Flags=.p.....TC"
"94665","41.461267","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","3656","88","148","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3656, FN=0, Flags=.p....F.C"
"94801","41.489960","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","151","1143","88","258","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1143, FN=0, Flags=.p.....TC"
"94913","41.508036","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","3657","88","148","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3657, FN=0, Flags=.p....F.C"
"94997","41.523297","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","252","1144","189","258","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1144, FN=0, Flags=.p.....TC"
"96558","41.800971","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","151","1145","88","258","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1145, FN=0, Flags=.p.....TC"
"96837","41.839652","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","236","1146","173","223","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1146, FN=0, Flags=.p.....TC"
"96845","41.847777","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","259","3661","173","148","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3661, FN=0, Flags=.p....F.C"
"97505","41.941681","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","151","1147","88","223","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1147, FN=0, Flags=.p.....TC"
"97566","41.950758","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","236","1148","173","223","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1148, FN=0, Flags=.p.....TC"
"97585","41.959648","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","3662","88","84","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3662, FN=0, Flags=.p....F.C"
"97613","41.966495","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","259","3663","173","148","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3663, FN=0, Flags=.p....F.C"
"97697","41.971548","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","259","3663","173","148","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3663, FN=0, Flags=.p..R.F.C"
"98285","42.058062","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","151","1149","88","223","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1149, FN=0, Flags=.p.....TC"
"98358","42.068539","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","236","1150","173","223","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1150, FN=0, Flags=.p.....TC"
"98364","42.072763","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","3664","88","148","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3664, FN=0, Flags=.p....F.C"
"98747","42.120691","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","259","3665","173","148","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3665, FN=0, Flags=.p....F.C"
"99820","42.306269","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","151","1151","88","223","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1151, FN=0, Flags=.p.....TC"
