"No.","Time","Source address","Transmitter address","Receiver address","Destination address","Protocol","Length","Sequence number","Data Length","Duration","Starting Sequence Number","Type/Subtype","Priority","Info"
"86112","39.925054","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","178","3806","92","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3806, FN=0, Flags=.p.....TC"
"88035","40.359883","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","186","3807","100","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3807, FN=0, Flags=.p.....TC"
"88297","40.399452","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","174","3808","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3808, FN=0, Flags=.p.....TC"
"88314","40.408494","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","174","3809","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3809, FN=0, Flags=.p.....TC"
"89211","40.568565","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","260","3810","178","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3810, FN=0, Flags=.p.....TC"
"89212","40.568621","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","1598","3811","1516","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3811, FN=0, Flags=.p.....TC"
"89213","40.568678","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","184","3812","98","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3812, FN=0, Flags=.p.....TC"
"89215","40.568844","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","1598","3811","1516","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3811, FN=0, Flags=.p..R..TC"
"89216","40.568901","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","184","3812","98","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3812, FN=0, Flags=.p..R..TC"
"89218","40.569014","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","1602","3811","1516","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3811, FN=0, Flags=.p..R..TC"
"89277","40.585030","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","1602","3811","1516","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3811, FN=0, Flags=.p..R..TC"
"90605","40.782179","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","303","3813","217","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3813, FN=0, Flags=.p.....TC"
"90608","40.782348","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","303","3813","217","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3813, FN=0, Flags=.p..R..TC"
