"No.","Time","Source address","Transmitter address","Receiver address","Destination address","Protocol","Length","Sequence number","Data Length","Duration","Starting Sequence Number","Type/Subtype","Priority","Info"
"1127","11.989021","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","33:33:00:00:00:01","802.11","137","2907","74","213","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2907, FN=0, Flags=.p.....TC"
"1131","12.007067","20:16:b9:9c:1d:b9","78:44:76:db:82:78","33:33:00:00:00:01","33:33:00:00:00:01","802.11","135","1120","74","0","","Data","","Data, SN=1120, FN=0, Flags=.p....F.C"
"1175","12.321536","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","159","2908","96","314","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2908, FN=0, Flags=.p.....TC"
"1192","12.420693","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","182","2136","96","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2136, FN=0, Flags=.p....F.C"
"1215","12.523791","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","151","2909","88","314","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2909, FN=0, Flags=.p.....TC"
"1217","12.524127","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","2137","88","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2137, FN=0, Flags=.p....F.C"
"1224","12.543533","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","353","2910","290","314","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2910, FN=0, Flags=.p.....TC"
"1226","12.543839","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","376","2138","290","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2138, FN=0, Flags=.p....F.C"
"1260","12.607700","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","151","2911","88","314","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2911, FN=0, Flags=.p.....TC"
"1265","12.608231","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","2139","88","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2139, FN=0, Flags=.p....F.C"
"1268","12.609793","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","151","2912","88","314","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2912, FN=0, Flags=.p.....TC"
"1270","12.610135","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","2140","88","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2140, FN=0, Flags=.p....F.C"
"1288","12.623029","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","151","2913","88","314","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2913, FN=0, Flags=.p.....TC"
