"No.","Time","Source address","Transmitter address","Receiver address","Destination address","Protocol","Length","Sequence number","Data Length","Duration","Starting Sequence Number","Type/Subtype","Priority","Info"
"1136","12.020455","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","178","1467","92","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1467, FN=0, Flags=.p.....TC"
"1199","12.422600","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","186","1468","100","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1468, FN=0, Flags=.p.....TC"
"1222","12.525694","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","174","1469","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1469, FN=0, Flags=.p.....TC"
"1231","12.544938","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","174","1470","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1470, FN=0, Flags=.p.....TC"
"1234","12.545155","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","174","1470","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1470, FN=0, Flags=.p..R..TC"
"1246","12.604964","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","264","1471","178","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1471, FN=0, Flags=.p.....TC"
"1249","12.605171","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","264","1471","178","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1471, FN=0, Flags=.p..R..TC"
"1257","12.606314","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","1598","1472","1516","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1472, FN=0, Flags=.p.....TC"
"1258","12.606372","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","184","1473","98","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1473, FN=0, Flags=.p.....TC"
"1275","12.617975","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","295","1474","209","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1474, FN=0, Flags=.p.....TC"
