"No.","Time","Source address","Transmitter address","Receiver address","Destination address","Protocol","Length","Sequence number","Data Length","Duration","Starting Sequence Number","Type/Subtype","Priority","Info"
"84126","19.902150","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","33:33:00:00:00:01","802.11","137","554","74","314","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=554, FN=0, Flags=.p.....TC"
"84427","19.975160","20:16:b9:9c:1d:b9","78:44:76:db:82:78","33:33:00:00:00:01","33:33:00:00:00:01","802.11","135","2051","74","0","","Data","","Data, SN=2051, FN=0, Flags=.p....F.C"
"86239","20.430309","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","2971","88","148","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2971, FN=0, Flags=.p....F.C"
"86445","20.461751","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","159","557","96","258","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=557, FN=0, Flags=.p.....TC"
"86536","20.475453","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","182","2972","96","148","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2972, FN=0, Flags=.p....F.C"
"86793","20.528489","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","151","558","88","258","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=558, FN=0, Flags=.p.....TC"
"86849","20.539358","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","353","559","290","258","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=559, FN=0, Flags=.p.....TC"
"86850","20.541005","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","353","559","290","258","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=559, FN=0, Flags=.p..R..TC"
"86906","20.550277","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","2973","88","148","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2973, FN=0, Flags=.p..R.F.C"
"86910","20.553136","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","376","2974","290","148","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2974, FN=0, Flags=.p....F.C"
"87359","20.641475","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","151","560","88","258","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=560, FN=0, Flags=.p.....TC"
"87363","20.642355","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","2975","88","84","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2975, FN=0, Flags=.p....F.C"
"87365","20.643295","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","151","561","88","258","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=561, FN=0, Flags=.p.....TC"
