"No.","Time","Source address","Transmitter address","Receiver address","Destination address","Protocol","Length","Sequence number","Data Length","Duration","Starting Sequence Number","Type/Subtype","Priority","Info"
"59527","16.759740","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","178","3968","92","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3968, FN=0, Flags=.p.....TC"
"61077","17.144493","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","186","3971","100","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3971, FN=0, Flags=.p.....TC"
"61295","17.224307","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","174","3972","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3972, FN=0, Flags=.p.....TC"
"61300","17.224717","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","174","3973","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3973, FN=0, Flags=.p.....TC"
"61565","17.299469","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","264","3974","178","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3974, FN=0, Flags=.p.....TC"
"61569","17.300107","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","1598","3975","1516","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3975, FN=0, Flags=.p.....TC"
"61570","17.300163","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","184","3976","98","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3976, FN=0, Flags=.p.....TC"
"61815","17.353234","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","303","3977","217","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3977, FN=0, Flags=.p.....TC"
"62123","17.414741","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","174","3978","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3978, FN=0, Flags=.p.....TC"
"62635","17.524033","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","170","3979","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3979, FN=0, Flags=.p.....TC"
"62636","17.524142","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","180","3980","94","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3980, FN=0, Flags=.p.....TC"
