"No.","Time","Source","Destination","Protocol","Length","Sequence Number","Acknowledgment Number","TCP Segment Len","Info"
"22","7.980762935","fe80::f4af:cb28:5ee1:34bd","ff02::1","UDP","72","","","","63173  >  15118 Len=10"
"23","8.194907226","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","UDP","90","","","","15118  >  63173 Len=28"
"24","8.482031619","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","94","0","0","0","34204  >  53162 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 SACK_PERM=1 TSval=1602230206 TSecr=0 WS=128"
"25","8.505592652","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","98","0","1","0","53162  >  34204 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=64 TSval=1297911191 TSecr=1602230206 SACK_PERM=1"
"26","8.505619119","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","1","1","0","34204  >  53162 [ACK] Seq=1 Ack=1 Win=64896 Len=0 TSval=1602230229 TSecr=1297911191"
"27","8.526453736","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","288","1","1","202","Client Hello"
"28","8.573456222","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1","1","0","[TCP Window Update] 53162  >  34204 [ACK] Seq=1 Ack=1 Win=131328 Len=0 TSval=1297911274 TSecr=1602230229"
"29","8.573470288","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1","203","0","53162  >  34204 [ACK] Seq=1 Ack=203 Win=131136 Len=0 TSval=1297911275 TSecr=1602230250"
"30","8.648930152","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","176","1","203","90","Server Hello"
"31","8.648952674","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","203","91","0","34204  >  53162 [ACK] Seq=203 Ack=91 Win=64896 Len=0 TSval=1602230372 TSecr=1297911350"
"32","8.658210964","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","1524","91","203","1438","Certificate"
"33","8.658227870","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","203","1529","0","34204  >  53162 [ACK] Seq=203 Ack=1529 Win=63488 Len=0 TSval=1602230382 TSecr=1297911350"
"34","8.704316462","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","215","1529","203","129","Server Key Exchange, Server Hello Done"
"35","8.704334929","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","203","1658","0","34204  >  53162 [ACK] Seq=203 Ack=1658 Win=63360 Len=0 TSval=1602230428 TSecr=1297911371"
"36","8.716170432","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","128","203","1658","42","Client Key Exchange"
"37","8.804440147","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1658","245","0","53162  >  34204 [ACK] Seq=1658 Ack=245 Win=131072 Len=0 TSval=1297911439 TSecr=1602230440"
"38","8.804462913","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","177","245","1658","91","Change Cipher Spec, Encrypted Handshake Message"
"39","8.872461692","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1658","336","0","53162  >  34204 [ACK] Seq=1658 Ack=336 Win=131008 Len=0 TSval=1297911556 TSecr=1602230528"
"40","8.872477401","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","92","1658","336","6","Change Cipher Spec"
"41","8.915283373","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","336","1664","0","34204  >  53162 [ACK] Seq=336 Ack=1664 Win=64128 Len=0 TSval=1602230639 TSecr=1297911564"
"42","9.012767451","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","171","1664","336","85","Encrypted Handshake Message"
"43","9.012791006","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","336","1749","0","34204  >  53162 [ACK] Seq=336 Ack=1749 Win=64128 Len=0 TSval=1602230736 TSecr=1297911669"
"44","9.041910220","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","187","336","1749","101","Application Data"
"45","9.093499448","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1749","437","0","53162  >  34204 [ACK] Seq=1749 Ack=437 Win=130944 Len=0 TSval=1297911790 TSecr=1602230765"
"46","9.193886038","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","155","1749","437","69","Application Data"
"47","9.235305596","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","437","1818","0","34204  >  53162 [ACK] Seq=437 Ack=1818 Win=64128 Len=0 TSval=1602230959 TSecr=1297911892"
"48","9.245557860","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","437","1818","85","Application Data"
"49","9.305816545","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1818","522","0","53162  >  34204 [ACK] Seq=1818 Ack=522 Win=130944 Len=0 TSval=1297911980 TSecr=1602230969"
"50","9.305880733","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","187","1818","522","101","Application Data"
