"No.","Time","Source","Destination","Protocol","Length","Sequence Number","Acknowledgment Number","TCP Segment Len","Info"
"51","10.108259412","fe80::f4af:cb28:5ee1:34bd","ff02::1","UDP","72","","","","64630  >  15118 Len=10"
"54","10.268159839","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","UDP","90","","","","15118  >  64630 Len=28"
"55","10.654541853","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","94","0","0","0","47650  >  52564 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 SACK_PERM=1 TSval=1597715073 TSecr=0 WS=128"
"56","10.705555037","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","98","0","1","0","52564  >  47650 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=64 TSval=4075318082 TSecr=1597715073 SACK_PERM=1"
"57","10.705654941","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","1","1","0","47650  >  52564 [ACK] Seq=1 Ack=1 Win=64896 Len=0 TSval=1597715125 TSecr=4075318082"
"58","10.736625752","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","288","1","1","202","Client Hello"
"59","10.750394239","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1","1","0","[TCP Window Update] 52564  >  47650 [ACK] Seq=1 Ack=1 Win=131328 Len=0 TSval=4075318125 TSecr=1597715125"
"60","10.752145775","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1","203","0","52564  >  47650 [ACK] Seq=1 Ack=203 Win=131136 Len=0 TSval=4075318139 TSecr=1597715156"
"61","11.008175117","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","176","1","203","90","Server Hello"
"62","11.008195800","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","203","91","0","47650  >  52564 [ACK] Seq=203 Ack=91 Win=64896 Len=0 TSval=1597715427 TSecr=4075318255"
"63","11.008208482","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","1524","91","203","1438","Certificate"
"64","11.008211248","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","203","1529","0","47650  >  52564 [ACK] Seq=203 Ack=1529 Win=63488 Len=0 TSval=1597715427 TSecr=4075318255"
"65","11.545013645","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","215","1529","203","129","Server Key Exchange, Server Hello Done"
"66","11.545030610","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","203","1658","0","47650  >  52564 [ACK] Seq=203 Ack=1658 Win=63360 Len=0 TSval=1597715964 TSecr=4075318765"
"67","11.557437732","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","128","203","1658","42","Client Key Exchange"
"68","11.614614957","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1658","245","0","52564  >  47650 [ACK] Seq=1658 Ack=245 Win=131072 Len=0 TSval=4075318950 TSecr=1597715976"
"69","11.614634494","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","177","245","1658","91","Change Cipher Spec, Encrypted Handshake Message"
"70","11.646753798","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1658","336","0","52564  >  47650 [ACK] Seq=1658 Ack=336 Win=131008 Len=0 TSval=4075319016 TSecr=1597716034"
"71","11.729492943","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","92","1658","336","6","Change Cipher Spec"
"72","11.772153655","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","336","1664","0","47650  >  52564 [ACK] Seq=336 Ack=1664 Win=64128 Len=0 TSval=1597716191 TSecr=4075319028"
