"No.","Time","Source","Destination","Protocol","Length","Sequence Number","Acknowledgment Number","TCP Segment Len","Info"
"1","0.000000000","fe80::f4af:cb28:5ee1:34bd","ff02::1","UDP","72","","","","57458  >  15118 Len=10"
"2","0.034018913","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","UDP","90","","","","15118  >  57458 Len=28"
"3","0.331517185","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","94","0","0","0","46514  >  55178 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 SACK_PERM=1 TSval=1598897946 TSecr=0 WS=128"
"4","0.535276824","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","98","0","1","0","55178  >  46514 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=64 TSval=1164500321 TSecr=1598897946 SACK_PERM=1"
"5","0.535299988","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","1","1","0","46514  >  55178 [ACK] Seq=1 Ack=1 Win=64896 Len=0 TSval=1598898149 TSecr=1164500321"
"6","0.539040421","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1","1","0","[TCP Window Update] 55178  >  46514 [ACK] Seq=1 Ack=1 Win=131328 Len=0 TSval=1164500424 TSecr=1598898149"
"7","0.553241382","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","288","1","1","202","Client Hello"
"8","0.558660615","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1","203","0","55178  >  46514 [ACK] Seq=1 Ack=203 Win=131136 Len=0 TSval=1164500443 TSecr=1598898167"
"9","0.618862198","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","176","1","203","90","Server Hello"
"10","0.618941622","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","203","91","0","46514  >  55178 [ACK] Seq=203 Ack=91 Win=64896 Len=0 TSval=1598898233 TSecr=1164500503"
"11","0.621102207","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","1524","91","203","1438","Certificate"
"12","0.621105924","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","203","1529","0","46514  >  55178 [ACK] Seq=203 Ack=1529 Win=63488 Len=0 TSval=1598898235 TSecr=1164500503"
"13","0.634478713","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","207","1529","203","121","Server Key Exchange"
"14","0.634497980","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","203","1650","0","46514  >  55178 [ACK] Seq=203 Ack=1650 Win=63488 Len=0 TSval=1598898249 TSecr=1164500516"
"15","0.638257651","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","95","1650","203","9","Server Hello Done"
"16","0.638272493","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","203","1659","0","46514  >  55178 [ACK] Seq=203 Ack=1659 Win=63488 Len=0 TSval=1598898252 TSecr=1164500523"
"17","0.651139344","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","128","203","1659","42","Client Key Exchange"
"18","0.654830983","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1659","245","0","55178  >  46514 [ACK] Seq=1659 Ack=245 Win=131072 Len=0 TSval=1164500540 TSecr=1598898265"
"19","0.655828616","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","92","245","1659","6","Change Cipher Spec"
"20","0.659082253","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1659","251","0","55178  >  46514 [ACK] Seq=1659 Ack=251 Win=131072 Len=0 TSval=1164500544 TSecr=1598898270"
"21","0.659095977","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","251","1659","85","Encrypted Handshake Message"
"22","0.664651566","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1659","336","0","55178  >  46514 [ACK] Seq=1659 Ack=336 Win=131008 Len=0 TSval=1164500547 TSecr=1598898273"
"23","0.666380340","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","92","1659","336","6","Change Cipher Spec"
"24","0.715704564","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","336","1665","0","46514  >  55178 [ACK] Seq=336 Ack=1665 Win=64128 Len=0 TSval=1598898330 TSecr=1164500552"
"25","0.722300806","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","171","1665","336","85","Encrypted Handshake Message"
"26","0.722316760","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","336","1750","0","46514  >  55178 [ACK] Seq=336 Ack=1750 Win=64128 Len=0 TSval=1598898336 TSecr=1164500604"
