"No.","Time","Time Diff","Source address","Transmitter address","Receiver address","Destination address","Length","Sequence number","Data Length","Starting Sequence Number","Priority","Differentiated Services Codepoint","Info"
"82","0.570340","0.000000000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2023","","","802.11 Block Ack, Flags=........C"
"83","0.570396","0.000056000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2024","","","802.11 Block Ack, Flags=........C"
"154","1.184665","0.614269000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2025","","","802.11 Block Ack, Flags=........C"
"3289","2.061826","0.877161000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2026","","","802.11 Block Ack, Flags=........C"
"3544","2.120493","0.058667000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2027","","","802.11 Block Ack, Flags=........C"
"7754","2.835203","0.714710000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2028","","","802.11 Block Ack, Flags=........C"
"61543","14.419752","11.584549000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2029","","","802.11 Block Ack, Flags=........C"
"61544","14.419807","0.000055000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2030","","","802.11 Block Ack, Flags=........C"
"62568","14.614440","0.194633000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2031","","","802.11 Block Ack, Flags=........C"
"66290","15.418401","0.803961000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2032","","","802.11 Block Ack, Flags=........C"
"66296","15.419981","0.001580000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2033","","","802.11 Block Ack, Flags=........C"
"66312","15.429829","0.009848000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2034","","","802.11 Block Ack, Flags=........C"
"68095","15.735694","0.305865000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2035","","","802.11 Block Ack, Flags=........C"
"79187","17.687246","1.951552000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2036","","","802.11 Block Ack, Flags=........C"
"80923","18.028252","0.341006000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2037","","","802.11 Block Ack, Flags=........C"
"80937","18.033129","0.004877000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2038","","","802.11 Block Ack, Flags=........C"
"81030","18.064991","0.031862000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2039","","","802.11 Block Ack, Flags=........C"
"81432","18.140601","0.075610000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2042","","","802.11 Block Ack, Flags=........C"
"81461","18.147908","0.007307000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2043","","","802.11 Block Ack, Flags=........C"
"81626","18.193891","0.045983000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2044","","","802.11 Block Ack, Flags=........C"
"81766","18.226038","0.032147000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2045","","","802.11 Block Ack, Flags=........C"
"82025","18.263144","0.037106000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2046","","","802.11 Block Ack, Flags=........C"
"82665","18.339818","0.076674000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2047","","","802.11 Block Ack, Flags=........C"
"83012","18.409972","0.070154000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2048","","","802.11 Block Ack, Flags=........C"
"83976","18.600591","0.190619000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2049","","","802.11 Block Ack, Flags=........C"
"84286","18.682827","0.082236000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2050","","","802.11 Block Ack, Flags=........C"
"84396","18.712296","0.029469000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2051","","","802.11 Block Ack, Flags=........C"
"84771","18.765591","0.053295000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2052","","","802.11 Block Ack, Flags=........C"
"85056","18.832011","0.066420000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2053","","","802.11 Block Ack, Flags=........C"
"85300","18.868699","0.036688000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2054","","","802.11 Block Ack, Flags=........C"
"86073","18.992757","0.124058000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2056","","","802.11 Block Ack, Flags=........C"
"87383","19.175147","0.182390000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2057","","","802.11 Block Ack, Flags=........C"
"87779","19.238118","0.062971000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2058","","","802.11 Block Ack, Flags=........C"
"88804","19.381152","0.143034000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2059","","","802.11 Block Ack, Flags=........C"
"89022","19.414788","0.033636000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2060","","","802.11 Block Ack, Flags=........C"
"89493","19.490128","0.075340000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2061","","","802.11 Block Ack, Flags=........C"
"89715","19.521775","0.031647000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2062","","","802.11 Block Ack, Flags=........C"
"90608","19.671391","0.149616000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2063","","","802.11 Block Ack, Flags=........C"
"90609","19.671496","0.000105000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2064","","","802.11 Block Ack, Flags=........C"
"90836","19.717065","0.045569000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2065","","","802.11 Block Ack, Flags=........C"
"90869","19.724856","0.007791000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2066","","","802.11 Block Ack, Flags=........C"
"103704","21.812649","2.087793000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2068","","","802.11 Block Ack, Flags=........C"
"106649","22.260276","0.447627000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2069","","","802.11 Block Ack, Flags=........C"
"109924","22.812944","0.552668000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2071","","","802.11 Block Ack, Flags=........C"
"110030","22.829610","0.016666000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2072","","","802.11 Block Ack, Flags=........C"
"110171","22.855917","0.026307000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2073","","","802.11 Block Ack, Flags=........C"
"110194","22.859419","0.003502000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2074","","","802.11 Block Ack, Flags=........C"
"111474","23.051627","0.192208000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2076","","","802.11 Block Ack, Flags=........C"
"111574","23.086490","0.034863000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2077","","","802.11 Block Ack, Flags=........C"
"111629","23.090119","0.003629000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2079","","","802.11 Block Ack, Flags=........C"
"112988","23.325732","0.235613000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2080","","","802.11 Block Ack, Flags=........C"
"113304","23.388536","0.062804000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2081","","","802.11 Block Ack, Flags=........C"
"113366","23.397620","0.009084000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2082","","","802.11 Block Ack, Flags=........C"
"117378","24.064019","0.666399000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2084","","","802.11 Block Ack, Flags=........C"
"130820","26.305915","2.241896000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2086","","","802.11 Block Ack, Flags=........C"
"133191","26.663774","0.357859000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2087","","","802.11 Block Ack, Flags=........C"
"133538","26.708246","0.044472000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2088","","","802.11 Block Ack, Flags=........C"
"133802","26.773664","0.065418000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2089","","","802.11 Block Ack, Flags=........C"
"133820","26.778023","0.004359000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2091","","","802.11 Block Ack, Flags=........C"
"133821","26.778660","0.000637000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2092","","","802.11 Block Ack, Flags=........C"
"133825","26.781601","0.002941000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2093","","","802.11 Block Ack, Flags=........C"
"133826","26.782209","0.000608000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2095","","","802.11 Block Ack, Flags=........C"
"133827","26.782269","0.000060000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2096","","","802.11 Block Ack, Flags=........C"
"134176","26.828419","0.046150000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2099","","","802.11 Block Ack, Flags=........C"
"134269","26.849018","0.020599000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2100","","","802.11 Block Ack, Flags=........C"
"134333","26.870039","0.021021000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2102","","","802.11 Block Ack, Flags=........C"
"134378","26.872685","0.002646000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2103","","","802.11 Block Ack, Flags=........C"
"134384","26.873055","0.000370000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2104","","","802.11 Block Ack, Flags=........C"
"134385","26.873110","0.000055000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2111","","","802.11 Block Ack, Flags=........C"
"134549","26.906432","0.033322000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2112","","","802.11 Block Ack, Flags=........C"
"134550","26.906491","0.000059000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2113","","","802.11 Block Ack, Flags=........C"
"135496","27.036008","0.129517000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2114","","","802.11 Block Ack, Flags=........C"
"135927","27.131237","0.095229000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2116","","","802.11 Block Ack, Flags=........C"
"136040","27.160994","0.029757000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2117","","","802.11 Block Ack, Flags=........C"
"136591","27.229845","0.068851000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2118","","","802.11 Block Ack, Flags=........C"
"136594","27.232496","0.002651000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2118","","","802.11 Block Ack, Flags=........C"
"144368","28.555509","1.323013000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2120","","","802.11 Block Ack, Flags=........C"
"152545","29.802472","1.246963000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2121","","","802.11 Block Ack, Flags=........C"
"158749","30.827812","1.025340000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2122","","","802.11 Block Ack, Flags=........C"
"158875","30.853348","0.025536000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2123","","","802.11 Block Ack, Flags=........C"
"159459","30.947603","0.094255000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2124","","","802.11 Block Ack, Flags=........C"
"159460","30.947660","0.000057000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2125","","","802.11 Block Ack, Flags=........C"
"159682","30.995264","0.047604000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2126","","","802.11 Block Ack, Flags=........C"
"159683","30.995368","0.000104000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2127","","","802.11 Block Ack, Flags=........C"
"160282","31.087686","0.092318000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2128","","","802.11 Block Ack, Flags=........C"
"160290","31.088577","0.000891000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2129","","","802.11 Block Ack, Flags=........C"
"164844","31.902446","0.813869000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2133","","","802.11 Block Ack, Flags=........C"
"165292","31.972781","0.070335000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2135","","","802.11 Block Ack, Flags=........C"
"165835","32.072346","0.099565000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2139","","","802.11 Block Ack, Flags=........C"
"166542","32.209756","0.137410000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2140","","","802.11 Block Ack, Flags=........C"
"166543","32.210372","0.000616000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2143","","","802.11 Block Ack, Flags=........C"
"166608","32.216188","0.005816000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2144","","","802.11 Block Ack, Flags=........C"
"167495","32.356690","0.140502000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2148","","","802.11 Block Ack, Flags=........C"
"167496","32.356934","0.000244000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","2152","","","802.11 Block Ack, Flags=........C"
