"No.","Time","Time Diff","Source address","Transmitter address","Receiver address","Destination address","Length","Sequence number","Data Length","Starting Sequence Number","Priority","Info"
"79172","17.685851","0.000000000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","178","1073","92","","Video (Video)","QoS Data, SN=1073, FN=0, Flags=.p.....TC"
"79175","17.686056","0.000205000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","178","1073","92","","Video (Video)","QoS Data, SN=1073, FN=0, Flags=.p..R..TC"
"79178","17.686305","0.000249000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","178","1073","92","","Video (Video)","QoS Data, SN=1073, FN=0, Flags=.p..R..TC"
"80918","18.027761","0.341456000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","186","759","100","","Best Effort (Best Effort)","QoS Data, SN=759, FN=0, Flags=.p.....TC"
"80933","18.032651","0.004890000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","174","760","88","","Best Effort (Best Effort)","QoS Data, SN=760, FN=0, Flags=.p.....TC"
"81019","18.061520","0.028869000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","174","1074","88","","Video (Video)","QoS Data, SN=1074, FN=0, Flags=.p.....TC"
"81289","18.112559","0.051039000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","260","1075","178","","Video (Video)","QoS Data, SN=1075, FN=0, Flags=.p.....TC"
"81290","18.112615","0.000056000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","1598","1076","1516","","Video (Video)","QoS Data, SN=1076, FN=0, Flags=.p.....TC"
"81291","18.112671","0.000056000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","184","1077","98","","Video (Video)","QoS Data, SN=1077, FN=0, Flags=.p.....TC"
"81299","18.113374","0.000703000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","260","1075","178","","Video (Video)","QoS Data, SN=1075, FN=0, Flags=.p..R..TC"
"81300","18.113430","0.000056000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","1598","1076","1516","","Video (Video)","QoS Data, SN=1076, FN=0, Flags=.p..R..TC"
"81301","18.113487","0.000057000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","184","1077","98","","Video (Video)","QoS Data, SN=1077, FN=0, Flags=.p..R..TC"
"81304","18.113686","0.000199000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","260","1075","178","","Video (Video)","QoS Data, SN=1075, FN=0, Flags=.p..R..TC"
"81305","18.113782","0.000096000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","1598","1076","1516","","Video (Video)","QoS Data, SN=1076, FN=0, Flags=.p..R..TC"
"81306","18.113839","0.000057000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","184","1077","98","","Video (Video)","QoS Data, SN=1077, FN=0, Flags=.p..R..TC"
"81457","18.147221","0.033382000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","303","1078","217","","Video (Video)","QoS Data, SN=1078, FN=0, Flags=.p.....TC"
"81521","18.182668","0.035447000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","174","1079","88","","Video (Video)","QoS Data, SN=1079, FN=0, Flags=.p.....TC"
"81524","18.182876","0.000208000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","174","1079","88","","Video (Video)","QoS Data, SN=1079, FN=0, Flags=.p..R..TC"
"81528","18.183278","0.000402000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","174","1079","88","","Video (Video)","QoS Data, SN=1079, FN=0, Flags=.p..R..TC"
"81747","18.224914","0.041636000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","174","1080","88","","Video (Video)","QoS Data, SN=1080, FN=0, Flags=.p.....TC"
"81972","18.246703","0.021789000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","180","1081","94","","Video (Video)","QoS Data, SN=1081, FN=0, Flags=.p.....TC"
"82654","18.338115","0.091412000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","259","1082","173","","Video (Video)","QoS Data, SN=1082, FN=0, Flags=.p.....TC"
"82657","18.338293","0.000178000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","259","1082","173","","Video (Video)","QoS Data, SN=1082, FN=0, Flags=.p..R..TC"
"82660","18.338507","0.000214000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","259","1082","173","","Video (Video)","QoS Data, SN=1082, FN=0, Flags=.p..R..TC"
"82881","18.389763","0.051256000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","174","1083","88","","Video (Video)","QoS Data, SN=1083, FN=0, Flags=.p.....TC"
