"No.","Time","Time Diff","Source address","Transmitter address","Receiver address","Destination address","Length","Sequence number","Data Length","Starting Sequence Number","Priority","Differentiated Services Codepoint","Info"
"304","5.966549","0.000000000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","4074","","","802.11 Block Ack, Flags=........C"
"437","7.605078","1.638529000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","4075","","","802.11 Block Ack, Flags=........C"
"776","11.496955","3.891877000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","4076","","","802.11 Block Ack, Flags=........C"
"777","11.497064","0.000109000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","4077","","","802.11 Block Ack, Flags=........C"
"791","11.499431","0.002367000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","4078","","","802.11 Block Ack, Flags=........C"
"794","11.500343","0.000912000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","4079","","","802.11 Block Ack, Flags=........C"
"9668","15.771474","4.271131000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","4080","","","802.11 Block Ack, Flags=........C"
"9715","15.783053","0.011579000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","4083","","","802.11 Block Ack, Flags=........C"
"10044","15.852317","0.069264000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","4084","","","802.11 Block Ack, Flags=........C"
"20539","21.029820","5.177503000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","4091","","","802.11 Block Ack, Flags=........C"
"28358","22.613777","1.583957000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","4092","","","802.11 Block Ack, Flags=........C"
"47569","26.156926","3.543149000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","1","","","802.11 Block Ack, Flags=........C"
"47600","26.170802","0.013876000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","3","","","802.11 Block Ack, Flags=........C"
"64898","29.425045","3.254243000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","4","","","802.11 Block Ack, Flags=........C"
"92610","34.288705","4.863660000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","6","","","802.11 Block Ack, Flags=........C"
"93651","34.446709","0.158004000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","7","","","802.11 Block Ack, Flags=........C"
"99052","35.309684","0.862975000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","9","","","802.11 Block Ack, Flags=........C"
"99149","35.339922","0.030238000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","10","","","802.11 Block Ack, Flags=........C"
"99230","35.347178","0.007256000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","11","","","802.11 Block Ack, Flags=........C"
"128217","39.864958","4.517780000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","13","","","802.11 Block Ack, Flags=........C"
"128269","39.882082","0.017124000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","14","","","802.11 Block Ack, Flags=........C"
"128318","39.888562","0.006480000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","16","","","802.11 Block Ack, Flags=........C"
"129467","40.077454","0.188892000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","18","","","802.11 Block Ack, Flags=........C"
"129604","40.106087","0.028633000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","20","","","802.11 Block Ack, Flags=........C"
"129796","40.134816","0.028729000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","21","","","802.11 Block Ack, Flags=........C"
"130603","40.264133","0.129317000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","22","","","802.11 Block Ack, Flags=........C"
"130658","40.276278","0.012145000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","23","","","802.11 Block Ack, Flags=........C"
