"No.","Time","Time Diff","Source address","Transmitter address","Receiver address","Destination address","Length","Sequence number","Data Length","Starting Sequence Number","Priority","Differentiated Services Codepoint","Info"
"11","0.023842","0.000000000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","279","","","802.11 Block Ack, Flags=........C"
"26","0.040610","0.016768000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","280","","","802.11 Block Ack, Flags=........C"
"30","0.051473","0.010863000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","281","","","802.11 Block Ack, Flags=........C"
"34","0.052184","0.000711000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","282","","","802.11 Block Ack, Flags=........C"
"60","0.228727","0.176543000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","283","","","802.11 Block Ack, Flags=........C"
"61","0.228824","0.000097000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","284","","","802.11 Block Ack, Flags=........C"
"69","0.237265","0.008441000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","285","","","802.11 Block Ack, Flags=........C"
"77","0.243675","0.006410000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","287","","","802.11 Block Ack, Flags=........C"
"102","0.433388","0.189713000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","288","","","802.11 Block Ack, Flags=........C"
"109","0.441040","0.007652000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","289","","","802.11 Block Ack, Flags=........C"
"310","3.426753","2.985713000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","290","","","802.11 Block Ack, Flags=........C"
"314","3.427088","0.000335000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","291","","","802.11 Block Ack, Flags=........C"
"321","3.440583","0.013495000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","292","","","802.11 Block Ack, Flags=........C"
"327","3.444299","0.003716000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","294","","","802.11 Block Ack, Flags=........C"
"334","3.451503","0.007204000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","296","","","802.11 Block Ack, Flags=........C"
"338","3.451831","0.000328000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","297","","","802.11 Block Ack, Flags=........C"
"339","3.451887","0.000056000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","298","","","802.11 Block Ack, Flags=........C"
"353","3.461415","0.009528000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","300","","","802.11 Block Ack, Flags=........C"
"360","3.463782","0.002367000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","301","","","802.11 Block Ack, Flags=........C"
"366","3.467644","0.003862000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","303","","","802.11 Block Ack, Flags=........C"
"372","3.477367","0.009723000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","305","","","802.11 Block Ack, Flags=........C"
"380","3.508139","0.030772000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","306","","","802.11 Block Ack, Flags=........C"
"405","3.814027","0.305888000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","307","","","802.11 Block Ack, Flags=........C"
"802","8.830484","5.016457000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","309","","","802.11 Block Ack, Flags=........C"
"803","8.830594","0.000110000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","310","","","802.11 Block Ack, Flags=........C"
"804","8.830700","0.000106000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","311","","","802.11 Block Ack, Flags=........C"
"945","9.444506","0.613806000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","313","","","802.11 Block Ack, Flags=........C"
"1010","9.649698","0.205192000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","315","","","802.11 Block Ack, Flags=........C"
"1127","9.854565","0.204867000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","316","","","802.11 Block Ack, Flags=........C"
"1128","9.854622","0.000057000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","317","","","802.11 Block Ack, Flags=........C"
"1129","9.854728","0.000106000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","319","","","802.11 Block Ack, Flags=........C"
"1189","10.058999","0.204271000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","321","","","802.11 Block Ack, Flags=........C"
"1210","10.112057","0.053058000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","322","","","802.11 Block Ack, Flags=........C"
"1218","10.113490","0.001433000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","323","","","802.11 Block Ack, Flags=........C"
"1261","10.213499","0.100009000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","324","","","802.11 Block Ack, Flags=........C"
"1290","10.263686","0.050187000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","325","","","802.11 Block Ack, Flags=........C"
"1413","11.289549","1.025863000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","327","","","802.11 Block Ack, Flags=........C"
"1542","11.801455","0.511906000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","328","","","802.11 Block Ack, Flags=........C"
"1543","11.801560","0.000105000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","329","","","802.11 Block Ack, Flags=........C"
"1798","12.825675","1.024115000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","330","","","802.11 Block Ack, Flags=........C"
"1799","12.825732","0.000057000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","331","","","802.11 Block Ack, Flags=........C"
"1867","13.132502","0.306770000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","332","","","802.11 Block Ack, Flags=........C"
"1868","13.132605","0.000103000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","333","","","802.11 Block Ack, Flags=........C"
"2536","15.793504","2.660899000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","335","","","802.11 Block Ack, Flags=........C"
"2787","18.763073","2.969569000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","337","","","802.11 Block Ack, Flags=........C"
"2941","21.118706","2.355633000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","338","","","802.11 Block Ack, Flags=........C"
"3720","24.722548","3.603842000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","339","","","802.11 Block Ack, Flags=........C"
"3769","25.027642","0.305094000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","340","","","802.11 Block Ack, Flags=........C"
"3782","25.031508","0.003866000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","341","","","802.11 Block Ack, Flags=........C"
"3792","25.052271","0.020763000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","342","","","802.11 Block Ack, Flags=........C"
"3831","25.214122","0.161851000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","343","","","802.11 Block Ack, Flags=........C"
"3832","25.214218","0.000096000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","345","","","802.11 Block Ack, Flags=........C"
"3856","25.220402","0.006184000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","346","","","802.11 Block Ack, Flags=........C"
"3880","25.251743","0.031341000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","347","","","802.11 Block Ack, Flags=........C"
"3895","25.256209","0.004466000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","348","","","802.11 Block Ack, Flags=........C"
"3904","25.265350","0.009141000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","349","","","802.11 Block Ack, Flags=........C"
"3919","25.317344","0.051994000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","350","","","802.11 Block Ack, Flags=........C"
"3941","25.353124","0.035780000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","351","","","802.11 Block Ack, Flags=........C"
"3967","25.521217","0.168093000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","352","","","802.11 Block Ack, Flags=........C"
"3996","25.593006","0.071789000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","353","","","802.11 Block Ack, Flags=........C"
"4011","25.606786","0.013780000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","354","","","802.11 Block Ack, Flags=........C"
"4035","25.617395","0.010609000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","355","","","802.11 Block Ack, Flags=........C"
"4044","25.638911","0.021516000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","356","","","802.11 Block Ack, Flags=........C"
"4067","25.704986","0.066075000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","357","","","802.11 Block Ack, Flags=........C"
"4080","25.718427","0.013441000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","358","","","802.11 Block Ack, Flags=........C"
"4110","25.851423","0.132996000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","359","","","802.11 Block Ack, Flags=........C"
"4120","25.915309","0.063886000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","360","","","802.11 Block Ack, Flags=........C"
"4149","25.987103","0.071794000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","361","","","802.11 Block Ack, Flags=........C"
"4165","26.014949","0.027846000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","362","","","802.11 Block Ack, Flags=........C"
"4186","26.025989","0.011040000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","363","","","802.11 Block Ack, Flags=........C"
"4202","26.048736","0.022747000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","364","","","802.11 Block Ack, Flags=........C"
"4221","26.107006","0.058270000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","365","","","802.11 Block Ack, Flags=........C"
"4238","26.119747","0.012741000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","366","","","802.11 Block Ack, Flags=........C"
"4259","26.127927","0.008180000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","367","","","802.11 Block Ack, Flags=........C"
"4274","26.136846","0.008919000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","368","","","802.11 Block Ack, Flags=........C"
"4300","26.356240","0.219394000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","369","","","802.11 Block Ack, Flags=........C"
"4423","28.187858","1.831618000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","370","","","802.11 Block Ack, Flags=........C"
"4431","28.197975","0.010117000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","371","","","802.11 Block Ack, Flags=........C"
"4540","29.514911","1.316936000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","372","","","802.11 Block Ack, Flags=........C"
"4590","29.821955","0.307044000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","373","","","802.11 Block Ack, Flags=........C"
"4629","30.034512","0.212557000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","374","","","802.11 Block Ack, Flags=........C"
"4633","30.039630","0.005118000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","375","","","802.11 Block Ack, Flags=........C"
"4634","30.039733","0.000103000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","376","","","802.11 Block Ack, Flags=........C"
"4638","30.040006","0.000273000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","377","","","802.11 Block Ack, Flags=........C"
"4639","30.040062","0.000056000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","378","","","802.11 Block Ack, Flags=........C"
"4650","30.051153","0.011091000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","379","","","802.11 Block Ack, Flags=........C"
"4687","30.217271","0.166118000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","380","","","802.11 Block Ack, Flags=........C"
"4702","30.228663","0.011392000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","381","","","802.11 Block Ack, Flags=........C"
"4784","31.034421","0.805758000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","382","","","802.11 Block Ack, Flags=........C"
"4788","31.039928","0.005507000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","383","","","802.11 Block Ack, Flags=........C"
"4789","31.039984","0.000056000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","384","","","802.11 Block Ack, Flags=........C"
"4796","31.051336","0.011352000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","386","","","802.11 Block Ack, Flags=........C"
"4905","32.299274","1.247938000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","387","","","802.11 Block Ack, Flags=........C"
"4906","32.299370","0.000096000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","388","","","802.11 Block Ack, Flags=........C"
"5058","34.330084","2.030714000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","389","","","802.11 Block Ack, Flags=........C"
"5066","34.336758","0.006674000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","390","","","802.11 Block Ack, Flags=........C"
"5087","34.466797","0.130039000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","391","","","802.11 Block Ack, Flags=........C"
"5092","34.483355","0.016558000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","395","","","802.11 Block Ack, Flags=........C"
"5220","36.379269","1.895914000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","396","","","802.11 Block Ack, Flags=........C"
"5228","36.388952","0.009683000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","397","","","802.11 Block Ack, Flags=........C"
"5246","36.395846","0.006894000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","398","","","802.11 Block Ack, Flags=........C"
"5255","36.403928","0.008082000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","399","","","802.11 Block Ack, Flags=........C"
"5271","36.413417","0.009489000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","400","","","802.11 Block Ack, Flags=........C"
"5279","36.419537","0.006120000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","401","","","802.11 Block Ack, Flags=........C"
"5299","36.431354","0.011817000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","403","","","802.11 Block Ack, Flags=........C"
"5663","41.495578","5.064224000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","405","","","802.11 Block Ack, Flags=........C"
"5664","41.495680","0.000102000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","406","","","802.11 Block Ack, Flags=........C"
"5682","41.590659","0.094979000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","407","","","802.11 Block Ack, Flags=........C"
"5898","44.055811","2.465152000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","408","","","802.11 Block Ack, Flags=........C"
"5899","44.055912","0.000101000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","409","","","802.11 Block Ack, Flags=........C"
"5960","44.237679","0.181767000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","410","","","802.11 Block Ack, Flags=........C"
"5963","44.238917","0.001238000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","411","","","802.11 Block Ack, Flags=........C"
"5975","44.251796","0.012879000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","412","","","802.11 Block Ack, Flags=........C"
"6066","44.565185","0.313389000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","414","","","802.11 Block Ack, Flags=........C"
"6078","44.567025","0.001840000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","415","","","802.11 Block Ack, Flags=........C"
"6091","44.570953","0.003928000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","416","","","802.11 Block Ack, Flags=........C"
"6108","44.588950","0.017997000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","417","","","802.11 Block Ack, Flags=........C"
"6119","44.598817","0.009867000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","418","","","802.11 Block Ack, Flags=........C"
"6125","44.604523","0.005706000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","418","","","802.11 Block Ack, Flags=........C"
"6126","44.604786","0.000263000","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","57","","","420","","","802.11 Block Ack, Flags=........C"
