"No.","Time","Time Diff","Source","Destination","Protocol","Length","Sequence Number","Acknowledgment Number","Traffic Class","Info"
"1","0.000000000","0.000000000","fe80::f4af:cb28:5ee1:34bd","ff02::1","UDP","72","","","0x00","63145  >  15118 Len=10"
"2","0.251157148","0.251157148","fe80::f4af:cb28:5ee1:34bd","ff02::1","UDP","72","","","0x00","63145  >  15118 Len=10"
"3","0.258969159","0.007812011","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","UDP","90","","","0x00","15118  >  63145 Len=28"
"4","0.425035970","0.166066811","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","UDP","90","","","0x00","15118  >  63145 Len=28"
"5","0.554377339","0.129341369","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","94","0","0","0x00","36612  >  58226 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 SACK_PERM=1 TSval=911831554 TSecr=0 WS=128"
"6","0.608681217","0.054303878","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","98","0","1","0x00","58226  >  36612 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=64 TSval=4198266404 TSecr=911831554 SACK_PERM=1"
"7","0.608706985","0.000025768","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","1","1","0x00","36612  >  58226 [ACK] Seq=1 Ack=1 Win=64896 Len=0 TSval=911831608 TSecr=4198266404"
"8","0.629300896","0.020593911","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","288","1","1","0x00","Client Hello"
"9","0.638331390","0.009030494","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1","1","0x00","[TCP Window Update] 58226  >  36612 [ACK] Seq=1 Ack=1 Win=131328 Len=0 TSval=4198266480 TSecr=911831608"
"10","0.638432294","0.000100904","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1","203","0x00","58226  >  36612 [ACK] Seq=1 Ack=203 Win=131136 Len=0 TSval=4198266480 TSecr=911831629"
"11","0.834009536","0.195577242","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","176","1","203","0x00","Server Hello"
"12","0.834031422","0.000021886","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","203","91","0x00","36612  >  58226 [ACK] Seq=203 Ack=91 Win=64896 Len=0 TSval=911831833 TSecr=4198266558"
"13","0.834044689","0.000013267","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","1524","91","203","0x00","Certificate"
"14","0.834046855","0.000002166","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","203","1529","0x00","36612  >  58226 [ACK] Seq=203 Ack=1529 Win=63488 Len=0 TSval=911831833 TSecr=4198266558"
"15","0.853484477","0.019437622","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","214","1529","203","0x00","Server Key Exchange, Server Hello Done"
"16","0.853503019","0.000018542","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","203","1657","0x00","36612  >  58226 [ACK] Seq=203 Ack=1657 Win=63360 Len=0 TSval=911831853 TSecr=4198266682"
"17","0.866266995","0.012763976","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","128","203","1657","0x00","Client Key Exchange"
"18","0.939676711","0.073409716","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1657","245","0x00","58226  >  36612 [ACK] Seq=1657 Ack=245 Win=131072 Len=0 TSval=4198266771 TSecr=911831866"
"19","0.939696259","0.000019548","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","177","245","1657","0x00","Change Cipher Spec, Encrypted Handshake Message"
"20","0.945256941","0.005560682","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1657","336","0x00","58226  >  36612 [ACK] Seq=1657 Ack=336 Win=131008 Len=0 TSval=4198266787 TSecr=911831939"
"21","1.005221501","0.059964560","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","92","1657","336","0x00","Change Cipher Spec"
"22","1.052160768","0.046939267","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","336","1663","0x00","36612  >  58226 [ACK] Seq=336 Ack=1663 Win=64128 Len=0 TSval=911832052 TSecr=4198266791"
"23","1.270434941","0.218274173","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","171","1663","336","0x00","Encrypted Handshake Message"
"24","1.270455542","0.000020601","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","336","1748","0x00","36612  >  58226 [ACK] Seq=336 Ack=1748 Win=64128 Len=0 TSval=911832270 TSecr=4198266958"
"25","1.297421069","0.026965527","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","187","336","1748","0x00","Application Data"
"26","1.436988047","0.139566978","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1748","437","0x00","58226  >  36612 [ACK] Seq=1748 Ack=437 Win=130944 Len=0 TSval=4198267190 TSecr=911832297"
"27","1.460788538","0.023800491","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","155","1748","437","0x00","Application Data"
"28","1.504084424","0.043295886","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","437","1817","0x00","36612  >  58226 [ACK] Seq=437 Ack=1817 Win=64128 Len=0 TSval=911832503 TSecr=4198267293"
"29","1.523795689","0.019711265","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","437","1817","0x00","Application Data"
"30","1.531202906","0.007407217","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1817","522","0x00","58226  >  36612 [ACK] Seq=1817 Ack=522 Win=130944 Len=0 TSval=4198267373 TSecr=911832523"
"31","1.547192134","0.015989228","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","187","1817","522","0x00","Application Data"
"32","1.547212106","0.000019972","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","522","1918","0x00","36612  >  58226 [ACK] Seq=522 Ack=1918 Win=64128 Len=0 TSval=911832547 TSecr=4198267379"
"33","1.554453255","0.007241149","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","522","1918","0x00","Application Data"
"34","1.571689194","0.017235939","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1918","607","0x00","58226  >  36612 [ACK] Seq=1918 Ack=607 Win=130944 Len=0 TSval=4198267402 TSecr=911832554"
"35","1.579633968","0.007944774","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","251","1918","607","0x00","Application Data"
"36","1.628112183","0.048478215","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","607","2083","0x00","36612  >  58226 [ACK] Seq=607 Ack=2083 Win=64128 Len=0 TSval=911832628 TSecr=4198267409"
"37","1.634182947","0.006070764","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","607","2083","0x00","Application Data"
"38","1.699057731","0.064874784","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","2083","692","0x00","58226  >  36612 [ACK] Seq=2083 Ack=692 Win=130944 Len=0 TSval=4198267490 TSecr=911832634"
"39","1.713079765","0.014022034","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","171","2083","692","0x00","Application Data"
"40","1.713140846","0.000061081","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","692","2168","0x00","36612  >  58226 [ACK] Seq=692 Ack=2168 Win=64128 Len=0 TSval=911832713 TSecr=4198267503"
"41","1.837499733","0.124358887","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","1514","692","2168","0x00","36612  >  58226 [ACK] Seq=692 Ack=2168 Win=64128 Len=1428 TSval=911832837 TSecr=4198267503 [TCP segment of a reassembled PDU]"
"42","1.837513208","0.000013475","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","183","2120","2168","0x00","Application Data"
"45","1.926203128","0.088689920","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","2168","2217","0x00","58226  >  36612 [ACK] Seq=2168 Ack=2217 Win=129536 Len=0 TSval=4198267739 TSecr=911832837"
"46","2.019489861","0.093286733","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","187","2168","2217","0x00","Application Data"
"47","2.019510915","0.000021054","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","2217","2269","0x00","36612  >  58226 [ACK] Seq=2217 Ack=2269 Win=64128 Len=0 TSval=911833019 TSecr=4198267801"
"48","2.090011324","0.070500409","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","459","2217","2269","0x00","Application Data"
"49","2.151803578","0.061792254","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","2269","2590","0x00","58226  >  36612 [ACK] Seq=2269 Ack=2590 Win=130688 Len=0 TSval=4198267936 TSecr=911833089"
"50","2.151849040","0.000045462","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","171","2269","2590","0x00","Application Data"
"51","2.151860702","0.000011662","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","2590","2354","0x00","36612  >  58226 [ACK] Seq=2590 Ack=2354 Win=64128 Len=0 TSval=911833151 TSecr=4198267963"
"52","2.158603180","0.006742478","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","187","2590","2354","0x00","Application Data"
"53","2.189702076","0.031098896","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","2354","2691","0x00","58226  >  36612 [ACK] Seq=2354 Ack=2691 Win=130944 Len=0 TSval=4198268025 TSecr=911833158"
"54","2.227603692","0.037901616","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","491","2354","2691","0x00","Application Data"
"55","2.268106627","0.040502935","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","2691","2759","0x00","36612  >  58226 [ACK] Seq=2691 Ack=2759 Win=64128 Len=0 TSval=911833268 TSecr=4198268064"
"56","2.281495860","0.013389233","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","2691","2759","0x00","Application Data"
"57","2.312162331","0.030666471","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","2759","2776","0x00","58226  >  36612 [ACK] Seq=2759 Ack=2776 Win=130944 Len=0 TSval=4198268136 TSecr=911833281"
"58","2.312225129","0.000062798","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","171","2759","2776","0x00","Application Data"
"59","2.312270757","0.000045628","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","2776","2844","0x00","36612  >  58226 [ACK] Seq=2776 Ack=2844 Win=64128 Len=0 TSval=911833312 TSecr=4198268142"
