"No.","Time","Time Diff","Source","Destination","Protocol","Length","Sequence Number","Acknowledgment Number","TCP Segment Len","Traffic Class","Info"
"10","11.141583825","0.000000000","fe80::f4af:cb28:5ee1:34bd","ff02::1","UDP","72","","","","0x80","65020  >  15118 Len=10"
"11","11.179806436","0.038222611","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","UDP","90","","","","0x80","15118  >  65020 Len=28"
"12","11.476107409","0.296300973","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","94","0","0","0","0x00","37232  >  49587 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 SACK_PERM=1 TSval=914077571 TSecr=0 WS=128"
"13","11.520937794","0.044830385","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","98","0","1","0","0x00","49587  >  37232 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=64 TSval=13635683 TSecr=914077571 SACK_PERM=1"
"14","11.520970294","0.000032500","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","1","1","0","0x00","37232  >  49587 [ACK] Seq=1 Ack=1 Win=64896 Len=0 TSval=914077616 TSecr=13635683"
"15","11.525350725","0.004380431","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1","1","0","0x00","[TCP Window Update] 49587  >  37232 [ACK] Seq=1 Ack=1 Win=131328 Len=0 TSval=13635695 TSecr=914077616"
"16","11.540308619","0.014957894","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","288","1","1","202","0x80","Client Hello"
"17","11.557286976","0.016978357","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1","203","0","0x80","49587  >  37232 [ACK] Seq=1 Ack=203 Win=131136 Len=0 TSval=13635715 TSecr=914077636"
"18","11.632689693","0.075402717","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","176","1","203","90","0x80","Server Hello"
"19","11.632708688","0.000018995","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","203","91","0","0x80","37232  >  49587 [ACK] Seq=203 Ack=91 Win=64896 Len=0 TSval=914077728 TSecr=13635770"
"20","11.632722056","0.000013368","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","1524","91","203","1438","0x80","Certificate"
"21","11.632724066","0.000002010","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","203","1529","0","0x80","37232  >  49587 [ACK] Seq=203 Ack=1529 Win=63488 Len=0 TSval=914077728 TSecr=13635770"
"22","11.640098450","0.007374384","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","215","1529","203","129","0x80","Server Key Exchange, Server Hello Done"
"23","11.640122906","0.000024456","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","203","1658","0","0x80","37232  >  49587 [ACK] Seq=203 Ack=1658 Win=63360 Len=0 TSval=914077735 TSecr=13635810"
