"No.","Time","Time Diff","Source","Destination","Protocol","Length","Sequence Number","Acknowledgment Number","TCP Segment Len","Traffic Class","Info"
"56","36.868772141","0.000000000","fe80::f4af:cb28:5ee1:34bd","ff02::1","UDP","72","","","","0xe0","50956  >  15118 Len=10"
"57","37.070696972","0.201924831","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","UDP","90","","","","0xe0","15118  >  50956 Len=28"
"58","37.348507659","0.277810687","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","94","0","0","0","0x00","39014  >  64616 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 SACK_PERM=1 TSval=913255264 TSecr=0 WS=128"
"59","37.587269493","0.238761834","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","98","0","1","0","0x00","64616  >  39014 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=64 TSval=504913763 TSecr=913255264 SACK_PERM=1"
"60","37.587369665","0.000100172","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","1","1","0","0x00","39014  >  64616 [ACK] Seq=1 Ack=1 Win=64896 Len=0 TSval=913255502 TSecr=504913763"
"61","37.598666501","0.011296836","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1","1","0","0x00","[TCP Window Update] 64616  >  39014 [ACK] Seq=1 Ack=1 Win=131328 Len=0 TSval=504913859 TSecr=913255502"
"62","37.606626851","0.007960350","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","288","1","1","202","0xe0","Client Hello"
"63","37.639352679","0.032725828","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1","203","0","0xe0","64616  >  39014 [ACK] Seq=1 Ack=203 Win=131136 Len=0 TSval=504913896 TSecr=913255522"
"64","37.700185304","0.060832625","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","176","1","203","90","0xe0","Server Hello"
"65","37.700216792","0.000031488","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","203","91","0","0xe0","39014  >  64616 [ACK] Seq=203 Ack=91 Win=64896 Len=0 TSval=913255615 TSecr=504913937"
"66","37.725478585","0.025261793","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","1524","91","203","1438","0xe0","Certificate"
"67","37.725495227","0.000016642","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","203","1529","0","0xe0","39014  >  64616 [ACK] Seq=203 Ack=1529 Win=63488 Len=0 TSval=913255641 TSecr=504913937"
"68","37.756617888","0.031122661","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","215","1529","203","129","0xe0","Server Key Exchange, Server Hello Done"
"69","37.756632146","0.000014258","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","203","1658","0","0xe0","39014  >  64616 [ACK] Seq=203 Ack=1658 Win=63360 Len=0 TSval=913255672 TSecr=504914012"
"70","37.768158880","0.011526734","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","128","203","1658","42","0xe0","Client Key Exchange"
"71","37.844464884","0.076306004","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1658","245","0","0xe0","64616  >  39014 [ACK] Seq=1658 Ack=245 Win=131072 Len=0 TSval=504914081 TSecr=913255683"
"72","37.844480943","0.000016059","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","177","245","1658","91","0xe0","Change Cipher Spec, Encrypted Handshake Message"
"73","37.880669132","0.036188189","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1658","336","0","0xe0","64616  >  39014 [ACK] Seq=1658 Ack=336 Win=131008 Len=0 TSval=504914137 TSecr=913255760"
"74","37.881618223","0.000949091","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","92","1658","336","6","0xe0","Change Cipher Spec"
"75","37.937573025","0.055954802","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","336","1664","0","0xe0","39014  >  64616 [ACK] Seq=336 Ack=1664 Win=64128 Len=0 TSval=913255853 TSecr=504914140"
"76","37.965633352","0.028060327","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","171","1664","336","85","0xe0","Encrypted Handshake Message"
"77","37.965710806","0.000077454","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","336","1749","0","0xe0","39014  >  64616 [ACK] Seq=336 Ack=1749 Win=64128 Len=0 TSval=913255881 TSecr=504914224"
"78","37.992063585","0.026352779","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","187","336","1749","101","0xe0","Application Data"
"79","38.029229131","0.037165546","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1749","437","0","0xe0","64616  >  39014 [ACK] Seq=1749 Ack=437 Win=130944 Len=0 TSval=504914278 TSecr=913255907"
"80","38.116756707","0.087527576","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","155","1749","437","69","0xe0","Application Data"
