"No.","Time","Time Diff","Source","Destination","Protocol","Length","Sequence Number","Acknowledgment Number","TCP Segment Len","Traffic Class","Info"
"1","0.000000000","0.000000000","fe80::f4af:cb28:5ee1:34bd","ff02::1","UDP","72","","","","0x80","50062  >  15118 Len=10"
"2","0.033383170","0.033383170","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","UDP","90","","","","0x80","15118  >  50062 Len=28"
"3","0.346551085","0.313167915","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","94","0","0","0","0x00","38236  >  62470 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 SACK_PERM=1 TSval=910802916 TSecr=0 WS=128"
"4","0.441991991","0.095440906","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","98","0","1","0","0x00","62470  >  38236 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=64 TSval=2714146735 TSecr=910802916 SACK_PERM=1"
"5","0.442018955","0.000026964","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","1","1","0","0x00","38236  >  62470 [ACK] Seq=1 Ack=1 Win=64896 Len=0 TSval=910803012 TSecr=2714146735"
"6","0.445381739","0.003362784","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1","1","0","0x00","[TCP Window Update] 62470  >  38236 [ACK] Seq=1 Ack=1 Win=131328 Len=0 TSval=2714146739 TSecr=910803012"
"7","0.460084272","0.014702533","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","288","1","1","202","0x80","Client Hello"
"8","0.464902607","0.004818335","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1","203","0","0x80","62470  >  38236 [ACK] Seq=1 Ack=203 Win=131136 Len=0 TSval=2714146759 TSecr=910803030"
"9","0.642562496","0.177659889","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","176","1","203","90","0x80","Server Hello"
"10","0.642584415","0.000021919","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","203","91","0","0x80","38236  >  62470 [ACK] Seq=203 Ack=91 Win=64896 Len=0 TSval=910803212 TSecr=2714146862"
"11","0.642597151","0.000012736","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","1524","91","203","1438","0x80","Certificate"
"12","0.642599301","0.000002150","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","203","1529","0","0x80","38236  >  62470 [ACK] Seq=203 Ack=1529 Win=63488 Len=0 TSval=910803212 TSecr=2714146862"
"13","0.649390483","0.006791182","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","214","1529","203","128","0x80","Server Key Exchange, Server Hello Done"
"14","0.649407901","0.000017418","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","203","1657","0","0x80","38236  >  62470 [ACK] Seq=203 Ack=1657 Win=63360 Len=0 TSval=910803219 TSecr=2714146943"
"15","0.673409817","0.024001916","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","128","203","1657","42","0x80","Client Key Exchange"
"16","0.677779673","0.004369856","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1657","245","0","0x80","62470  >  38236 [ACK] Seq=1657 Ack=245 Win=131072 Len=0 TSval=2714146972 TSecr=910803243"
"17","0.679528154","0.001748481","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","92","245","1657","6","0x80","Change Cipher Spec"
"18","0.683785258","0.004257104","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1657","251","0","0x80","62470  >  38236 [ACK] Seq=1657 Ack=251 Win=131072 Len=0 TSval=2714146977 TSecr=910803249"
"19","0.683802757","0.000017499","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","251","1657","85","0x80","Encrypted Handshake Message"
"20","0.688584091","0.004781334","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1657","336","0","0x80","62470  >  38236 [ACK] Seq=1657 Ack=336 Win=131008 Len=0 TSval=2714146982 TSecr=910803254"
