"No.","Time","Time Diff","Source","Destination","Protocol","Length","Sequence Number","Acknowledgment Number","TCP Segment Len","Traffic Class","Info"
"9","9.221818795","0.000000000","fe80::f4af:cb28:5ee1:34bd","ff02::1","UDP","72","","","","0xe0","62975  >  15118 Len=10"
"10","9.420804013","0.198985218","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","UDP","90","","","","0xe0","15118  >  62975 Len=28"
"11","9.711198702","0.290394689","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","94","0","0","0","0x00","47428  >  64483 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 SACK_PERM=1 TSval=909044058 TSecr=0 WS=128"
"12","9.932733995","0.221535293","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","98","0","1","0","0x00","64483  >  47428 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=64 TSval=3360411202 TSecr=909044058 SACK_PERM=1"
"13","9.932806678","0.000072683","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","1","1","0","0x00","47428  >  64483 [ACK] Seq=1 Ack=1 Win=64896 Len=0 TSval=909044280 TSecr=3360411202"
"15","9.935465410","0.002658732","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","98","0","1","0","0x00","[TCP Out-Of-Order] 64483  >  47428 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=64 TSval=3360411304 TSecr=909044058 SACK_PERM=1"
"16","9.935480361","0.000014951","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","1","1","0","0xe0","[TCP Dup ACK 13#1] 47428  >  64483 [ACK] Seq=1 Ack=1 Win=64896 Len=0 TSval=909044283 TSecr=3360411202"
"17","9.938122260","0.002641899","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1","1","0","0x00","[TCP Window Update] 64483  >  47428 [ACK] Seq=1 Ack=1 Win=131328 Len=0 TSval=3360411306 TSecr=909044280"
"18","9.953181804","0.015059544","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","288","1","1","202","0xe0","Client Hello"
"19","9.958107210","0.004925406","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1","203","0","0xe0","64483  >  47428 [ACK] Seq=1 Ack=203 Win=131136 Len=0 TSval=3360411328 TSecr=909044300"
"21","10.016757950","0.058650740","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","176","1","203","90","0xe0","Server Hello"
"22","10.016779311","0.000021361","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","203","91","0","0xe0","47428  >  64483 [ACK] Seq=203 Ack=91 Win=64896 Len=0 TSval=909044364 TSecr=3360411386"
"23","10.019405926","0.002626615","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","1524","91","203","1438","0xe0","Certificate"
"24","10.019417230","0.000011304","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","203","1529","0","0xe0","47428  >  64483 [ACK] Seq=203 Ack=1529 Win=63488 Len=0 TSval=909044367 TSecr=3360411386"
