"No.","Time","Time Diff","Source","Destination","Protocol","Length","Sequence Number","Acknowledgment Number","TCP Segment Len","Traffic Class","Info"
"5","5.900519072","0.000000000","fe80::f4af:cb28:5ee1:34bd","ff02::1","UDP","72","","","","0x00","50207  >  15118 Len=10"
"6","5.959423373","0.058904301","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","UDP","90","","","","0x00","15118  >  50207 Len=28"
"7","6.257492195","0.298068822","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","94","0","0","0","0x00","48506  >  53463 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 SACK_PERM=1 TSval=907807807 TSecr=0 WS=128"
"8","6.263692501","0.006200306","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","98","0","1","0","0x00","53463  >  48506 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=64 TSval=3524387175 TSecr=907807807 SACK_PERM=1"
"9","6.263718648","0.000026147","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","1","1","0","0x00","48506  >  53463 [ACK] Seq=1 Ack=1 Win=64896 Len=0 TSval=907807814 TSecr=3524387175"
"10","6.267534722","0.003816074","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1","1","0","0x00","[TCP Window Update] 53463  >  48506 [ACK] Seq=1 Ack=1 Win=131328 Len=0 TSval=3524387180 TSecr=907807814"
"11","6.283155618","0.015620896","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","288","1","1","202","0x00","Client Hello"
"12","6.288328321","0.005172703","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1","203","0","0x00","53463  >  48506 [ACK] Seq=1 Ack=203 Win=131136 Len=0 TSval=3524387201 TSecr=907807833"
"13","6.450734668","0.162406347","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","176","1","203","90","0x00","Server Hello"
"14","6.450755928","0.000021260","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","203","91","0","0x00","48506  >  53463 [ACK] Seq=203 Ack=91 Win=64896 Len=0 TSval=907808001 TSecr=3524387318"
"15","6.450770731","0.000014803","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","1524","91","203","1438","0x00","Certificate"
"16","6.450772489","0.000001758","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","203","1529","0","0x00","48506  >  53463 [ACK] Seq=203 Ack=1529 Win=63488 Len=0 TSval=907808001 TSecr=3524387318"
"17","6.456511619","0.005739130","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","215","1529","203","129","0x00","Server Key Exchange, Server Hello Done"
"18","6.456528975","0.000017356","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","203","1658","0","0x00","48506  >  53463 [ACK] Seq=203 Ack=1658 Win=63360 Len=0 TSval=907808006 TSecr=3524387368"
"19","6.480793096","0.024264121","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","128","203","1658","42","0x00","Client Key Exchange"
"20","6.487877074","0.007083978","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1658","245","0","0x00","53463  >  48506 [ACK] Seq=1658 Ack=245 Win=131072 Len=0 TSval=3524387397 TSecr=907808031"
"21","6.487899380","0.000022306","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","177","245","1658","91","0x00","Change Cipher Spec, Encrypted Handshake Message"
"22","6.492312402","0.004413022","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1658","336","0","0x00","53463  >  48506 [ACK] Seq=1658 Ack=336 Win=131008 Len=0 TSval=3524387404 TSecr=907808038"
