frame.number,frame.time_relative,tcp.seq
59,18.618562000,
63,18.873384000,
67,19.126336000,
69,19.381631000,
70,19.638329000,
79,20.886392000,0
81,20.921823000,1
83,21.002668000,1
86,21.165525000,203
89,21.167065000,203
91,21.172081000,203
93,21.181977000,203
95,21.261078000,203
97,21.301533000,245
100,21.352837000,336
102,21.357336000,336
103,21.437598000,336
106,21.822851000,437
108,21.845813000,437
109,22.006580000,437
110,22.213244000,437
113,22.246240000,522
114,22.260624000,522
118,22.414767000,607
119,22.587689000,607
124,23.041306000,692
125,23.378741000,692
126,23.378742000,2120
130,23.475761000,2217
131,23.628280000,2217
134,23.960822000,2590
135,23.983429000,2590
138,24.033917000,2691
139,24.147535000,2691
143,25.695440000,2691
148,26.118461000,2776
149,26.129353000,2776
152,26.252565000,2861
154,26.740968000,2861
155,28.281544000,2861
158,28.354601000,2946
160,30.372680000,2946
163,30.582794000,3031
165,32.601571000,3031
168,32.731045000,3116
172,34.743401000,3116
175,34.761441000,3201
179,36.774136000,3201
182,37.909259000,3201
185,37.988880000,3286
188,40.001877000,3286
191,40.050958000,3371
195,42.062135000,3371
198,42.082234000,3456
228,44.094571000,3456
231,44.244702000,3541
239,46.261303000,3541
242,46.279918000,3626
248,48.296190000,3626
251,48.427008000,3711
252,48.441365000,3711
255,48.605454000,3796
256,48.616033000,3796
259,48.778935000,3881
260,48.811948000,3881
261,48.813293000,3950
275,53.869083000,3951
278,53.869647000,3951
284,58.933597000,
294,60.072118000,0
296,60.125993000,1
297,60.180753000,1
301,60.279702000,203
304,60.282887000,203
310,60.873314000,203
313,61.460347000,203
315,61.480278000,203
316,61.506504000,203
318,61.550777000,245
321,61.735715000,336
323,62.372518000,336
324,62.460905000,336
327,62.488005000,437
328,62.640802000,437
331,62.743642000,522
332,62.754475000,522
339,63.092460000,607
340,63.287157000,607
343,63.439939000,692
346,64.120904000,692
347,64.120905000,2120
351,64.337537000,2217
352,64.607716000,2217
356,64.832775000,2590
357,64.849163000,2590
361,65.131808000,2691
362,65.265128000,2691
365,65.304272000,2776
366,65.316615000,2776
369,65.359356000,2861
376,67.379579000,2861
377,68.065026000,2861
386,68.550414000,2946
388,70.574852000,2946
391,70.658034000,3031
395,72.671812000,3031
399,73.162382000,3116
403,75.178924000,3116
406,75.272570000,3201
411,77.286898000,3201
414,77.392565000,3286
420,79.406578000,3286
423,79.444302000,3371
