frame.number,frame.time_relative,tcp.seq
17,20.615859000,
19,20.883528000,
26,22.121029000,0
28,22.182986000,1
30,22.337378000,1
35,22.393884000,203
36,22.394729000,203
38,22.403453000,203
40,22.411446000,203
41,22.507429000,203
43,22.559921000,245
46,22.580853000,336
48,22.591806000,336
49,22.682211000,336
53,23.087803000,437
54,23.092165000,437
55,23.260551000,437
58,23.478574000,437
60,23.530209000,522
61,23.582513000,522
64,23.661140000,607
65,24.014239000,607
68,24.270456000,692
69,24.608170000,692
71,24.610254000,2120
74,24.747936000,2217
75,25.085165000,2217
78,25.191430000,2590
79,25.213097000,2590
82,25.263101000,2691
91,27.180796000,2691
107,27.415541000,2776
108,27.415541000,2776
175,28.238890000,2861
240,29.510269000,2861
245,29.790733000,2946
263,31.707374000,2946
266,31.854915000,3031
269,33.930185000,3031
272,33.959803000,3116
281,35.975760000,3116
284,35.992866000,3201
385,39.171741000,3201
401,39.300125000,3286
503,41.254057000,3286
506,41.281170000,3371
507,43.294059000,3371
510,43.311021000,3456
511,45.393731000,3456
514,45.485077000,3541
517,47.495853000,3541
520,47.508653000,3626
524,49.590118000,3626
527,49.711986000,3711
528,49.712413000,3711
531,49.929899000,3796
532,49.944339000,3796
535,50.061724000,3881
536,50.083534000,3881
537,50.083535000,3950
543,55.197820000,3951
544,55.197821000,3951
601,60.206477000,
606,61.319287000,0
608,61.369773000,1
610,61.485483000,1
615,61.511652000,203
620,62.304798000,203
623,62.710792000,203
624,62.739104000,203
625,62.740977000,203
627,62.807650000,245
630,63.189832000,336
632,63.662519000,336
633,63.692159000,336
636,63.861730000,437
637,63.936157000,437
640,63.974574000,522
641,64.245915000,522
644,64.325210000,607
645,64.651219000,607
648,64.670756000,692
649,65.466298000,692
651,65.504641000,2120
654,65.663615000,2217
655,66.037429000,2217
658,66.062782000,2590
659,66.310119000,2590
662,66.373768000,2691
663,66.503954000,2691
666,66.569834000,2776
667,66.577178000,2776
670,66.590812000,2861
694,69.637823000,2861
703,69.925327000,2946
704,71.837273000,2946
707,71.965648000,3031
708,74.277264000,3031
711,74.440774000,3116
714,76.491230000,3116
717,76.503669000,3201
721,78.579990000,3201
724,78.664324000,3286
728,80.662300000,3286
731,80.678179000,3371
735,82.691945000,3371
738,82.705747000,3456
739,84.789110000,3456
742,84.799779000,3541
749,86.865006000,3541
752,86.875964000,3626
755,88.891654000,3626
758,88.904095000,3711
759,88.959336000,3711
762,89.018611000,3796
763,89.059418000,3796
766,89.079704000,3881
767,89.141588000,3881
769,89.159766000,3950
778,94.368212000,3951
779,94.381701000,3951
823,100.458554000,
827,101.696144000,0
830,101.989642000,1
832,101.994437000,1
833,102.082139000,1
838,102.398528000,203
839,102.398966000,203
841,102.402382000,203
842,102.535926000,203
844,102.580821000,245
847,102.595051000,336
849,102.600366000,336
850,102.693760000,336
853,102.712484000,437
854,103.019626000,437
861,103.498399000,522
862,103.561847000,522
863,103.561848000,522
866,103.674686000,607
868,104.109957000,607
873,104.585445000,692
874,104.590931000,692
878,105.248606000,2120
880,105.283345000,692
883,105.372757000,2217
884,105.499370000,2217
887,105.521818000,2590
888,105.584884000,2590
891,105.628673000,2691
893,105.772971000,2691
896,105.808948000,2776
897,105.809554000,2776
900,105.878733000,2861
909,107.864466000,2861
912,107.982394000,2946
916,109.994482000,2946
919,110.112073000,3031
924,112.160493000,3031
928,112.465665000,3116
931,114.312374000,3116
934,114.615670000,3201
937,116.642012000,3201
