frame.number,frame.time_relative,tcp.seq
23,20.582545000,
24,20.583072000,
34,22.452942000,0
39,22.460266000,1
41,22.538296000,1
46,22.602135000,203
47,22.604558000,203
49,22.608823000,203
51,22.614002000,203
52,22.689192000,203
54,22.704783000,245
56,22.708008000,251
59,22.734346000,336
61,22.737705000,336
62,22.845634000,336
65,22.991756000,437
67,23.175814000,437
70,23.193334000,522
71,23.208107000,522
74,23.228463000,607
75,23.500648000,607
78,23.518799000,692
79,23.965026000,692
80,23.965028000,2120
84,24.051658000,2217
85,24.224871000,2217
88,24.269697000,2590
89,24.293526000,2590
93,24.577245000,2691
94,24.577247000,2691
97,24.714626000,2691
100,24.730274000,2776
101,24.741134000,2776
104,24.753047000,2861
105,26.777602000,2861
108,26.791624000,2946
109,28.830386000,2946
112,28.848599000,3031
113,30.927032000,3031
116,30.943670000,3116
117,32.956154000,3116
120,32.974296000,3201
121,35.042999000,3201
124,35.053781000,3286
125,37.176229000,3286
128,37.191726000,3371
130,39.437347000,3371
134,39.629994000,3456
135,39.630156000,3456
136,42.818100000,3456
140,43.016136000,3541
141,43.016599000,3541
148,45.058183000,3541
151,45.085997000,3626
153,48.336776000,3626
156,48.372695000,3711
157,48.377247000,3711
160,48.388382000,3796
161,48.396010000,3796
164,48.410607000,3881
165,48.667499000,3881
166,48.667633000,3950
177,53.453696000,3951
178,53.454662000,3951
189,59.301402000,
192,60.624829000,0
195,60.832962000,1
197,60.833342000,1
198,60.894867000,1
203,60.906947000,203
204,60.907660000,203
206,60.912729000,203
207,60.986543000,203
209,61.002654000,245
211,61.016927000,251
214,61.294834000,336
218,61.446721000,336
219,61.536419000,336
222,61.654938000,437
223,61.821806000,437
226,61.833507000,522
227,61.852583000,522
230,61.868299000,607
231,62.011532000,607
234,62.027082000,692
236,62.697122000,692
237,62.697261000,2120
241,62.747195000,2217
245,63.082696000,2217
248,63.108817000,2590
249,63.121261000,2590
254,63.361024000,2691
255,63.382648000,2691
256,63.492981000,2691
259,63.514761000,2776
260,63.522033000,2776
263,63.533324000,2861
272,65.548413000,2861
275,65.560542000,2946
281,67.584708000,2946
284,67.597528000,3031
287,69.737011000,3031
290,69.749939000,3116
292,71.764894000,3116
295,71.781634000,3201
297,73.935403000,3201
300,73.948302000,3286
302,75.984444000,3286
305,75.999655000,3371
306,78.188489000,3371
309,78.205017000,3456
316,80.588121000,3456
320,80.788033000,3456
323,80.789498000,3541
324,80.789500000,3541
333,82.804672000,3541
336,82.817026000,3626
341,84.834650000,3626
344,84.844881000,3711
345,84.861870000,3711
348,84.874198000,3796
349,84.881987000,3796
352,84.890929000,3881
353,84.938403000,3881
355,84.938811000,3950
373,90.062551000,3951
374,90.062873000,3951
377,95.233094000,
379,96.464577000,0
381,96.472664000,1
383,96.540933000,1
388,96.556578000,203
389,96.556858000,203
391,96.559341000,203
392,96.648366000,203
394,96.678468000,245
396,96.787378000,251
399,96.792498000,336
401,96.795952000,336
402,96.912475000,336
405,96.923628000,437
406,97.098223000,437
409,97.110672000,522
410,97.138869000,522
413,97.175493000,607
414,97.500238000,607
417,97.511158000,692
418,97.959027000,692
420,97.959662000,2120
423,97.999605000,2217
424,98.213000000,2217
427,98.236451000,2590
428,98.251505000,2590
431,98.378617000,2691
432,98.514087000,2691
435,98.529142000,2776
436,98.538650000,2776
439,98.563424000,2861
441,100.664153000,2861
444,100.678861000,2946
445,102.713220000,2946
448,102.726525000,3031
453,104.739602000,3031
456,104.757431000,3116
457,106.808432000,3116
