frame.number,frame.time_relative,tcp.seq
75,21.865011000,
78,22.432734000,
87,24.259988000,0
90,24.378514000,0
92,24.416788000,1
95,24.531830000,1
97,24.595365000,91
98,24.637348000,1519
100,24.664886000,1529
104,24.944376000,1658
106,25.034804000,1658
107,25.063702000,1658
109,25.165804000,1664
112,25.423826000,1749
113,25.480590000,1749
116,26.120435000,1818
117,26.140914000,1818
118,26.140919000,1818
122,26.270615000,1919
123,26.305357000,1919
126,26.579491000,2084
127,26.620138000,2084
134,27.061254000,2169
135,27.067619000,2169
136,27.111290000,2169
139,27.357605000,2270
140,27.435227000,2270
144,27.965192000,2270
148,28.709504000,2355
149,28.718481000,2355
153,28.876759000,2760
154,28.919655000,2760
157,29.086409000,2845
158,29.142129000,2845
161,29.805731000,2845
164,31.323942000,2962
165,31.375840000,2962
167,31.969565000,2962
172,33.536507000,3079
173,33.585172000,3079
182,35.666373000,3196
183,35.669676000,3196
187,37.879428000,3313
188,37.918371000,3313
203,40.216570000,3430
204,40.222735000,3430
261,42.444130000,3547
262,42.449606000,3547
276,44.580517000,3664
277,44.586047000,3664
285,47.224556000,3781
286,47.240569000,3781
287,47.240572000,3781
290,47.257677000,3898
293,49.448028000,3898
294,49.476998000,3898
297,51.706102000,4015
298,51.737758000,4015
301,51.849883000,4132
302,51.857779000,4132
305,51.917118000,4217
306,51.933239000,4217
310,52.032769000,4302
311,52.037310000,4302
326,57.142537000,4302
328,57.157878000,4371
329,57.157881000,4372
344,62.395543000,
345,62.403215000,
348,63.668565000,0
350,63.724809000,1
352,63.882085000,1
353,63.893388000,1
355,63.911152000,91
356,63.911156000,1519
358,64.035660000,1529
361,64.141714000,1659
363,64.253304000,1659
364,64.255881000,1659
366,64.348225000,1665
369,64.505246000,1750
370,64.520195000,1750
373,64.745057000,1819
374,64.764025000,1819
378,64.835347000,1920
379,64.843556000,1920
382,65.047254000,2085
383,65.049470000,2085
387,65.570485000,2170
388,65.572272000,2170
389,65.604077000,2170
392,65.796696000,2271
393,65.848974000,2271
396,66.013781000,2356
397,66.360025000,2356
400,66.567641000,2761
401,66.573939000,2761
404,66.699490000,2846
405,66.713593000,2846
413,68.779429000,2963
415,68.815010000,2963
425,70.998782000,3080
426,71.055369000,3080
431,73.187538000,3197
432,73.270896000,3197
436,75.401216000,3314
437,75.494531000,3314
440,77.668130000,3431
441,77.709058000,3431
445,79.892460000,3548
446,79.892463000,3548
457,82.072924000,3665
458,82.089299000,3665
466,84.300509000,3782
467,84.315324000,3782
486,86.414485000,3899
487,86.425182000,3899
498,88.513179000,4016
499,88.553483000,4016
502,88.620734000,4133
503,88.629044000,4133
506,88.680218000,4218
507,88.680551000,4218
511,88.765232000,4303
512,88.790945000,4303
520,94.324371000,4303
521,94.324374000,4372
522,94.324375000,4373
550,99.253524000,
551,99.254032000,
553,100.368547000,0
562,100.530167000,1
563,100.534707000,1
564,100.535309000,1
565,100.535311000,91
566,100.535312000,1519
569,100.655657000,1529
572,100.757536000,1659
574,100.848186000,1659
575,100.880100000,1659
577,100.994640000,1665
581,101.144281000,1750
582,101.144678000,1750
595,101.452826000,1819
596,101.455911000,1819
599,101.546256000,1920
600,101.565063000,1920
614,101.887829000,2085
615,101.960157000,2085
619,102.578356000,2170
620,102.616964000,2170
621,102.666915000,2170
627,103.023629000,2271
628,103.232452000,2271
631,103.254511000,2271
633,103.286409000,2356
634,103.332048000,2356
637,103.601520000,2761
638,103.621299000,2761
641,103.767716000,2846
642,103.786721000,2846
649,105.947949000,2963
650,105.963056000,2963
658,108.099917000,3080
661,108.136667000,3080
666,110.361992000,3197
667,110.391324000,3197
678,112.536714000,3314
679,112.554687000,3314
685,114.732444000,3431
686,114.795241000,3431
690,116.991442000,3548
691,117.027389000,3548
696,119.204632000,3665
697,119.297508000,3665
704,121.428969000,3782
705,121.433626000,3782
710,123.622943000,3899
711,123.649506000,3899
717,125.769657000,4016
