frame.number,frame.time_relative,tcp.seq
72,21.289098000,
73,21.544102000,
74,21.800277000,
85,23.986969000,0
86,24.146583000,0
88,24.260069000,1
89,24.345767000,1
91,24.378613000,203
96,24.531905000,203
99,24.637422000,203
101,24.664988000,203
102,24.729212000,203
105,24.944465000,245
108,25.063804000,336
110,25.165875000,336
111,25.262380000,336
114,25.480676000,437
115,25.677669000,437
119,26.141019000,522
120,26.141107000,522
121,26.154096000,522
124,26.305467000,607
125,26.467502000,607
128,26.620211000,692
130,26.889270000,692
131,26.889271000,2120
137,27.111358000,2217
138,27.261607000,2217
141,27.435325000,2590
142,27.448089000,2590
145,27.965263000,2691
146,28.553189000,2590
150,28.718534000,2691
151,28.828058000,2691
155,28.919749000,2776
156,28.928459000,2776
159,29.142207000,2861
162,29.805809000,2861
163,31.162581000,2861
166,31.375915000,2946
168,31.969634000,2946
171,33.390469000,2946
174,33.585257000,3031
181,35.595034000,3031
184,35.669748000,3116
186,37.683215000,3116
189,37.918443000,3201
197,39.928312000,3201
205,40.222787000,3286
259,42.233756000,3286
263,42.449662000,3371
275,44.457958000,3371
278,44.586104000,3456
282,46.599260000,3456
284,47.205805000,3456
288,47.240612000,3541
289,47.240663000,3541
292,49.254130000,3541
295,49.477054000,3626
296,51.490267000,3626
299,51.737815000,3711
300,51.746424000,3711
303,51.857837000,3796
304,51.864336000,3796
307,51.933299000,3881
308,51.965312000,3881
309,51.966668000,3950
327,57.142650000,3951
330,57.157924000,3951
342,62.043664000,
343,62.301406000,
347,63.488450000,0
349,63.668748000,1
351,63.737733000,1
354,63.893472000,203
357,63.911257000,203
359,64.035762000,203
360,64.063291000,203
362,64.141816000,245
365,64.255937000,336
367,64.348298000,336
368,64.421940000,336
371,64.520248000,437
372,64.677651000,437
375,64.764133000,522
376,64.777968000,522
380,64.843644000,607
381,64.974570000,607
384,65.049552000,692
385,65.417173000,692
386,65.417174000,2120
390,65.604131000,2217
391,65.754703000,2217
394,65.849048000,2590
395,65.861766000,2590
398,66.360106000,2691
399,66.483901000,2691
402,66.573988000,2776
403,66.581541000,2776
406,66.713650000,2861
412,68.724283000,2861
416,68.815067000,2946
423,70.828865000,2946
427,71.055422000,3031
429,73.069171000,3031
433,73.270978000,3116
435,75.280217000,3116
