frame.number,frame.time_relative,tcp.seq
18,20.624555000,
21,20.886235000,
27,22.121482000,0
29,22.183180000,1
31,22.337507000,1
32,22.383058000,1
33,22.383379000,91
34,22.383404000,1519
37,22.396380000,1529
39,22.403508000,1650
42,22.507592000,1659
44,22.559991000,1659
45,22.563661000,1659
47,22.580949000,1665
50,22.682359000,1750
51,22.783719000,1750
52,22.919208000,1750
56,23.260711000,1819
57,23.274658000,1819
59,23.478717000,1920
62,23.582673000,1920
63,23.598463000,1920
66,24.014387000,2085
67,24.026861000,2085
70,24.608332000,2170
72,24.610414000,2170
73,24.679190000,2170
76,25.085236000,2271
77,25.105023000,2271
80,25.213163000,2356
81,25.233285000,2356
92,27.180940000,2761
93,27.195338000,2761
109,27.415660000,2846
110,27.423261000,2846
126,27.728491000,2846
241,29.510412000,2963
242,29.521030000,2963
264,31.707521000,3080
265,31.718224000,3080
270,33.930343000,3197
271,33.951513000,3197
282,35.975948000,3314
283,35.985919000,3314
386,39.171915000,3431
387,39.181830000,3431
504,41.254205000,3548
505,41.264194000,3548
508,43.294207000,3665
509,43.304832000,3665
512,45.393889000,3782
513,45.404632000,3782
518,47.496037000,3899
519,47.505948000,3899
525,49.590284000,4016
526,49.599733000,4016
529,49.712562000,4133
530,49.721501000,4133
533,49.944486000,4218
534,49.952985000,4218
538,50.083618000,4303
539,50.083667000,4303
540,54.959850000,4303
541,54.960710000,4372
542,54.961375000,4373
602,60.207244000,
607,61.319728000,0
609,61.369897000,1
611,61.485626000,1
612,61.501152000,1
613,61.501327000,91
614,61.501348000,1519
618,61.851868000,91
619,62.253224000,91
621,62.304962000,1529
622,62.449090000,1529
626,62.741126000,1658
628,62.807718000,1658
629,62.808596000,1658
631,63.190028000,1664
634,63.692331000,1749
635,63.704245000,1749
638,63.936317000,1818
639,63.945110000,1818
642,64.246053000,1919
643,64.256006000,1919
646,64.651366000,2084
647,64.659946000,2084
650,65.466361000,2169
652,65.504929000,2169
653,65.543852000,2169
656,66.037590000,2270
657,66.058572000,2270
660,66.310290000,2355
661,66.331423000,2355
664,66.504110000,2760
665,66.513061000,2760
668,66.577327000,2845
669,66.586074000,2845
695,69.637984000,2962
696,69.647227000,2962
705,71.837431000,3079
706,71.845815000,3079
709,74.277421000,3196
710,74.286260000,3196
715,76.491385000,3313
716,76.500831000,3313
722,78.580138000,3430
723,78.588558000,3430
729,80.662448000,3547
730,80.672042000,3547
736,82.692047000,3664
737,82.702679000,3664
740,84.789258000,3781
741,84.797361000,3781
750,86.865186000,3898
751,86.873524000,3898
756,88.891811000,4015
757,88.899948000,4015
760,88.959481000,4132
761,88.967327000,4132
764,89.059578000,4217
765,89.066895000,4217
768,89.141732000,4302
770,89.159927000,4302
773,94.071433000,4302
774,94.071690000,4371
775,94.071762000,4372
824,100.460485000,
828,101.696599000,0
829,101.797926000,0
831,101.989825000,1
834,102.082206000,1
835,102.086510000,1
836,102.086593000,91
837,102.086624000,1519
840,102.399125000,1529
843,102.536089000,1657
845,102.580965000,1657
846,102.583117000,1657
848,102.595201000,1663
851,102.693906000,1748
852,102.702316000,1748
855,103.019774000,1817
856,103.027282000,1817
859,103.267308000,1817
864,103.562001000,1918
865,103.571019000,1918
869,104.110109000,2083
870,104.118002000,2083
872,104.425902000,2083
879,105.248664000,2168
881,105.283492000,2168
882,105.315566000,2168
885,105.499442000,2269
886,105.509973000,2269
889,105.585043000,2354
890,105.602879000,2354
894,105.773118000,2759
895,105.781461000,2759
898,105.809720000,2844
899,105.818033000,2844
910,107.864640000,2961
911,107.872023000,2961
917,109.994635000,3078
918,110.003973000,3078
925,112.160659000,3195
926,112.168300000,3195
927,112.463746000,3195
932,114.312519000,3312
933,114.320027000,3312
938,116.642178000,3429
939,116.649699000,3429
942,118.736377000,3546
943,118.744484000,3546
946,121.312426000,3663
947,121.319629000,3663
950,123.389406000,3780
951,123.396737000,3780
954,125.479308000,3897
955,125.482614000,3897
960,127.527150000,4014
961,127.534929000,4014
964,127.605671000,4131
965,127.612820000,4131
966,127.908411000,4131
969,128.199865000,4216
970,128.206383000,4216
973,128.256450000,4301
975,128.284290000,4301
988,133.213246000,4301
989,133.213501000,4370
990,133.213566000,4371
1001,139.184365000,
1003,139.468533000,
1005,140.457999000,0
1007,140.468200000,1
1009,140.768438000,1
1010,140.780323000,1
1011,140.780485000,91
1012,140.780538000,1519
1015,141.002330000,1529
1018,141.158840000,1658
1020,141.162792000,1658
1021,141.164592000,1658
1023,141.197301000,1664
1026,141.279394000,1749
1027,141.287346000,1749
1030,141.494637000,1818
1031,141.501452000,1818
