frame.number,frame.time_relative,tcp.seq
3,0.258969159,
4,0.425035970,
6,0.608681217,0
9,0.638331390,1
10,0.638432294,1
11,0.834009536,1
13,0.834044689,91
15,0.853484477,1529
18,0.939676711,1657
20,0.945256941,1657
21,1.005221501,1657
23,1.270434941,1663
26,1.436988047,1748
27,1.460788538,1748
30,1.531202906,1817
31,1.547192134,1817
34,1.571689194,1918
35,1.579633968,1918
38,1.699057731,2083
39,1.713079765,2083
45,1.926203128,2168
46,2.019489861,2168
49,2.151803578,2269
50,2.151849040,2269
53,2.189702076,2354
54,2.227603692,2354
57,2.312162331,2759
58,2.312225129,2759
62,2.655980419,2844
63,2.655995757,2844
64,2.656003151,2844
66,2.656020951,2961
69,4.892431065,2961
70,4.892446908,2961
81,7.080174192,3078
82,7.080212441,3078
87,9.165060823,3195
88,9.165077173,3195
91,11.449499716,3312
92,11.449514363,3312
97,13.532012848,3429
98,13.553326439,3429
101,13.648894234,3546
102,13.657025699,3546
104,13.699285005,3631
105,13.699299981,3631
108,13.740000010,3716
109,13.751818010,3716
114,19.177153110,3716
116,19.177182203,3785
118,19.177186526,3786
122,21.571555268,
124,21.987245013,0
126,21.999913524,1
128,22.016957533,1
129,22.331363641,1
131,22.331398209,91
140,22.383732999,1
142,22.383763036,1529
148,22.408818613,1529
150,22.462066313,1658
164,22.781925499,1658
165,22.781938693,1658
168,22.812323257,1664
171,22.838851619,1749
173,22.932854038,1749
175,22.991206324,1749
180,23.179058445,1818
181,23.179074227,1818
185,23.242477697,1919
186,23.242493974,1919
189,23.383035566,2084
190,23.383052439,2084
194,23.588417737,2169
195,23.628405981,2169
198,24.069290638,2270
199,24.069435446,2270
206,24.228885445,2355
207,24.228896190,2355
210,24.330483226,2760
211,24.354041073,2760
214,24.422584762,2845
215,24.459854885,2845
220,26.805561133,2962
221,26.805577499,2962
224,28.911264176,3079
225,28.921185373,3079
230,31.144687344,3196
231,31.144703473,3196
251,33.253278453,3313
252,33.253293445,3313
255,35.445834893,3430
256,35.445850073,3430
259,35.568069548,3547
260,35.568085999,3547
262,35.662106398,3632
263,35.662123280,3632
266,35.735306796,3717
267,35.744569897,3717
270,41.078066797,3717
272,41.078123277,3786
274,41.078128431,3787
281,43.694700745,
282,43.760392701,
284,44.051300188,0
287,44.131869778,1
288,44.134462767,1
289,44.223198950,1
291,44.223231267,91
293,44.327479331,1529
296,44.368110286,1659
298,44.401713666,1659
299,44.404355782,1659
301,44.683073188,1665
303,44.703201532,1665
306,44.917889730,1750
307,44.917904652,1750
310,45.051255195,1750
313,45.333379667,1819
314,45.333396311,1819
317,45.377763286,1920
318,45.377778318,1920
319,45.378861639,1920
322,45.605930358,2085
323,45.605946127,2085
327,45.978471603,2170
328,45.978485997,2170
330,45.978504227,2170
333,46.121237734,2271
334,46.121250047,2271
337,46.232159039,2356
338,46.232175601,2356
341,46.550912701,2761
342,46.550927843,2761
345,46.835710067,2846
346,46.835725360,2846
351,49.116104698,2963
352,49.116119678,2963
355,51.397133765,3080
356,51.940852045,3080
358,51.940885908,3080
361,54.184407353,3197
362,54.184422486,3197
365,56.253804463,3314
366,56.253819557,3314
369,58.477773145,3431
370,58.479230244,3431
373,58.515301947,3548
374,58.515316859,3548
376,58.538907919,3633
377,58.538919881,3633
380,58.566469670,3718
381,58.566484221,3718
384,63.936723020,3718
386,63.936751535,3787
388,63.936755340,3788
407,66.493036545,
409,66.997933554,0
412,67.029801410,0
414,67.034044852,1
415,67.034840854,1
416,67.121255776,1
418,67.121281867,91
420,67.142432505,1529
424,67.183000158,1659
434,67.289441997,1659
435,67.289457002,1659
438,67.349949839,1665
441,67.381989282,1750
442,67.458742151,1750
445,67.543937648,1819
446,67.544050169,1819
449,67.609332322,1920
450,67.609344642,1920
456,67.734623259,2085
457,67.734639206,2085
462,67.925615298,2170
463,68.166251699,2170
468,68.312220921,2170
470,68.318703593,2271
471,68.349164647,2271
474,68.454625391,2356
475,68.502027716,2356
478,68.773316493,2761
479,68.773332460,2761
482,68.872817742,2846
483,68.872833052,2846
486,71.107270863,2963
487,71.107286420,2963
490,73.324643717,3080
491,73.324659087,3080
494,75.386935973,3197
495,75.407280304,3197
498,77.525861946,3314
499,77.584945613,3314
502,79.629226590,3431
503,79.648572251,3431
506,79.685888377,3548
507,79.689054589,3548
509,79.737868478,3633
510,79.744345242,3633
513,79.776184262,3718
514,79.776198295,3718
545,84.842764217,3718
547,84.842792996,3787
549,84.842796682,3788
556,87.794804289,
557,87.838593893,
559,88.308898671,0
562,88.426581926,0
564,88.426610339,1
565,88.445823634,1
567,88.445858335,91
569,88.494014444,1529
572,88.702526942,1658
574,88.719405706,1658
575,88.719420736,1658
577,89.509004922,1658
580,89.773289455,1749
581,89.776546732,1749
584,89.912687760,1749
586,89.917827706,1818
587,89.923029910,1818
590,89.954061478,1919
591,89.975405942,1919
594,90.067361692,2084
595,90.069139349,2084
599,90.222565978,2169
600,90.307399500,2169
605,90.413665875,2270
606,90.430401559,2270
609,90.691243979,2355
610,90.691310023,2355
613,90.784569278,2355
615,90.859035274,2760
616,90.859080243,2760
619,91.148870403,2845
620,91.148886210,2845
623,93.249518672,2962
624,93.249534038,2962
627,95.476140129,3079
628,95.476155300,3079
631,97.755961644,3196
633,97.784943624,3196
637,100.087768642,3313
638,100.087783809,3313
642,102.311694117,3430
643,102.311709470,3430
646,102.337316673,3547
647,102.348128890,3547
649,102.378230761,3632
650,102.416603803,3632
653,102.463710801,3717
654,102.463725492,3717
657,107.526536056,3717
659,107.526564806,3786
661,107.526568480,3787
668,110.518080682,
670,111.130323932,0
672,111.130360999,0
675,111.195961293,1
676,111.195972841,1
677,111.220426808,1
679,111.276713338,91
681,111.346865589,1529
684,111.406548154,1658
686,111.412145399,1658
687,111.623636133,1658
689,111.760684724,1664
692,111.930834140,1749
693,111.930962401,1749
696,112.015148537,1818
697,112.015167980,1818
700,112.080226862,1919
701,112.080245063,1919
704,112.195774054,2084
705,112.195792448,2084
709,112.408538118,2169
710,112.408553587,2169
715,112.712832346,2270
716,112.712892971,2270
719,113.074962490,2355
720,113.074977989,2355
723,113.127985916,2355
725,113.223768479,2760
726,113.223894209,2760
729,113.262613813,2845
730,113.319667150,2845
733,115.539605396,2962
734,115.539620406,2962
737,117.768526135,3079
738,117.768541456,3079
741,119.955793676,3196
742,119.964843841,3196
745,122.208764160,3313
746,122.241316667,3313
749,124.440985759,3430
750,124.477346788,3430
755,124.732771697,3547
756,124.732787096,3547
758,124.779488342,3632
759,124.779503318,3632
762,124.861672429,3717
763,124.861686851,3717
772,129.886305560,3717
774,129.886334099,3786
776,129.886337809,3787
778,132.771797256,
780,133.282308505,0
782,133.285002530,0
784,133.286842893,1
786,133.344709848,1
787,133.344728084,1
789,133.421817000,91
791,133.457156636,1529
794,133.472010693,1658
796,133.477378685,1658
798,133.482045333,1658
799,133.483290042,1658
801,133.575507383,1664
804,133.675691677,1749
805,133.675708129,1749
808,133.771182579,1818
809,133.782838196,1818
812,133.852085991,1919
813,133.852102044,1919
816,133.933459380,2084
817,133.933474342,2084
821,134.155634791,2169
822,134.204834020,2169
825,134.292466366,2270
826,134.390919829,2270
829,134.432777152,2355
830,134.432792216,2355
833,134.686869946,2760
834,134.686884816,2760
837,134.929165221,2845
838,134.929180568,2845
842,135.065005813,2845
845,137.237261679,2962
846,137.237276846,2962
849,139.345617830,3079
850,139.360337211,3079
853,141.635045583,3196
854,141.635060657,3196
862,143.728353102,3313
863,143.728367713,3313
891,145.968123213,3430
892,145.968137964,3430
895,146.012019532,3547
896,146.014591977,3547
898,146.073157934,3632
899,146.073173139,3632
