frame.number,frame.time_relative,tcp.seq
1,0.000000000,
2,0.251157148,
5,0.554377339,0
7,0.608706985,1
8,0.629300896,1
12,0.834031422,203
14,0.834046855,203
16,0.853503019,203
17,0.866266995,203
19,0.939696259,245
22,1.052160768,336
24,1.270455542,336
25,1.297421069,336
28,1.504084424,437
29,1.523795689,437
32,1.547212106,522
33,1.554453255,522
36,1.628112183,607
37,1.634182947,607
40,1.713140846,692
41,1.837499733,692
42,1.837513208,2120
47,2.019510915,2217
48,2.090011324,2217
51,2.151860702,2590
52,2.158603180,2590
55,2.268106627,2691
56,2.281495860,2691
59,2.312270757,2776
60,2.315619152,2776
61,2.568091530,2776
65,2.656010254,2861
68,4.661941293,2861
71,4.892459367,2946
78,6.897787098,2946
83,7.080224501,3031
86,9.085296128,3031
89,9.165089273,3116
90,11.169966025,3116
93,11.449527181,3201
94,13.454311226,3201
99,13.553348300,3286
100,13.556779694,3286
103,13.660359063,3371
106,13.707000733,3456
107,13.707052756,3525
115,19.177169413,3526
117,19.177184613,3526
121,21.445582864,
123,21.887855578,0
125,21.987270364,1
127,22.007412167,1
130,22.331385365,203
132,22.331400440,203
141,22.383753479,203
143,22.383765098,203
146,22.398417097,203
149,22.408837513,245
151,22.462086231,245
161,22.760575359,245
166,22.781950231,336
169,22.812345089,336
172,22.842967050,336
178,23.044064000,437
179,23.048150474,437
182,23.179085135,522
183,23.184022210,522
187,23.284091763,607
188,23.300268851,607
191,23.383063418,692
192,23.503997014,692
193,23.504010159,2120
196,23.628421716,2217
197,23.693489964,2217
201,24.069523849,2590
204,24.076399488,2590
208,24.272103645,2691
209,24.283009589,2691
212,24.354260591,2776
213,24.358192807,2776
216,24.500565686,2861
219,26.466250598,2861
222,26.805589678,2946
223,28.810791718,2946
226,28.921207656,3031
227,30.925886101,3031
232,31.144715680,3116
250,33.150242344,3116
253,33.253306037,3201
254,35.257889032,3201
257,35.445862709,3286
258,35.449187951,3286
261,35.571182124,3371
264,35.669489347,3456
265,35.669540385,3525
271,41.078088403,3526
273,41.078125812,3526
279,43.432214339,
280,43.684241704,
283,43.969267425,0
285,44.051320961,1
286,44.070640042,1
290,44.223218068,203
292,44.223233067,203
294,44.327495290,203
295,44.338816331,203
297,44.368133233,245
300,44.448055560,336
302,44.683095074,336
304,44.703220812,336
305,44.709214050,336
308,44.960102816,437
309,44.969893957,437
311,45.051278443,522
312,45.320689853,437
315,45.333426498,522
316,45.338013882,522
320,45.420063866,607
321,45.429171549,607
324,45.605958350,692
325,45.732468044,692
326,45.732481971,2120
329,45.978492589,2217
331,45.978508785,2217
332,46.042737069,2217
335,46.121276121,2590
336,46.127865303,2590
339,46.276064023,2691
340,46.282472364,2691
343,46.551029303,2776
344,46.554602578,2776
347,46.876100018,2861
350,48.841440901,2861
353,49.116132662,2946
354,51.121317478,2946
357,51.940874531,3031
359,51.940887740,3031
360,53.945835114,3031
363,54.184429815,3116
364,56.189331694,3116
367,56.253832259,3201
368,58.258744492,3201
371,58.479252111,3286
372,58.482546600,3286
375,58.518521056,3371
378,58.546616421,3456
379,58.546668914,3525
385,63.936739232,3526
387,63.936753561,3526
406,66.273084364,
408,66.795364206,0
410,66.997961023,1
411,67.017662621,1
413,67.029813665,203
417,67.121271233,203
419,67.121283815,203
421,67.142447337,203
422,67.154290639,203
425,67.183015906,245
437,67.332619408,336
439,67.349971001,336
440,67.377116207,336
443,67.500074013,437
444,67.512848354,437
447,67.544083480,522
448,67.548530112,522
451,67.652081848,607
452,67.659479680,607
458,67.734648637,692
460,67.860930840,692
461,67.860946800,2120
464,68.166380515,2217
465,68.234717037,2217
469,68.312228887,2590
472,68.349185957,2590
473,68.354642583,2590
476,68.544105410,2691
477,68.552969607,2691
480,68.773344448,2776
481,68.776854510,2776
484,68.916605251,2861
485,70.879235723,2861
488,71.107298602,2946
489,73.112971295,2946
492,73.324670449,3031
493,75.329999835,3031
496,75.407303007,3116
497,77.412527691,3116
500,77.584968919,3201
501,79.590352367,3201
504,79.648594763,3286
505,79.652132547,3286
508,79.692403531,3371
511,79.752478344,3456
512,79.752528669,3525
546,84.842780010,3526
548,84.842794930,3526
554,87.516182890,
555,87.767839117,
558,88.052289672,0
560,88.308928342,1
561,88.327048293,1
563,88.426597694,203
566,88.445845158,203
568,88.445860519,203
570,88.494033546,203
571,88.506199666,203
573,88.702546755,245
576,88.760474507,336
578,89.509026728,336
579,89.539391076,336
582,89.820069147,437
583,89.829934587,437
585,89.912706002,522
588,89.923050751,522
589,89.927869527,522
592,90.016085559,607
593,90.019706349,607
596,90.069198743,692
597,90.193566109,692
598,90.193581608,2120
601,90.307474574,2217
604,90.372864596,2217
607,90.430422232,2590
608,90.435929255,2590
611,90.732080866,2691
612,90.744565533,2691
614,90.784636155,2776
617,90.859116118,2776
618,90.862612915,2776
621,91.192085035,2861
622,93.155298879,2861
625,93.249546079,2946
626,95.255040561,2946
629,95.476167279,3031
630,97.481638067,3031
634,97.784965855,3116
636,99.790450242,3116
