frame.number,frame.time_relative,tcp.seq
49,22.425893000,
51,22.625347000,
55,22.876304000,0
57,22.952266000,1
59,22.952925000,1
64,23.154718000,203
65,23.154720000,203
67,23.233856000,203
68,23.243806000,203
70,23.259195000,245
73,23.430219000,336
75,23.609271000,336
76,23.662239000,336
79,23.831836000,437
80,23.845489000,437
83,23.872746000,522
84,23.874721000,522
89,23.962435000,607
90,23.962437000,607
93,24.033712000,692
94,24.211103000,692
95,24.211105000,2120
98,24.373630000,2217
99,24.408334000,2217
102,24.497430000,2590
103,24.497431000,2590
106,24.596795000,2691
107,24.608104000,2691
110,24.639281000,2776
111,24.639281000,2776
115,24.913178000,2776
117,25.003138000,2861
121,27.081702000,2861
124,27.259351000,2946
127,29.318879000,2946
130,29.397908000,3031
133,31.462535000,3031
136,31.490340000,3116
137,33.611273000,3116
140,33.771675000,3201
143,35.844177000,3201
146,35.938212000,3286
147,35.956422000,3286
150,35.980627000,3371
153,36.033145000,3456
155,36.056078000,3525
166,41.532933000,3526
167,41.536610000,3526
174,43.822710000,
178,44.263701000,0
180,44.311985000,1
182,44.328320000,1
198,44.678056000,203
199,44.678057000,203
202,44.716213000,203
203,44.723852000,203
204,44.723854000,203
206,44.750339000,245
207,44.871681000,245
210,45.086731000,245
212,45.122833000,245
213,45.122835000,336
215,45.137174000,336
216,45.170322000,336
222,45.422428000,437
223,45.422429000,437
226,45.529028000,522
228,45.531726000,522
231,45.606742000,607
232,45.672788000,607
235,45.713262000,692
236,45.875324000,692
237,45.875325000,2120
240,45.957084000,2217
241,46.085881000,2217
248,46.458959000,2590
249,46.458960000,2590
252,46.609123000,2691
253,46.609124000,2691
256,46.703608000,2776
257,46.725991000,2776
260,46.845377000,2861
263,48.989855000,2861
266,49.193338000,2946
267,51.213000000,2946
270,51.244187000,3031
271,53.364313000,3031
274,53.523718000,3116
275,55.549739000,3116
278,55.577251000,3201
279,57.681120000,3201
282,57.829354000,3286
283,57.856677000,3286
286,57.894463000,3371
289,58.037713000,3456
291,58.040333000,3525
302,63.409701000,3526
303,63.409702000,3526
375,65.840378000,
377,66.043280000,
379,66.361397000,0
381,66.418704000,1
383,66.434775000,1
388,66.565042000,203
389,66.643126000,203
391,66.663332000,203
392,66.663334000,203
394,66.717521000,245
397,66.798054000,336
400,67.024369000,336
401,67.044290000,336
402,67.044291000,336
406,67.360133000,437
407,67.360134000,437
410,67.417667000,522
411,67.658879000,437
413,67.678688000,522
414,67.682611000,522
417,67.786490000,607
418,67.786491000,607
421,68.127436000,692
422,68.141916000,692
424,68.185825000,2120
427,68.303373000,2217
428,68.303373000,2217
431,68.406663000,2217
434,68.471173000,2590
435,68.508581000,2590
438,68.606649000,2691
439,68.669974000,2691
442,69.040670000,2776
443,69.040671000,2776
446,69.228022000,2861
451,71.314223000,2861
454,71.493499000,2946
455,73.557192000,2946
459,74.268414000,3031
460,74.268416000,3031
478,76.445898000,3031
481,76.509411000,3116
482,78.559376000,3116
485,78.573698000,3201
486,80.698890000,3201
489,80.799923000,3286
490,80.802660000,3286
493,80.841148000,3371
496,80.870626000,3456
497,80.870627000,3525
509,86.265952000,3526
510,86.265954000,3526
511,88.674200000,
513,89.207364000,0
516,89.346886000,1
518,89.348500000,1
520,89.350986000,203
524,89.443064000,203
525,89.443065000,203
527,89.463774000,203
