frame.number,frame.time_relative,tcp.seq
50,22.436239000,
52,22.626499000,
56,22.877043000,0
58,22.952438000,1
60,22.953048000,1
61,23.030739000,1
62,23.031140000,91
63,23.031165000,1519
66,23.154932000,1529
69,23.243964000,1657
71,23.259278000,1657
72,23.263953000,1657
74,23.430369000,1663
77,23.662413000,1748
78,23.765686000,1748
81,23.845579000,1817
82,23.852045000,1817
85,23.874791000,1918
86,23.881838000,1918
91,23.962619000,2083
92,23.975262000,2083
96,24.211286000,2168
97,24.273912000,2168
100,24.408527000,2269
101,24.435239000,2269
104,24.497595000,2354
105,24.536888000,2354
108,24.608188000,2759
109,24.615038000,2759
112,24.639416000,2844
113,24.645591000,2844
114,24.874675000,2844
116,24.913325000,2961
122,27.081846000,2961
123,27.092247000,2961
128,29.319034000,3078
129,29.329691000,3078
134,31.462676000,3195
135,31.472549000,3195
138,33.611597000,3312
139,33.621641000,3312
144,35.844811000,3429
145,35.854339000,3429
148,35.956772000,3546
149,35.966201000,3546
151,35.980776000,3631
152,35.990544000,3631
154,36.033303000,3716
156,36.056227000,3716
161,40.999541000,3716
162,41.000392000,3785
163,41.001047000,3786
175,43.824838000,
179,44.264314000,0
181,44.312159000,1
183,44.328435000,1
184,44.339305000,1
185,44.339427000,91
186,44.339442000,1519
197,44.676074000,1
200,44.678189000,1529
201,44.713754000,1529
205,44.724103000,1658
208,44.871847000,1658
209,44.874267000,1658
211,45.086894000,1664
214,45.123011000,1749
217,45.170467000,1749
218,45.180458000,1749
224,45.422585000,1818
225,45.432926000,1818
229,45.531883000,1919
230,45.542654000,1919
233,45.672925000,2084
234,45.681910000,2084
238,45.875472000,2169
239,45.914691000,2169
242,46.086033000,2270
243,46.106685000,2270
250,46.459129000,2355
251,46.481273000,2355
254,46.609227000,2760
255,46.616765000,2760
258,46.726185000,2845
259,46.734736000,2845
264,48.990022000,2962
265,48.998555000,2962
268,51.213143000,3079
269,51.222156000,3079
272,53.364456000,3196
273,53.373315000,3196
276,55.550100000,3313
277,55.558217000,3313
280,57.681506000,3430
281,57.690256000,3430
284,57.857052000,3547
285,57.864735000,3547
287,57.894620000,3632
288,57.901882000,3632
290,58.037876000,3717
292,58.040493000,3717
297,62.906271000,3717
298,62.906520000,3786
299,62.906576000,3787
376,65.842562000,
378,66.045257000,
380,66.362046000,0
382,66.418888000,1
384,66.434892000,1
385,66.447543000,1
386,66.447676000,91
387,66.447693000,1519
390,66.643271000,1529
393,66.663508000,1659
395,66.717643000,1659
396,66.719976000,1659
398,66.798200000,1665
399,66.999367000,1665
403,67.044459000,1750
404,67.056157000,1750
405,67.301133000,1750
408,67.360302000,1819
409,67.369055000,1819
412,67.659023000,1920
415,67.682765000,1920
416,67.691455000,1920
419,67.786655000,2085
420,67.794709000,2085
423,68.142072000,2170
425,68.185971000,2170
426,68.222365000,2170
432,68.406832000,2271
433,68.426589000,2271
436,68.508714000,2356
437,68.526907000,2356
440,68.670186000,2761
441,68.676108000,2761
444,69.040829000,2846
445,69.049781000,2846
452,71.314368000,2963
453,71.322689000,2963
456,73.557345000,3080
457,73.565809000,3080
458,74.103599000,3080
479,76.446249000,3197
480,76.454024000,3197
483,78.559729000,3314
484,78.567598000,3314
487,80.699266000,3431
488,80.707461000,3431
491,80.803037000,3548
492,80.810191000,3548
494,80.841338000,3633
495,80.847906000,3633
498,80.870783000,3718
499,80.870994000,3718
506,85.851865000,3718
507,85.852108000,3787
508,85.852189000,3788
512,88.675268000,
514,89.208003000,0
515,89.309319000,0
517,89.347104000,1
519,89.348635000,1
521,89.364650000,1
522,89.364779000,91
523,89.364795000,1519
526,89.443209000,1529
529,89.488066000,1659
531,89.555261000,1659
532,89.557595000,1659
534,89.657222000,1665
537,89.699221000,1750
538,89.707449000,1750
541,89.838617000,1819
542,89.845580000,1819
545,89.876602000,1920
546,89.885357000,1920
550,90.026562000,2085
551,90.034811000,2085
556,90.217010000,2170
557,90.253432000,2170
559,90.463909000,2170
562,90.585337000,2271
563,90.605500000,2271
568,90.687978000,2356
569,90.707739000,2356
572,90.899672000,2761
573,90.907585000,2761
576,91.118683000,2846
577,91.124733000,2846
580,93.305049000,2963
581,93.309870000,2963
601,95.543043000,3080
602,95.551072000,3080
605,97.700951000,3197
606,97.709856000,3197
609,99.841143000,3314
610,99.848341000,3314
615,101.931025000,3431
616,101.937689000,3431
619,101.995813000,3548
620,102.001899000,3548
622,102.051310000,3633
623,102.056348000,3633
626,102.080470000,3718
627,102.080569000,3718
654,107.060311000,3718
655,107.060792000,3787
656,107.060907000,3788
679,109.850421000,
682,110.107175000,
685,110.521078000,0
686,110.621307000,0
689,110.675381000,1
690,110.692933000,1
691,110.693081000,91
692,110.693086000,1519
694,110.789174000,1529
699,110.847387000,1658
701,111.030407000,1658
702,111.033416000,1658
703,111.687346000,1658
706,111.911106000,1749
707,111.918779000,1749
708,112.150313000,1749
711,112.233053000,1818
713,112.239864000,1818
716,112.260522000,1919
717,112.268495000,1919
720,112.375376000,2084
721,112.381892000,2084
725,112.522243000,2169
726,112.559622000,2169
731,112.716246000,2270
732,112.735597000,2270
735,112.805485000,2355
736,112.821212000,2355
737,113.068878000,2355
740,113.107423000,2760
741,113.113813000,2760
745,113.295526000,2845
746,113.299928000,2845
749,115.548785000,2962
750,115.555654000,2962
753,117.706776000,3079
754,117.713553000,3079
757,119.920902000,3196
758,119.927472000,3196
767,122.139446000,3313
768,122.146260000,3313
772,124.541471000,3430
773,124.549041000,3430
780,124.654156000,3547
781,124.657313000,3547
783,124.693815000,3632
784,124.698801000,3632
787,124.760364000,3717
788,124.760468000,3717
809,129.702724000,3717
810,129.702916000,3786
811,129.702965000,3787
817,132.811678000,
819,133.307341000,0
820,133.408527000,0
824,133.506761000,1
825,133.506895000,1
826,133.525334000,1
827,133.525482000,91
828,133.525501000,1519
831,133.654712000,1529
834,133.715519000,1658
836,133.731386000,1658
837,133.733368000,1658
839,134.066762000,1664
842,134.149812000,1749
843,134.157515000,1749
846,134.313940000,1818
847,134.321119000,1818
850,134.369041000,1919
851,134.376825000,1919
854,134.504248000,2084
855,134.511960000,2084
859,134.659986000,2169
860,134.698613000,2169
864,134.888539000,2270
865,134.907075000,2270
869,135.139251000,2355
870,135.155280000,2355
871,135.432799000,2355
874,135.449955000,2760
875,135.457224000,2760
879,135.565394000,2845
880,135.572780000,2845
883,137.757705000,2962
884,137.764445000,2962
887,139.998183000,3079
888,140.004909000,3079
892,142.192580000,3196
893,142.199629000,3196
897,144.401108000,3313
898,144.407822000,3313
905,146.670266000,3430
906,146.676598000,3430
909,146.848435000,3547
910,146.854445000,3547
912,147.074434000,3632
913,147.080704000,3632
916,147.143533000,3717
917,147.143638000,3717
922,152.086370000,3717
923,152.086608000,3786
924,152.086673000,3787
928,154.931520000,
930,155.462248000,0
931,155.563627000,0
933,155.607560000,1
936,155.650650000,1
937,155.656094000,1
938,155.656331000,91
939,155.656359000,1519
942,155.759769000,1529
945,155.792682000,1658
947,155.798225000,1658
949,155.802949000,1658
950,155.803953000,1658
952,155.875261000,1664
955,155.933768000,1749
956,155.940856000,1749
959,156.074352000,1818
960,156.080253000,1818
963,156.116294000,1919
964,156.120120000,1919
967,156.232154000,2084
968,156.237937000,2084
972,156.448282000,2169
973,156.487836000,2169
976,156.609239000,2270
977,156.618389000,2270
980,156.736072000,2355
981,156.750693000,2355
984,156.860736000,2760
985,156.867405000,2760
988,157.064954000,2845
989,157.070942000,2845
992,157.333613000,2845
996,159.372412000,2962
997,159.378598000,2962
1000,161.648123000,3079
1001,161.654666000,3079
1028,163.764417000,3196
1029,163.771160000,3196
1042,165.997464000,3313
1043,166.003982000,3313
1052,168.200630000,3430
1053,168.206670000,3430
1056,168.324355000,3547
1057,168.328341000,3547
1059,168.361336000,3632
1060,168.363636000,3632
1063,168.418850000,3717
1064,168.418972000,3717
1067,173.369766000,3717
1068,173.370020000,3786
1069,173.370078000,3787
1073,176.235661000,
1075,176.860560000,0
1076,176.961878000,0
1078,177.094888000,1
1081,177.096426000,1
1082,177.110796000,1
1083,177.110962000,91
1084,177.110983000,1519
1087,177.129821000,1529
1090,177.187486000,1658
1092,177.277950000,1658
1093,177.279455000,1658
1095,177.569070000,1664
1098,177.669293000,1749
1099,177.676505000,1749
1102,177.891415000,1818
1103,177.897195000,1818
1106,178.036741000,1919
1107,178.043328000,1919
1110,178.174903000,2084
1111,178.180699000,2084
1117,178.512346000,2169
1118,178.547207000,2169
1119,178.852743000,2169
1122,179.056739000,2270
1123,179.071232000,2270
1126,179.158662000,2355
1127,179.172782000,2355
1128,179.485034000,2355
1131,179.538641000,2760
1132,179.545125000,2760
1136,179.688673000,2845
1137,179.694378000,2845
1142,181.777480000,2962
1143,181.783546000,2962
1148,184.016360000,3079
1149,184.022625000,3079
1163,186.077569000,3196
1164,186.083345000,3196
1187,188.233861000,3313
1188,188.239718000,3313
1193,190.498181000,3430
1194,190.503242000,3430
1197,190.698676000,3547
1198,190.705474000,3547
1200,190.785023000,3632
1201,190.790749000,3632
1204,190.826168000,3717
1205,190.826242000,3717
1249,195.794839000,3717
1250,195.795057000,3786
1251,195.795159000,3787
1263,198.657530000,
1265,198.861299000,
1267,199.204991000,0
1270,199.306313000,0
1272,199.380074000,1
1274,199.393248000,1
1275,199.404180000,1
1276,199.404318000,91
1277,199.404338000,1519
1279,199.541198000,1529
1284,199.585958000,1659
1286,199.632342000,1659
1287,199.634251000,1659
1289,199.690520000,1665
1290,199.895030000,1665
1294,199.957191000,1750
1295,199.963600000,1750
1299,200.052160000,1819
1300,200.057535000,1819
1303,200.119752000,1920
1304,200.125062000,1920
1307,200.258069000,2085
1308,200.263755000,2085
1312,200.595816000,2170
1314,200.603510000,2170
1316,200.628603000,2170
1319,200.755339000,2271
1320,200.770261000,2271
1323,201.037081000,2356
1324,201.051076000,2356
1327,201.234869000,2761
1328,201.241479000,2761
1331,201.415946000,2846
1332,201.421671000,2846
1333,201.764985000,2846
1341,203.783442000,2963
1342,203.789837000,2963
1347,206.087538000,3080
1348,206.093705000,3080
1357,208.432992000,3197
1358,208.438801000,3197
1363,210.653646000,3314
1364,210.659725000,3314
1367,212.903485000,3431
1368,212.909923000,3431
1371,212.917143000,3548
1372,212.921943000,3548
1374,212.928977000,3633
1375,212.934014000,3633
1377,212.953784000,3718
1379,212.967708000,3718
1380,217.940797000,3718
1381,217.941050000,3787
1382,217.941133000,3788
1386,220.776200000,
1388,221.210778000,0
1389,221.312087000,0
1392,221.347717000,1
1394,221.373611000,1
1395,221.383176000,1
1396,221.383479000,91
1397,221.383524000,1519
1400,221.411331000,1529
1403,221.463380000,1658
1405,221.499347000,1658
1406,221.501249000,1658
1408,221.593756000,1664
1409,221.760975000,1664
1412,221.903539000,1749
1413,221.909814000,1749
1417,222.053641000,1818
1418,222.059255000,1818
1421,222.112081000,1919
1422,222.118804000,1919
1425,222.208789000,2084
1426,222.212231000,2084
1430,222.348491000,2169
1431,222.383017000,2169
1432,222.558216000,2169
1433,222.907771000,2169
1440,223.339953000,2270
1441,223.354623000,2270
1442,223.530567000,2270
1445,223.554218000,2355
1446,223.567812000,2355
1450,223.705303000,2760
1451,223.710650000,2760
1454,223.835799000,2845
1456,223.842231000,2845
1475,226.008796000,2962
1476,226.014795000,2962
1487,228.360260000,3079
1488,228.366468000,3079
1491,230.531599000,3196
1492,230.537795000,3196
1495,232.796150000,3313
1496,232.802619000,3313
1499,235.021858000,3430
1500,235.027261000,3430
1503,235.079353000,3547
1504,235.082644000,3547
1506,235.143756000,3632
1507,235.149169000,3632
1510,235.204226000,3717
1511,235.204329000,3717
1512,240.154081000,3717
1513,240.154265000,3786
1514,240.154366000,3787
1520,242.997838000,
1524,243.304322000,
1526,243.651726000,0
1527,243.753052000,0
1528,243.954524000,0
1530,243.978537000,1
1533,244.013140000,1
1534,244.017911000,1
1535,244.018090000,91
1536,244.018113000,1519
1539,244.143999000,1529
1542,244.224591000,1658
1544,244.236142000,1658
1545,244.238145000,1658
1547,244.331827000,1664
1550,244.446054000,1749
1551,244.452484000,1749
1552,244.698118000,1749
1555,244.770387000,1818
1556,244.775676000,1818
1560,244.904193000,1919
1561,244.910277000,1919
1564,245.035324000,2084
1565,245.041045000,2084
1568,245.195727000,2169
1570,245.250467000,2169
1571,245.288587000,2169
1574,245.445074000,2270
1575,245.459588000,2270
1580,245.614668000,2355
1581,245.629249000,2355
1585,245.713965000,2760
1586,245.719912000,2760
1590,245.870084000,2845
1591,245.875857000,2845
1596,248.202602000,2962
1597,248.208153000,2962
1624,250.464482000,3079
1625,250.470734000,3079
1626,250.834461000,3079
1632,252.729581000,3196
1633,252.735616000,3196
1640,254.884584000,3313
1641,254.890296000,3313
1644,257.071230000,3430
1645,257.076599000,3430
1648,257.200362000,3547
1649,257.205862000,3547
1651,257.253690000,3632
1652,257.258805000,3632
1655,257.291242000,3717
1656,257.291345000,3717
1657,262.264986000,3717
1658,262.265221000,3786
1659,262.265443000,3787
1665,265.116453000,
1667,265.563915000,0
1669,265.598859000,1
1671,265.694554000,1
1672,265.707982000,1
1673,265.708215000,91
1674,265.708266000,1519
1677,265.745052000,1529
1681,265.804904000,1657
1684,265.825014000,1657
1685,265.827238000,1657
1687,265.895297000,1663
1688,266.051127000,1663
1691,266.090131000,1748
1693,266.096980000,1748
1696,266.177622000,1817
1697,266.182771000,1817
1700,266.250661000,1918
1701,266.257361000,1918
1703,266.357449000,2083
1704,266.362889000,2083
1707,266.543277000,2168
1709,266.555772000,2168
1710,266.591261000,2168
1713,266.757952000,2269
1714,266.773079000,2269
1717,266.922096000,2354
1718,266.935713000,2354
1721,267.099126000,2759
1722,267.105804000,2759
1725,267.213784000,2844
1726,267.219740000,2844
1727,267.459340000,2844
1735,269.464565000,2961
1736,269.470609000,2961
1743,271.596824000,3078
1744,271.602902000,3078
1747,273.932622000,3195
1748,273.938299000,3195
1752,276.119198000,3312
1753,276.124719000,3312
1756,278.240674000,3429
1757,278.245981000,3429
1760,278.369880000,3546
1761,278.374163000,3546
1763,278.486727000,3631
1764,278.491927000,3631
1767,278.585835000,3716
1768,278.585998000,3716
1770,283.497523000,3716
1771,283.497981000,3785
1772,283.498108000,3786
1786,286.321029000,
1790,286.773752000,0
1791,286.875056000,0
1793,286.991413000,1
1796,287.045068000,1
1797,287.054986000,1
1798,287.055152000,91
1799,287.055179000,1519
1802,287.067430000,1529
1805,287.202505000,1659
1807,287.300017000,1659
1808,287.301834000,1659
1810,287.529906000,1665
1813,287.597278000,1750
1814,287.602692000,1750
1817,287.775980000,1819
1818,287.781508000,1819
1821,287.872221000,1920
1822,287.878168000,1920
1827,288.042990000,2085
1828,288.048481000,2085
1832,288.282643000,2170
1833,288.315875000,2170
1836,288.396079000,2271
1837,288.409990000,2271
1840,288.425291000,2356
1841,288.438245000,2356
1844,288.574405000,2761
1845,288.577147000,2761
1848,288.703741000,2846
1849,288.706148000,2846
1854,288.968856000,2846
1859,291.049167000,2963
1860,291.055220000,2963
1863,293.391760000,3080
1864,293.398016000,3080
1867,295.597382000,3197
1868,295.603941000,3197
1871,297.787968000,3314
1872,297.793974000,3314
1875,299.958757000,3431
1876,299.965145000,3431
1879,300.022362000,3548
1880,300.024712000,3548
1882,300.053412000,3633
1883,300.055495000,3633
1886,300.165346000,3718
1887,300.165527000,3718
