frame.number,frame.time_relative,tcp.seq
11,11.179806436,
13,11.520937794,0
15,11.525350725,1
17,11.557286976,1
18,11.632689693,1
20,11.632722056,91
22,11.640098450,1529
25,11.685962494,1658
27,11.718289762,1658
28,11.755945733,1658
30,11.832702180,1664
33,11.902558936,1749
34,12.092863824,1749
37,12.175098760,1749
39,12.204367959,1818
40,12.258614649,1818
43,12.325042405,1919
44,12.361595341,1919
47,12.484744502,2084
48,12.484759896,2084
52,12.668128666,2169
53,12.730662199,2169
56,12.874211556,2270
57,12.905818407,2270
60,12.981265668,2355
61,13.014133674,2355
64,13.163707590,2760
65,13.163795299,2760
68,13.209282359,2845
69,13.217233932,2845
72,15.305784656,2962
73,15.305799843,2962
102,17.556839293,3079
103,17.556855323,3079
106,19.799139895,3196
107,19.799155303,3196
167,22.048701097,3313
168,22.048716918,3313
173,24.320707193,3430
174,24.345798310,3430
177,24.440837074,3547
178,24.440853570,3547
180,24.488082143,3632
181,24.488098379,3632
184,24.579817108,3717
185,24.581250858,3717
251,29.626303088,3717
253,29.626331232,3786
255,29.626334975,3787
257,32.475960391,
259,32.910839493,0
262,32.945710686,1
263,32.950591680,1
264,33.093118923,1
266,33.093157346,91
268,33.107242505,1529
271,33.182696691,1658
273,33.204413991,1658
274,33.221972304,1658
276,33.354389439,1664
279,33.432323852,1749
280,33.432336764,1749
283,33.578191754,1818
284,33.578206362,1818
287,33.671235500,1919
288,33.671252130,1919
291,33.765248254,2084
292,33.765264189,2084
296,33.975007451,2169
297,33.975022459,2169
300,34.068825741,2270
301,34.077320854,2270
304,34.150875939,2355
305,34.159301592,2355
308,34.284237110,2760
309,34.284294361,2760
312,34.304589343,2845
313,34.386848880,2845
317,36.697604783,2962
318,36.697620771,2962
322,36.741471841,3079
326,38.926730480,3079
327,38.926745640,3079
330,41.038261555,3196
331,41.050903092,3196
334,43.246448973,3313
335,43.246464644,3313
338,45.495021790,3430
339,45.495036972,3430
342,45.590719832,3547
343,45.590735783,3547
345,45.605430838,3632
346,45.610751666,3632
349,45.636464055,3717
350,45.636479083,3717
355,50.728360091,3717
357,50.728388631,3786
359,50.728392258,3787
362,53.611197613,
363,53.763699986,
365,54.106949578,0
368,54.126798827,0
370,54.128309131,1
371,54.132752177,1
372,54.142123663,1
374,54.142205133,91
376,54.144629842,1529
381,54.241175649,1658
383,54.254616999,1658
384,54.262368485,1658
386,54.347371651,1664
389,54.400409406,1749
390,54.721410914,1749
391,54.721427092,1749
394,54.827844071,1818
395,54.828604593,1818
398,54.862429003,1919
399,54.874733941,1919
402,55.105778503,2084
403,55.105793378,2084
408,55.621134340,2169
410,55.706775433,2169
411,55.713141804,2169
416,55.860339771,2270
417,55.866078494,2270
420,55.960132334,2355
421,55.960145937,2355
424,56.079306600,2760
425,56.079321429,2760
428,56.154509629,2845
429,56.154525809,2845
438,58.414521190,2962
439,58.414536375,2962
444,60.653801214,3079
445,60.653815902,3079
448,62.958273993,3196
449,62.958289074,3196
452,65.130077089,3313
453,65.130092284,3313
456,67.400268215,3430
457,67.400285026,3430
460,67.423538241,3547
461,67.436294654,3547
463,67.536165622,3632
464,67.536180513,3632
467,67.600443491,3717
468,67.600457398,3717
479,72.490711753,3717
481,72.490742486,3786
483,72.490746129,3787
487,75.426011450,
489,75.828038589,0
492,75.906319041,1
493,75.922477597,1
494,75.922498599,1
496,75.922862798,91
498,75.929063254,1529
501,76.211174339,1658
503,76.402230489,1658
504,76.402245965,1658
506,76.488434477,1664
509,76.577672894,1749
510,76.612069606,1749
513,76.739635546,1818
514,76.739696463,1818
517,76.775688573,1919
518,76.815822434,1919
520,76.949963113,2084
521,76.949976972,2084
525,77.243501435,2169
526,77.243517004,2169
529,77.393582341,2270
530,77.393597953,2270
533,77.495136935,2355
534,77.498731781,2355
549,77.610229743,2760
551,77.640365570,2760
555,77.694518416,2845
556,77.713861337,2845
593,79.902307909,2962
594,79.902323002,2962
599,82.157728255,3079
600,82.157742926,3079
609,84.320813493,3196
610,84.320830382,3196
615,86.563341359,3313
616,86.566992987,3313
619,88.819743461,3430
620,88.819764967,3430
623,88.840477548,3547
624,88.840493074,3547
626,88.909424510,3632
627,88.909441138,3632
630,88.936281063,3717
631,88.936298171,3717
632,94.140021466,3717
634,94.140049244,3786
636,94.140052836,3787
639,96.947296143,
640,97.016984454,
642,97.498907021,0
644,97.518472964,0
646,97.520796800,1
648,97.600683259,1
649,97.600698901,1
651,97.600731190,91
653,97.638173203,1529
656,97.657712325,1658
658,97.682908612,1658
660,97.704648720,1658
661,97.704662157,1658
663,97.858756937,1664
666,97.981636044,1749
667,97.998767198,1749
670,98.115752772,1818
671,98.115773765,1818
674,98.175049492,1919
675,98.175064716,1919
678,98.268291001,2084
679,98.340489068,2084
683,98.472692723,2169
684,98.555238589,2169
689,98.637789655,2270
690,98.655574083,2270
693,98.678584576,2355
694,98.715675472,2355
697,98.791397324,2760
698,98.791455876,2760
701,98.800302847,2845
702,98.815857187,2845
705,100.995224769,2962
706,100.995240334,2962
711,103.233192334,3079
712,103.233412499,3079
715,105.501480582,3196
716,105.501495710,3196
718,105.585213601,3196
721,107.780173004,3313
722,107.780188274,3313
733,110.032280054,3430
735,110.032301420,3430
738,110.083448222,3547
739,110.084610292,3547
741,110.091821339,3632
742,110.101168840,3632
745,110.186967657,3717
746,110.186981709,3717
760,115.211195209,3717
762,115.211223739,3786
764,115.211227502,3787
768,117.877370541,
770,118.297032603,0
773,118.383783183,1
774,118.419291099,1
775,118.454244546,1
777,118.454279471,91
779,118.482056925,1529
782,118.567481551,1658
784,118.583448835,1658
785,118.583453242,1658
787,118.666208939,1664
790,118.776391366,1749
791,118.776407578,1749
