frame.number,frame.time_relative,tcp.seq
10,11.141583825,
12,11.476107409,0
14,11.520970294,1
16,11.540308619,1
19,11.632708688,203
21,11.632724066,203
23,11.640122906,203
24,11.664880048,203
26,11.685990345,245
29,11.800484531,336
31,11.832723072,336
32,11.859014621,336
35,12.135787312,437
36,12.152571170,437
38,12.175121500,522
41,12.258635568,522
42,12.264686699,522
45,12.403793813,607
46,12.416085534,607
49,12.484771226,692
50,12.608621767,692
51,12.608635048,2120
54,12.730683137,2217
55,12.800807896,2217
58,12.905839988,2590
59,12.912299654,2590
62,13.055817723,2691
63,13.064810984,2691
66,13.163843637,2776
67,13.167293609,2776
70,13.260248878,2861
71,15.223653761,2861
74,15.305811313,2946
101,17.311060718,2946
104,17.556868174,3031
105,19.561986109,3031
108,19.799167462,3116
166,21.804339229,3116
169,22.048730099,3201
172,24.054154422,3201
175,24.345820211,3286
176,24.349529561,3286
179,24.444205622,3371
182,24.496278806,3456
183,24.496333568,3525
252,29.626319141,3526
254,29.626333190,3526
256,32.257782211,
258,32.818342939,0
260,32.910859393,1
261,32.943100795,1
265,33.093141458,203
267,33.093159781,203
269,33.107264754,203
270,33.124729060,203
272,33.182772124,245
275,33.264487184,336
277,33.354411935,336
278,33.381022843,336
281,33.479783346,437
282,33.486770236,437
285,33.578216260,522
286,33.582657330,522
289,33.711811210,607
290,33.720714751,607
293,33.765276263,692
294,33.883676930,692
295,33.883698500,2120
298,33.975130283,2217
299,34.049846416,2217
302,34.077541907,2590
303,34.082637844,2590
306,34.199821861,2691
307,34.210641094,2691
310,34.284471668,2776
311,34.287536549,2776
314,34.427833739,2861
315,36.392898760,2861
316,36.684471477,2861
319,36.697633820,2946
325,38.703215007,2946
328,38.926758426,3031
329,40.932276093,3031
332,41.050925080,3116
333,43.055949721,3116
336,43.246477764,3201
337,45.251326374,3201
340,45.495049759,3286
341,45.498675842,3286
344,45.594038700,3371
347,45.618799147,3456
348,45.618849388,3525
356,50.728376109,3526
358,50.728390524,3526
360,53.354785574,
361,53.606866726,
364,53.907915633,0
366,54.106976393,1
367,54.124276714,1
369,54.126811198,203
373,54.142171225,203
375,54.142210314,203
377,54.144647629,203
380,54.173175102,203
382,54.241251804,245
385,54.304480645,336
387,54.347393158,336
388,54.374293081,336
392,54.721434947,437
393,54.775871682,437
396,54.828617614,522
397,54.833237588,522
400,54.915777058,607
401,54.922075313,607
404,55.105804432,692
405,55.218128152,692
406,55.218143295,2120
407,55.464288909,2120
409,55.621154654,692
412,55.713184166,2217
415,55.781520770,2217
418,55.866099783,2590
419,55.871323472,2590
422,56.003795781,2691
423,56.011225259,2691
426,56.079331680,2776
427,56.082580271,2776
430,56.196456662,2861
437,58.161079459,2861
440,58.414548794,2946
443,60.419963092,2946
446,60.653828554,3031
447,62.658994828,3031
450,62.958300996,3116
451,64.963609858,3116
454,65.130104463,3201
455,67.135298192,3201
458,67.400297378,3286
459,67.403923363,3286
462,67.439602567,3371
465,67.543968920,3456
466,67.544022982,3525
480,72.490727860,3526
482,72.490744394,3526
486,75.331867865,
488,75.741487952,0
490,75.828067619,1
491,75.847421284,1
495,75.922511833,203
497,75.922867769,203
499,75.929084017,203
500,75.967718477,203
502,76.211198658,245
505,76.444164834,336
507,76.488456468,336
508,76.516170512,336
511,76.655783302,437
512,76.666245775,437
515,76.739747941,522
516,76.745141898,522
519,76.859405350,607
522,76.991773821,692
523,77.073798452,692
524,77.073813537,2120
527,77.243529030,2217
528,77.312962539,2217
531,77.393607479,2590
532,77.399035302,2590
535,77.539883490,2691
536,77.554270424,2691
553,77.640480588,2776
554,77.643868188,2776
557,77.756462131,2861
592,79.720309413,2861
595,79.902335516,2946
598,81.907687388,2946
601,82.157754806,3031
605,84.162980406,3031
611,84.320842998,3116
612,86.325757940,3116
617,86.567014542,3201
618,88.572640224,3201
621,88.819777369,3286
622,88.823135250,3286
625,88.843722382,3371
628,88.917673863,3456
629,88.917724418,3525
633,94.140037333,3526
635,94.140051152,3526
637,96.673270832,
638,96.924690376,
641,97.264129777,0
643,97.498982123,1
645,97.518563325,1
647,97.525705728,1
650,97.600712250,203
652,97.600733822,203
654,97.638191875,203
655,97.652070394,203
657,97.658616884,245
659,97.682927460,251
662,97.764471347,336
664,97.858781312,336
665,97.888069789,336
668,98.039779669,437
669,98.058495157,437
672,98.115784960,522
673,98.120476395,522
676,98.215814215,607
677,98.224649417,607
680,98.340510242,692
681,98.458104634,692
682,98.458120519,2120
686,98.555369967,2217
688,98.632073416,2217
691,98.655691781,2590
692,98.660356381,2590
695,98.755820943,2691
696,98.768146951,2691
699,98.791636914,2776
700,98.795129590,2776
703,98.867882425,2861
704,100.822097767,2861
707,100.995251723,2946
710,103.000476284,2946
713,103.233435044,3031
714,105.238610765,3031
717,105.501507996,3116
719,105.585230715,3116
720,107.506921796,3116
723,107.780201027,3201
731,109.785472172,3201
736,110.032315936,3286
737,110.035534808,3286
740,110.088155790,3371
743,110.109421411,3456
744,110.109473698,3525
761,115.211210904,3526
763,115.211225742,3526
767,117.835656357,
769,118.205617572,0
771,118.297060321,1
772,118.315867234,1
776,118.454265912,203
778,118.454281700,203
780,118.482078842,203
781,118.496557052,203
783,118.567501260,245
786,118.632270504,336
788,118.666230664,336
789,118.691854514,336
792,118.819779202,437
793,118.826912568,437
796,118.879725559,522
797,118.884568425,522
800,118.987876830,607
801,119.000674662,607
804,119.043750197,692
807,119.179175143,692
808,119.179189336,2120
812,119.264847911,2217
813,119.329155871,2217
816,119.417804084,2590
817,119.423101077,2590
820,119.551808464,2691
821,119.563187549,2691
824,119.618810195,2776
825,119.621778682,2776
828,119.760323224,2861
829,121.722106310,2861
832,121.952701528,2946
835,123.958241260,2946
838,124.176446739,3031
839,126.180998753,3031
842,126.283517956,3116
848,128.288713419,3116
851,128.666390148,3201
853,128.735906134,3201
858,130.671749754,3201
861,130.917043385,3286
862,130.920658531,3286
865,130.981905548,3371
868,131.070260043,3456
869,131.070313066,3525
876,136.118896972,3526
878,136.118913300,3526
883,138.817380016,
885,139.188562311,0
887,139.473404970,1
889,139.495993597,1
892,139.542974663,203
894,139.542989395,203
896,139.555799137,203
897,139.575412123,203
899,139.679703570,245
902,139.768104787,336
904,139.821364436,336
905,139.848903294,336
908,139.911794244,437
909,139.932189309,437
912,140.034859804,522
913,140.040092735,522
925,140.115802652,607
926,140.119766039,607
929,140.168243294,692
939,140.289308971,692
940,140.289322511,2120
944,140.360537726,2217
948,140.424685518,2217
951,140.516377998,2590
952,140.521294027,2590
955,140.623824829,2691
956,140.634002439,2691
959,140.727768314,2776
960,140.732018047,2776
963,140.848470763,2861
964,142.812595920,2861
968,143.057660209,2946
976,145.063142394,2946
979,145.328602828,3031
982,147.334176399,3031
985,147.423002101,3116
986,149.428243770,3116
989,149.540762466,3201
990,151.546053931,3201
993,151.835536110,3286
994,151.839163487,3286
997,151.876688950,3371
1000,151.917584436,3456
1001,151.917637335,3525
1005,157.046273707,3526
1007,157.046290239,3526
1009,159.670796388,
1011,160.217558954,0
1013,160.588781920,1
1015,160.588795148,1
1016,160.606920395,1
1023,160.642710422,203
1025,160.642739376,203
1027,160.666191008,203
1028,160.679138372,203
1030,160.684928939,245
1032,160.706572595,251
1035,160.787805728,336
1037,160.836432313,336
1038,160.862820231,336
1041,160.971875594,437
1042,160.990549469,437
1045,161.287979917,522
1047,161.287991983,522
1048,161.292577424,522
1051,161.365726744,607
1054,161.451808793,692
1055,161.522422299,692
1056,161.522477736,2120
1059,161.622904348,2217
1060,161.691734197,2217
1063,161.868533495,2590
1064,161.873885928,2590
1067,161.950953765,2691
1070,162.059466078,2776
1073,162.163881612,2861
1074,164.114881155,2861
1077,164.255565155,2946
1080,166.261232394,2946
1083,166.355369083,3031
1084,168.360858838,3031
1087,168.603090384,3116
1093,170.608190675,3116
1096,170.845382267,3201
1097,172.850950707,3201
1100,172.923769180,3286
1101,172.927340670,3286
1104,172.966347149,3371
1107,172.999249395,3456
1108,172.999302826,3525
1117,178.090062026,3526
1119,178.090076940,3526
1121,180.726636877,
1125,181.287397591,0
1127,181.476614080,1
1128,181.496637466,1
1130,181.504757598,203
1134,181.538133806,203
1136,181.538154446,203
1138,181.556083545,203
1139,181.576284643,203
1141,181.642759747,245
1144,181.739874146,336
1146,181.796019461,336
1147,181.822032298,336
1150,181.947786316,437
1151,181.956612713,437
1154,182.102980105,522
1155,182.107143869,522
1158,182.188255580,607
1161,182.267807476,692
1162,182.330736021,692
1163,182.330748931,2120
1167,182.393498416,2217
1168,182.457045282,2217
1171,182.704272412,2590
1172,182.709603622,2590
1175,183.011775627,2691
1176,183.019135073,2691
1178,183.099812958,2776
1181,183.146630241,2776
1182,183.149881645,2776
1185,183.284470951,2861
1186,185.249493124,2861
1189,185.458202516,2946
1192,187.463331811,2946
1195,187.565188601,3031
1204,189.570408361,3031
1207,189.780107812,3116
1213,191.785097117,3116
1216,192.020775881,3201
1217,194.025891205,3201
1220,194.276221293,3286
1221,194.279907801,3286
1224,194.301811216,3371
1227,194.320984099,3456
1228,194.321036903,3525
1259,199.416464645,3526
1261,199.416479147,3526
1281,202.084532706,
1287,202.491723790,0
1289,202.716008683,1
1291,202.733196937,1
1292,202.741694103,1
1296,202.754192460,203
1298,202.756913946,203
1300,202.759296809,203
1301,202.792551067,203
1303,202.832155311,245
1308,202.884101255,336
1310,202.944596844,336
1311,202.976869875,336
1314,203.099830726,437
1315,203.117908318,437
1318,203.151553992,522
1319,203.155771446,522
1322,203.239794258,607
1323,203.245767912,607
1326,203.305443832,692
1327,203.426765350,692
1328,203.426780713,2120
1331,203.510581099,2217
1332,203.575143488,2217
1335,203.646766364,2590
1336,203.652006432,2590
1339,203.795825169,2691
1340,203.803862544,2691
1343,203.856798891,2776
1344,203.860050469,2776
1347,203.968469283,2861
1348,205.930748757,2861
1351,206.281571678,2946
1353,206.326781225,2946
1358,208.286453211,2946
