frame.number,frame.time_relative,tcp.seq
154,28.575024000,
157,28.920702000,0
160,28.932852000,1
162,28.953100000,1
167,29.047614000,203
168,29.047614000,203
170,29.052111000,203
171,29.077431000,203
173,29.124881000,245
176,29.234269000,336
178,29.252861000,336
179,29.286392000,336
183,29.547098000,437
184,29.600446000,437
186,29.605778000,522
188,29.703075000,522
189,29.725503000,522
192,29.843429000,607
193,29.854987000,607
196,29.911688000,692
197,30.039424000,692
198,30.039426000,2120
201,30.141848000,2217
203,30.239582000,2217
206,30.332406000,2590
207,30.372332000,2590
210,30.523655000,2691
211,30.523656000,2691
214,30.585688000,2776
215,30.588099000,2776
218,30.678299000,2861
219,32.692513000,2861
222,32.759541000,2946
225,34.831946000,2946
228,35.008232000,3031
229,37.111900000,3031
232,37.218306000,3116
235,39.370260000,3116
238,39.465209000,3201
239,41.588437000,3201
242,41.806299000,3286
243,41.814330000,3286
246,41.860961000,3371
249,41.916389000,3456
251,41.948511000,3525
260,47.036763000,3526
261,47.036764000,3526
266,49.769602000,
268,50.285988000,0
270,50.333593000,1
272,50.355407000,1
277,50.504582000,203
278,50.504583000,203
280,50.519589000,203
281,50.543550000,203
283,50.593743000,245
286,50.702587000,336
288,50.773171000,336
289,50.812461000,336
292,50.910106000,437
293,50.935823000,437
296,50.995174000,522
297,50.995175000,522
300,51.133725000,607
301,51.139506000,607
304,51.180369000,692
305,51.304143000,692
306,51.304144000,2120
309,51.389236000,2217
310,51.462175000,2217
313,51.497592000,2590
314,51.497593000,2590
317,51.643417000,2691
318,51.670883000,2691
321,51.701677000,2776
322,51.701678000,2776
325,51.854551000,2861
326,53.880936000,2861
332,54.120604000,2861
334,54.122561000,2946
336,56.238843000,2946
339,56.359366000,3031
342,58.401558000,3031
345,58.465102000,3116
348,60.526554000,3116
351,60.698445000,3201
352,62.776794000,3201
355,62.935660000,3286
356,62.963466000,3286
359,63.006548000,3371
362,63.035461000,3456
364,63.037297000,3525
396,68.142491000,3526
397,68.142493000,3526
400,70.862113000,
402,71.067285000,
404,71.411092000,0
407,71.535187000,1
409,71.535429000,1
411,71.536824000,203
415,71.552040000,203
416,71.552164000,203
