frame.number,frame.time_relative,tcp.seq
155,28.580160000,
158,28.921271000,0
161,28.933024000,1
163,28.953179000,1
164,29.007492000,1
165,29.007855000,91
166,29.007879000,1519
169,29.047680000,1529
172,29.077565000,1658
174,29.124946000,1658
175,29.128635000,1658
177,29.234440000,1664
180,29.286547000,1749
181,29.393995000,1749
182,29.547050000,1749
185,29.600606000,1818
187,29.614984000,1818
190,29.725674000,1919
191,29.742713000,1919
194,29.855197000,2084
195,29.867109000,2084
199,30.039578000,2169
200,30.103408000,2169
204,30.239786000,2270
205,30.270275000,2270
208,30.372504000,2355
209,30.402150000,2355
212,30.523840000,2760
213,30.538218000,2760
216,30.588247000,2845
217,30.600090000,2845
220,32.692709000,2962
221,32.703602000,2962
226,34.832105000,3079
227,34.843027000,3079
230,37.112065000,3196
231,37.124001000,3196
236,39.370573000,3313
237,39.381460000,3313
240,41.588803000,3430
241,41.611703000,3430
244,41.814689000,3547
245,41.824081000,3547
247,41.861115000,3632
248,41.868478000,3632
250,41.916514000,3717
252,41.948605000,3717
257,46.876633000,3717
258,46.877211000,3786
259,46.877613000,3787
267,49.771718000,
269,50.286608000,0
271,50.333814000,1
273,50.355507000,1
274,50.365882000,1
275,50.366002000,91
276,50.366015000,1519
279,50.504687000,1529
282,50.543708000,1658
284,50.593924000,1658
285,50.596256000,1658
287,50.702770000,1664
290,50.812661000,1749
291,50.824373000,1749
294,50.935902000,1818
295,50.941776000,1818
298,50.995309000,1919
299,51.001747000,1919
302,51.139669000,2084
303,51.148810000,2084
307,51.304295000,2169
308,51.343343000,2169
311,51.462268000,2270
312,51.473729000,2270
315,51.497697000,2355
316,51.511028000,2355
319,51.671034000,2760
320,51.680453000,2760
323,51.701815000,2845
324,51.711118000,2845
327,53.881105000,2962
328,53.890317000,2962
333,54.120737000,3079
337,56.239004000,3079
338,56.247910000,3079
343,58.401709000,3196
344,58.410033000,3196
349,60.526783000,3313
350,60.533106000,3313
353,62.777189000,3430
354,62.785447000,3430
357,62.963827000,3547
358,62.971579000,3547
360,63.006661000,3632
361,63.010441000,3632
363,63.035556000,3717
365,63.037359000,3717
393,68.012002000,3717
394,68.012204000,3786
395,68.012276000,3787
401,70.863983000,
403,71.068388000,
405,71.411704000,0
406,71.512996000,0
408,71.535269000,1
410,71.535470000,1
412,71.549050000,1
413,71.549223000,91
414,71.549248000,1519
417,71.552201000,1529
420,71.627837000,1658
422,71.652043000,1658
423,71.652837000,1658
425,71.751519000,1664
428,71.801934000,1749
429,71.810455000,1749
430,71.963431000,1749
433,72.221840000,1818
434,72.229867000,1818
437,72.264179000,1919
438,72.274400000,1919
441,72.377558000,2084
442,72.381417000,2084
445,72.938222000,2169
447,73.047105000,2169
448,73.070679000,2169
453,73.201569000,2270
454,73.220965000,2270
457,73.286067000,2355
458,73.304465000,2355
461,73.457081000,2760
462,73.465422000,2760
465,73.500898000,2845
466,73.509218000,2845
471,75.712984000,2962
472,75.720958000,2962
477,77.935819000,3079
478,77.943708000,3079
483,80.185192000,3196
484,80.193276000,3196
487,82.457213000,3313
488,82.465021000,3313
491,84.609207000,3430
492,84.616620000,3430
495,84.829372000,3547
496,84.836787000,3547
498,84.875538000,3632
499,84.882378000,3632
502,84.961185000,3717
503,84.961331000,3717
519,89.889055000,3717
520,89.889314000,3786
521,89.889412000,3787
527,92.782645000,
529,93.225253000,0
531,93.271289000,1
533,93.314522000,1
534,93.325672000,1
535,93.325804000,91
536,93.325855000,1519
539,93.333248000,1529
542,93.405320000,1658
544,93.731085000,1658
545,93.733520000,1658
547,93.860663000,1664
550,93.950062000,1749
551,93.958298000,1749
554,94.076885000,1818
555,94.083789000,1818
558,94.172777000,1919
559,94.176870000,1919
561,94.291939000,2084
562,94.299158000,2084
566,94.500731000,2169
567,94.537426000,2169
570,94.731153000,2270
571,94.749063000,2270
574,94.875614000,2355
575,94.892790000,2355
578,95.005370000,2760
579,95.013261000,2760
582,95.088596000,2845
583,95.095744000,2845
586,97.191865000,2962
587,97.198324000,2962
594,99.464920000,3079
595,99.472510000,3079
598,101.707740000,3196
599,101.715774000,3196
602,103.966768000,3313
604,103.974103000,3313
617,106.095971000,3430
618,106.102599000,3430
621,106.237028000,3547
622,106.240055000,3547
624,106.285434000,3632
625,106.288904000,3632
628,106.328488000,3717
629,106.328610000,3717
638,111.293583000,3717
639,111.293873000,3786
640,111.293976000,3787
644,114.181556000,
646,114.383930000,
648,114.795989000,0
649,114.897258000,0
651,114.919983000,1
654,114.941590000,1
655,114.951691000,1
656,114.951845000,91
657,114.951851000,1519
660,115.039128000,1529
663,115.065429000,1658
665,115.080183000,1658
668,115.104368000,1658
669,115.105977000,1658
678,115.228348000,1664
681,115.343499000,1749
682,115.350739000,1749
685,115.513968000,1818
686,115.520105000,1818
689,115.564935000,1919
690,115.571833000,1919
693,115.663925000,2084
694,115.670525000,2084
698,115.875796000,2169
699,115.912489000,2169
702,116.043927000,2270
703,116.061516000,2270
706,116.077409000,2355
707,116.091463000,2355
710,116.179318000,2760
711,116.186843000,2760
714,116.205982000,2845
715,116.213344000,2845
727,118.330895000,2962
728,118.338310000,2962
737,120.532376000,3079
738,120.538124000,3079
741,122.689221000,3196
742,122.697253000,3196
743,122.920757000,3196
747,125.059047000,3313
748,125.066965000,3313
751,127.305959000,3430
752,127.312352000,3430
755,127.479600000,3547
756,127.485709000,3547
758,127.499281000,3632
759,127.505042000,3632
762,127.583328000,3717
763,127.583431000,3717
789,132.511589000,3717
790,132.511867000,3786
791,132.511958000,3787
797,135.276438000,
799,135.697932000,0
801,135.729253000,1
803,135.793397000,1
804,135.807180000,1
805,135.807518000,91
806,135.807566000,1519
809,135.877083000,1529
812,135.953051000,1658
814,135.982445000,1658
815,135.984560000,1658
817,136.064379000,1664
820,136.121362000,1749
821,136.129293000,1749
824,136.273117000,1818
