frame.number,frame.time_relative,tcp.seq
57,37.070696972,
59,37.587269493,0
61,37.598666501,1
63,37.639352679,1
64,37.700185304,1
66,37.725478585,91
68,37.756617888,1529
71,37.844464884,1658
73,37.880669132,1658
74,37.881618223,1658
76,37.965633352,1664
79,38.029229131,1749
80,38.116756707,1749
83,38.178898426,1818
84,38.201843198,1818
87,38.235676753,1919
88,38.240483531,1919
90,38.340367500,2084
91,38.340380650,2084
95,38.512929750,2169
96,38.610492085,2169
99,38.740833675,2270
100,38.740912458,2270
103,38.801321485,2355
104,38.818028987,2355
107,38.941235319,2760
108,38.941717088,2760
111,38.968438923,2845
112,38.999334372,2845
115,41.189164548,2962
116,41.192612731,2962
123,43.428487356,3079
124,43.428520369,3079
127,45.529830015,3196
128,45.531334651,3196
135,47.625919099,3313
136,47.931376456,3313
138,47.931417463,3313
141,50.077672589,3430
142,50.077689081,3430
145,50.488392329,3547
146,50.488408187,3547
148,50.529564485,3547
150,50.535590512,3632
151,50.546530990,3632
155,50.603556088,3717
156,55.713117596,3717
158,55.713146462,3786
160,55.713150384,3787
162,58.514139881,
164,59.004712251,0
166,59.015413888,1
168,59.040273698,1
169,59.049623285,1
171,59.049648030,91
173,59.085395886,1529
176,59.163221744,1658
178,59.220930926,1658
179,59.220946105,1658
181,59.309137766,1664
184,59.367550288,1749
185,59.378581908,1749
188,59.445471500,1818
189,59.503384114,1818
192,59.539792395,1919
193,59.553421595,1919
196,59.652365052,2084
197,59.652380054,2084
201,59.866514368,2169
202,59.866530680,2169
205,59.992422135,2270
206,60.040776369,2270
209,60.141126972,2355
210,60.141142832,2355
213,60.285965162,2760
214,60.286022012,2760
217,60.380459907,2845
218,60.380518671,2845
221,62.570059835,2962
222,62.570074796,2962
231,64.630319953,3079
232,64.660573405,3079
236,66.919663456,3196
237,66.919678739,3196
243,69.121476606,3313
244,69.121491870,3313
247,71.213040646,3430
248,71.220190174,3430
251,71.231908053,3547
252,71.250955904,3547
254,71.258190888,3632
255,71.314606158,3632
258,71.340396716,3717
259,71.341255811,3717
272,76.272146137,3717
274,76.272202976,3786
276,76.273033177,3787
282,79.259740922,
287,79.828347979,0
290,79.828381913,0
293,79.896481707,1
294,79.897395121,1
295,79.933735885,1
297,79.933761757,91
299,79.956423617,1529
302,79.997629029,1658
304,80.026766827,1658
305,80.092127280,1658
307,80.160166883,1664
310,80.200984310,1749
311,80.206776631,1749
314,80.287862301,1818
315,80.292943256,1818
318,80.345465138,1919
319,80.345478732,1919
322,80.486057175,2084
323,80.486071230,2084
327,80.695583213,2169
328,80.695598244,2169
331,80.840610448,2270
332,80.871431705,2270
335,80.953482293,2355
336,80.953499177,2355
339,81.016743293,2760
340,81.073242090,2760
343,81.103031358,2845
344,81.103085754,2845
347,83.268254678,2962
348,83.268269648,2962
375,85.335660972,3079
376,85.347667383,3079
394,87.589131722,3196
395,87.589146621,3196
398,89.811896439,3313
399,89.811911769,3313
402,91.973378205,3430
403,91.973392941,3430
406,91.999068260,3547
407,91.999083801,3547
409,92.104572012,3632
410,92.106592783,3632
413,92.165412104,3717
414,92.165427220,3717
421,97.121543906,3717
423,97.121572496,3786
425,97.121576298,3787
427,99.959070171,
429,100.385099396,0
432,100.427827797,0
434,100.435355304,1
435,100.435359933,1
436,100.514346159,1
438,100.514380613,91
440,100.601046504,1529
443,100.631466328,1658
445,100.637484382,1658
446,100.639173636,1658
448,100.771703691,1664
451,100.808157592,1749
452,100.818477476,1749
455,100.969724623,1818
456,100.974551645,1818
459,100.990366225,1919
460,101.002923412,1919
462,101.062792861,2084
463,101.079941189,2084
467,101.237520447,2169
468,101.276883535,2169
472,101.964778353,2270
473,101.964793178,2270
476,102.031760069,2355
477,102.031775734,2355
480,102.300417550,2760
481,102.300470386,2760
484,102.596411182,2760
486,102.609846465,2845
487,102.609862318,2845
490,104.661896565,2962
492,104.668746739,2962
498,106.721703236,3079
499,106.727874338,3079
