frame.number,frame.time_relative,tcp.seq
56,36.868772141,
58,37.348507659,0
60,37.587369665,1
62,37.606626851,1
65,37.700216792,203
67,37.725495227,203
69,37.756632146,203
70,37.768158880,203
72,37.844480943,245
75,37.937573025,336
77,37.965710806,336
78,37.992063585,336
81,38.156888158,437
82,38.170218863,437
85,38.201868228,522
86,38.206378147,522
89,38.287350811,607
92,38.396878961,692
93,38.464681467,692
94,38.464698423,2120
97,38.610566470,2217
98,38.674426461,2217
101,38.741112465,2590
102,38.746039498,2590
105,38.860897865,2691
106,38.872274785,2691
109,38.941865566,2776
110,38.944856799,2776
113,39.040934232,2861
114,41.004757499,2861
117,41.192636853,2946
122,43.197162315,2946
125,43.428531453,3031
126,45.435748962,3031
129,45.531358491,3116
134,47.535758818,3116
137,47.931401068,3201
139,47.931420633,3201
140,49.936760050,3201
143,50.077703115,3286
144,50.081346052,3286
147,50.492002629,3371
149,50.529582482,3456
152,50.546553687,3456
153,50.554499878,3456
154,50.554552628,3525
157,55.713133483,3526
159,55.713148581,3526
161,58.294545153,
163,58.809760095,0
165,59.004739511,1
167,59.025128029,1
170,59.049635858,203
172,59.049649988,203
174,59.085412058,203
175,59.099213426,203
177,59.163243211,245
180,59.281571166,336
182,59.309254462,336
183,59.345975407,336
186,59.420887070,437
187,59.436204768,437
190,59.503460278,522
191,59.508188415,522
194,59.596877621,607
195,59.600153280,607
198,59.652391105,692
199,59.778967959,692
200,59.778981096,2120
203,59.866635827,2217
204,59.933412930,2217
207,60.040902127,2590
208,60.046289085,2590
211,60.184878458,2691
212,60.191681758,2691
215,60.286212225,2776
216,60.289516834,2776
219,60.420982432,2861
220,62.387120344,2861
223,62.570087331,2946
230,64.575488196,2946
233,64.660595663,3031
234,66.666010498,3031
238,66.919691052,3116
242,68.924676969,3116
245,69.121504054,3201
246,71.126756112,3201
249,71.220211558,3286
250,71.223841118,3286
253,71.254512122,3371
256,71.322361407,3456
257,71.322410080,3525
273,76.272159322,3526
275,76.272205262,3526
281,79.079532210,
286,79.549400843,0
288,79.828367139,1
291,79.828383673,1
292,79.848038278,1
296,79.933750754,203
298,79.933763579,203
300,79.956443956,203
301,79.968385927,203
303,79.997661966,245
306,80.133507004,336
308,80.160188195,336
309,80.187053735,336
312,80.248916256,437
313,80.259594741,437
316,80.292988430,522
317,80.297773526,522
320,80.388915490,607
321,80.392513358,607
324,80.486081359,692
325,80.603875006,692
326,80.603890559,2120
329,80.695700306,2217
330,80.766257901,2217
333,80.871532033,2590
334,80.876498770,2590
337,80.996881272,2691
338,81.003974037,2691
341,81.073443102,2776
342,81.076416273,2776
345,81.152913214,2861
346,83.108611557,2861
349,83.268280849,2946
374,85.273607506,2946
377,85.347689304,3031
393,87.352800082,3031
396,87.589159779,3116
397,89.594206710,3116
400,89.811923964,3201
401,91.816898522,3201
404,91.973405840,3286
405,91.977054573,3286
408,92.002403833,3371
411,92.116576939,3456
412,92.116628598,3525
422,97.121560047,3526
424,97.121574558,3526
426,99.889475770,
428,100.232500442,0
430,100.385126473,1
431,100.400946802,1
433,100.427842598,203
437,100.514367229,203
439,100.514382732,203
441,100.601063819,203
442,100.612987102,203
444,100.631489379,245
447,100.697586467,336
449,100.771724243,336
450,100.799155036,336
453,100.860900215,437
454,100.872848886,437
457,100.974573077,522
458,100.979281052,522
461,101.049181385,607
464,101.128927047,692
465,101.203282028,692
466,101.203300053,2120
469,101.277181916,2217
470,101.345603941,2217
471,101.709399563,2217
474,101.964850016,2590
475,101.970228618,2590
478,102.072922991,2691
479,102.085908018,2691
482,102.300518276,2776
483,102.303834698,2776
485,102.596429429,2861
488,102.609874254,2861
489,104.616290333,2861
493,104.668768689,2946
497,106.674272665,2946
500,106.727895970,3031
501,108.733020332,3031
504,108.997882818,3116
507,111.003021245,3116
510,111.220226713,3201
511,113.225806468,3201
514,113.314564194,3286
515,113.317894210,3286
518,113.337587655,3371
521,113.446678525,3456
522,113.446743387,3525
543,118.500264388,3526
545,118.500334852,3526
571,121.173891238,
573,121.552110080,0
575,121.804766622,1
577,121.811549201,1
579,121.829102753,1
582,121.918566782,203
584,121.918582494,203
586,121.943953845,203
587,121.955668551,203
589,122.026985150,245
592,122.125573917,336
594,122.132911533,336
595,122.160439702,336
598,122.244923029,437
599,122.258829922,437
602,122.434840339,522
603,122.441371125,522
606,122.524885301,607
607,122.525927407,607
610,122.676943912,692
611,122.800546376,692
612,122.800559377,2120
615,122.934452005,2217
616,123.000334950,2217
620,123.234110571,2590
621,123.239428530,2590
625,123.396921663,2691
626,123.408848475,2691
629,123.530025927,2776
630,123.533650219,2776
633,123.625570104,2861
637,125.589329490,2861
640,125.962680854,2946
643,127.968456085,2946
652,128.049999647,3031
654,130.055651664,3031
657,130.300079684,3116
658,132.305050202,3116
661,132.536693151,3201
662,134.541898756,3201
665,134.618715384,3286
666,134.622369904,3286
669,134.644956321,3371
672,134.670532336,3456
673,134.670582301,3525
685,139.824896505,3526
687,139.824910479,3526
689,142.412461244,
691,142.749470078,0
693,143.003458645,1
695,143.017876115,1
696,143.019446562,1
700,143.059455278,203
702,143.059469792,203
704,143.083083738,203
705,143.094775865,203
707,143.170825994,245
710,143.257580253,336
712,143.281283993,336
713,143.310023719,336
716,143.428885504,437
717,143.447350757,437
720,143.474804219,522
721,143.479446637,522
724,143.568893170,607
725,143.571642937,607
728,143.658471866,692
729,143.776937665,692
730,143.776959971,2120
733,143.873085731,2217
734,143.938157131,2217
737,144.112832397,2590
738,144.118246379,2590
741,144.240924240,2691
742,144.249501835,2691
745,144.297454150,2776
746,144.300620972,2776
749,144.400983273,2861
798,146.366741768,2861
816,146.530167735,2946
823,148.535568106,2946
826,148.864223385,3031
828,148.933223183,3031
829,150.869911642,3031
832,150.999285472,3116
835,153.004341952,3116
836,153.453582959,3116
840,153.497456097,3201
842,153.497467907,3201
845,155.502763710,3201
848,155.550689061,3286
849,155.554286446,3286
852,155.598986503,3371
855,155.641813533,3456
856,155.641860251,3525
907,160.726417298,3526
909,160.726432170,3526
923,163.384710397,
925,163.802461937,0
927,164.115340591,1
929,164.115354924,1
930,164.134639884,1
932,164.389912182,203
934,164.389931526,203
937,164.779342525,203
938,164.790812966,203
940,164.798855921,245
943,164.893571251,336
945,165.103001189,336
946,165.129530881,336
949,165.204899182,437
950,165.217092448,437
953,165.257544679,522
954,165.262333520,522
957,165.335691901,607
960,165.432904789,692
961,165.505055631,692
962,165.505070862,2120
965,165.739849952,2217
966,165.809292909,2217
969,165.892326054,2590
970,165.897590565,2590
973,166.180923518,2691
974,166.189711471,2691
977,166.315055516,2776
978,166.318140876,2776
983,166.452984642,2861
988,168.416993881,2861
991,168.586363074,2946
992,170.591896756,2946
995,170.842721202,3031
996,172.848318750,3031
999,173.184470867,3116
1002,175.189623256,3116
1005,175.262262515,3201
1006,177.267528707,3201
1009,177.482533702,3286
1010,177.486210875,3286
1013,177.545619473,3371
1016,177.789829939,3456
1017,177.789883914,3525
1019,177.982119076,3526
1023,182.734501908,3526
1025,182.734518534,3526
1029,185.533233024,
1031,185.892728273,0
1033,186.074176947,1
1034,186.090839806,1
1038,186.149734211,203
1040,186.149774591,203
1042,186.173175717,203
1043,186.184697982,203
1045,186.211914308,245
1048,186.353434839,336
1050,186.391709355,336
1051,186.420837515,336
1054,186.524887651,437
1055,186.535167328,437
1058,186.606372610,522
1059,186.611057959,522
1062,186.708882300,607
1063,186.718250301,607
1067,186.901879148,692
1073,187.024919696,692
1074,187.024931295,2120
1078,187.136216241,2217
1079,187.198506708,2217
1082,187.287351908,2590
1083,187.292891189,2590
1086,187.392922652,2691
1087,187.406986776,2691
1090,187.605852459,2776
1091,187.609567500,2776
1094,187.749561864,2861
1095,189.713637594,2861
1098,189.967156466,2946
1101,191.973250821,2946
1104,192.025521688,3031
1105,194.031214039,3031
1108,194.084392243,3116
1109,196.090183267,3116
1114,196.146797455,3201
1120,198.152613228,3201
1123,198.361433383,3286
1124,198.365699236,3286
1126,198.591916708,3371
1129,198.595749138,3371
1130,198.599774689,3371
1133,198.651979829,3456
1134,198.652032801,3525
1138,203.731549468,3526
1140,203.731564159,3526
1271,206.448508733,
1297,206.895205872,0
1305,207.208302637,1
1307,207.208315368,1
1310,207.228698348,1
1317,207.276056893,203
1319,207.276088409,203
1321,207.321100440,203
1322,207.334708687,203
1326,207.409738555,245
1331,207.489553162,336
1333,207.529290674,336
1334,207.556057324,336
1337,207.692912586,437
1338,207.703622288,437
1341,207.746081616,522
1342,207.750488805,522
1345,207.868914582,607
1346,207.874530738,607
1349,207.937362039,692
1350,208.055958267,692
1351,208.055974069,2120
1354,208.185357498,2217
1355,208.255412333,2217
1358,208.338108601,2590
1359,208.343206041,2590
1362,208.440916775,2691
1363,208.449406033,2691
1366,208.519279656,2776
1367,208.522316565,2776
1370,208.604910157,2861
1373,210.570475303,2861
1376,210.783838028,2946
1379,212.789110091,2946
1382,213.062171211,3031
1389,215.067133392,3031
1392,215.276167699,3116
1393,217.281397615,3116
1396,217.612669419,3201
1397,219.617361383,3201
1400,219.662112300,3286
1401,219.665478380,3286
1404,219.721023501,3371
1407,219.736706517,3456
1408,219.736758520,3525
1412,224.899848908,3526
1414,224.899915838,3526
1416,227.474996358,
1417,227.726274198,
1424,228.082551589,0
1426,228.113513104,1
1427,228.130758421,1
1431,228.194225668,203
1433,228.194239749,203
1435,228.242813248,203
1436,228.255034621,203
1438,228.313658473,245
1441,228.465494063,336
1443,228.544047991,336
1444,228.570541020,336
1447,228.752937945,437
1448,228.784827407,437
1455,228.852619419,522
1456,228.857196634,522
1459,228.976891111,607
1460,228.985763437,607
1465,229.059721390,692
1466,229.183287357,692
1467,229.183302924,2120
1470,229.299794022,2217
1471,229.370628275,2217
1474,229.452801973,2590
1475,229.458197931,2590
1478,229.576911588,2691
1479,229.590127981,2691
1482,229.693446176,2776
1483,229.696687652,2776
1484,229.965361697,2776
1487,230.009391249,2861
1489,230.106087551,2861
1493,231.975158930,2861
1496,232.260499418,2946
1498,232.469961012,2946
1501,234.266020003,2946
1504,234.528116197,3031
1507,236.533261230,3031
1510,236.848717156,3116
1526,238.853785081,3116
1530,238.921319583,3201
1531,240.926442067,3201
1534,240.996233484,3286
1535,240.999787966,3286
1538,241.028329638,3371
1541,241.059359846,3456
1542,241.059409147,3525
1551,246.130260642,3526
1553,246.130328068,3526
1557,248.805790780,
1559,249.147199832,0
1561,249.371851715,1
1562,249.391182461,1
1565,249.422854453,203
1567,249.422868382,203
1569,249.448091592,203
1570,249.459666097,203
1572,249.495331430,245
1576,249.607744314,336
1579,249.612811457,336
1580,249.639968260,336
1583,249.704907650,437
1584,249.728139759,437
1587,249.816916643,522
1588,249.821564527,522
1591,249.908911732,607
1592,249.926033458,607
1595,249.952711206,692
1596,250.076376508,692
1597,250.076395603,2120
1600,250.279268109,2217
1601,250.343505136,2217
1604,250.480110971,2590
1605,250.485710957,2590
1608,250.548879871,2691
1609,250.555282548,2691
1612,250.673841626,2776
1613,250.677068360,2776
1616,250.817572717,2861
1617,252.780337020,2861
1620,252.816715852,2946
1625,254.822104584,2946
1628,254.992502903,3031
1634,256.997735598,3031
1639,257.054262972,3116
1642,259.059359701,3116
1645,259.292759071,3201
1646,261.297897298,3201
1649,261.392200084,3286
1650,261.395858989,3286
1653,261.427873973,3371
1656,261.487124733,3456
1657,261.487176558,3525
1658,261.685447043,3525
1668,266.552656799,3526
1670,266.552671458,3526
1681,269.251453833,
1696,269.688838037,0
1698,269.942968672,1
1700,269.955064873,1
1701,269.960670521,1
1704,270.032581033,203
1706,270.032604443,203
1709,270.117493196,203
1710,270.129199281,203
1712,270.168619505,245
1715,270.305575604,336
1717,270.348532017,336
1718,270.374985285,336
1721,270.436905736,437
1722,270.458822800,437
1725,270.648236193,522
1726,270.653125900,522
1729,271.028880888,607
1730,271.043276346,607
1732,271.047097718,692
1735,271.114794019,692
1736,271.239002402,692
1737,271.239018164,2120
