frame.number,frame.time_relative,tcp.seq
179,53.961519000,
181,54.499054000,0
183,54.595039000,1
185,54.632549000,1
190,54.748339000,203
191,54.748340000,203
193,54.816907000,203
194,54.816908000,203
196,54.872916000,245
210,54.960071000,336
212,55.006746000,336
213,55.014031000,336
216,55.170719000,437
217,55.172149000,437
220,55.228379000,522
221,55.228380000,522
224,55.318430000,607
227,55.456324000,692
228,55.506656000,692
229,55.506657000,2120
232,55.637354000,2217
233,55.685886000,2217
236,55.768975000,2590
237,55.768976000,2590
240,55.911853000,2691
241,55.911854000,2691
244,55.962603000,2776
245,55.962604000,2776
248,56.076714000,2861
251,58.070463000,2861
254,58.241420000,2946
257,60.348434000,2946
260,60.485230000,3031
261,62.507842000,3031
264,62.537439000,3116
265,64.621716000,3116
269,64.933371000,3201
270,64.933372000,3201
271,67.011905000,3201
274,67.082251000,3286
275,67.089776000,3286
279,67.524409000,3371
282,67.540786000,3456
283,67.550532000,3456
285,67.561296000,3456
286,67.561296000,3525
303,72.713496000,3526
304,72.713497000,3526
305,75.365173000,
307,75.909878000,0
309,76.010534000,1
311,76.028275000,1
316,76.064304000,203
317,76.064327000,203
319,76.097710000,203
320,76.101307000,203
322,76.200343000,245
325,76.293350000,336
327,76.316512000,336
328,76.362309000,336
331,76.423381000,437
332,76.441545000,437
335,76.522955000,522
336,76.532013000,522
339,76.618921000,607
340,76.618922000,607
343,76.653875000,692
344,76.821201000,692
345,76.821203000,2120
348,76.867870000,2217
349,76.957220000,2217
352,77.053303000,2590
353,77.053304000,2590
356,77.188818000,2691
357,77.200192000,2691
360,77.339305000,2776
361,77.339306000,2776
364,77.453131000,2861
365,79.477158000,2861
368,79.579209000,2946
377,81.624287000,2946
380,81.702229000,3031
385,83.780844000,3031
388,83.950116000,3116
389,86.028120000,3116
392,86.126466000,3201
393,88.175965000,3201
396,88.227383000,3286
397,88.227703000,3286
400,88.254328000,3371
403,88.336271000,3456
404,88.336271000,3525
424,93.271856000,3526
425,93.272717000,3526
430,96.152098000,
432,96.682294000,0
435,96.853033000,1
436,96.853034000,1
438,96.878660000,1
443,96.939056000,203
444,96.939057000,203
446,96.955838000,203
447,96.994098000,203
449,97.004128000,245
452,97.155684000,336
454,97.171998000,336
455,97.191539000,336
458,97.274327000,437
459,97.279194000,437
462,97.296973000,522
463,97.314625000,522
466,97.424551000,607
467,97.459744000,607
470,97.488586000,692
471,97.631606000,692
472,97.631607000,2120
475,97.700873000,2217
476,97.778659000,2217
479,97.898238000,2590
480,97.898239000,2590
483,98.003497000,2691
484,98.007792000,2691
487,98.078930000,2776
488,98.078931000,2776
491,98.181267000,2861
492,100.177176000,2861
495,100.269575000,2946
498,102.325436000,2946
501,102.358048000,3031
502,104.469389000,3031
505,104.590340000,3116
506,106.723389000,3116
509,106.821933000,3201
510,108.870020000,3201
513,108.982986000,3286
514,108.982987000,3286
517,109.030647000,3371
520,109.151678000,3456
521,109.151679000,3525
556,114.143243000,3526
557,114.143244000,3526
558,116.939868000,
560,117.284975000,0
563,117.426654000,1
564,117.426655000,1
567,117.429947000,203
571,117.578919000,203
572,117.578920000,203
574,117.602329000,203
575,117.614801000,203
577,117.634235000,245
580,117.727229000,336
582,117.783744000,336
583,117.804565000,336
586,117.910166000,437
587,117.910168000,437
590,117.978484000,522
591,117.981079000,522
594,118.056548000,607
597,118.153293000,692
598,118.223195000,692
599,118.223196000,2120
602,118.286777000,2217
603,118.833729000,2217
606,118.978343000,2590
607,118.978344000,2590
610,119.111021000,2691
611,119.111022000,2691
615,119.433390000,2776
616,119.433391000,2776
619,119.607254000,2861
620,119.646319000,2861
621,121.655395000,2861
624,121.670120000,2946
637,123.705257000,2946
640,123.730568000,3031
651,125.896563000,3031
654,126.009622000,3116
657,128.107407000,3116
660,128.219925000,3201
661,130.295195000,3201
664,130.314743000,3286
665,130.317136000,3286
668,130.387282000,3371
671,130.465322000,3456
672,130.465323000,3525
686,135.504099000,3526
687,135.504101000,3526
688,138.239685000,
690,138.700676000,0
693,138.804220000,1
695,138.810815000,1
696,138.831014000,1
