frame.number,frame.time_relative,tcp.seq
180,53.971877000,
182,54.499582000,0
184,54.595236000,1
186,54.632616000,1
187,54.673271000,1
188,54.673572000,91
189,54.673586000,1519
192,54.748408000,1529
195,54.817098000,1658
197,54.873018000,1658
202,54.876162000,1658
211,54.960195000,1664
214,55.014200000,1749
215,55.112824000,1749
218,55.172194000,1818
219,55.178491000,1818
222,55.228482000,1919
223,55.236824000,1919
225,55.318601000,2084
226,55.331161000,2084
230,55.506817000,2169
231,55.576849000,2169
234,55.685980000,2270
235,55.700911000,2270
238,55.769135000,2355
239,55.798899000,2355
242,55.912015000,2760
243,55.923737000,2760
246,55.962715000,2845
247,55.971795000,2845
252,58.070613000,2962
253,58.081084000,2962
258,60.348555000,3079
259,60.355912000,3079
262,62.507991000,3196
263,62.517952000,3196
266,64.621912000,3313
267,64.633883000,3313
268,64.891440000,3313
272,67.012290000,3430
273,67.021896000,3430
276,67.090132000,3547
277,67.099743000,3547
278,67.320553000,3547
280,67.524574000,3632
281,67.534666000,3632
287,67.561521000,3717
300,72.542297000,3717
301,72.543192000,3786
302,72.543744000,3787
306,75.367342000,
308,75.910514000,0
310,76.010634000,1
312,76.028346000,1
313,76.038026000,1
314,76.038131000,91
315,76.038143000,1519
318,76.064370000,1529
321,76.101401000,1658
323,76.200451000,1658
324,76.201402000,1658
326,76.293575000,1664
329,76.362485000,1749
330,76.373714000,1749
333,76.441694000,1818
334,76.451918000,1818
337,76.532162000,1919
338,76.542808000,1919
341,76.619105000,2084
342,76.628780000,2084
346,76.821365000,2169
347,76.858030000,2169
350,76.957370000,2270
351,76.978094000,2270
354,77.053472000,2355
355,77.075722000,2355
358,77.200342000,2760
359,77.209795000,2760
362,77.339476000,2845
363,77.348460000,2845
366,79.477309000,2962
367,79.486456000,2962
378,81.624443000,3079
379,81.633812000,3079
386,83.781005000,3196
387,83.789743000,3196
390,86.028189000,3313
391,86.032920000,3313
394,88.176354000,3430
395,88.184740000,3430
398,88.228053000,3547
399,88.234111000,3547
401,88.254505000,3632
402,88.262870000,3632
405,88.336392000,3717
406,88.336439000,3717
421,93.266369000,3717
422,93.266597000,3786
423,93.266684000,3787
431,96.153876000,
433,96.682998000,0
434,96.784321000,0
437,96.853209000,1
439,96.878731000,1
440,96.887169000,1
441,96.887325000,91
442,96.887349000,1519
445,96.939218000,1529
448,96.994277000,1658
450,97.004218000,1658
451,97.005591000,1658
453,97.155838000,1664
456,97.191713000,1749
457,97.201083000,1749
460,97.279355000,1818
461,97.287279000,1818
464,97.314775000,1919
465,97.325123000,1919
468,97.459929000,2084
469,97.467882000,2084
473,97.631697000,2169
474,97.655568000,2169
477,97.778812000,2270
478,97.798687000,2270
481,97.898399000,2355
482,97.917234000,2355
485,98.007950000,2760
486,98.016842000,2760
489,98.079089000,2845
490,98.086894000,2845
493,100.177335000,2962
494,100.185603000,2962
499,102.325630000,3079
500,102.333658000,3079
503,104.469565000,3196
504,104.477662000,3196
507,106.723565000,3313
508,106.730853000,3313
511,108.870385000,3430
512,108.878073000,3430
515,108.983148000,3547
516,108.990674000,3547
518,109.030755000,3632
519,109.035586000,3632
522,109.151837000,3717
523,109.151933000,3717
553,114.041488000,3717
554,114.041719000,3786
555,114.041810000,3787
559,116.941692000,
561,117.285599000,0
562,117.386944000,0
565,117.426832000,1
566,117.427019000,1
568,117.444020000,1
569,117.444149000,91
570,117.444166000,1519
573,117.579086000,1529
576,117.614878000,1658
578,117.634442000,1658
579,117.635564000,1658
581,117.727381000,1664
584,117.804752000,1749
585,117.813485000,1749
588,117.910328000,1818
589,117.917414000,1818
592,117.981228000,1919
593,117.989273000,1919
595,118.056711000,2084
596,118.063999000,2084
600,118.223363000,2169
601,118.260158000,2169
604,118.834233000,2270
605,118.852510000,2270
608,118.978506000,2355
609,118.997613000,2355
612,119.111186000,2760
613,119.120968000,2760
614,119.368511000,2760
617,119.433552000,2845
618,119.441008000,2845
622,121.655545000,2962
623,121.663220000,2962
638,123.705404000,3079
639,123.714813000,3079
652,125.896717000,3196
653,125.906131000,3196
658,128.107585000,3313
659,128.114909000,3313
662,130.295556000,3430
663,130.302505000,3430
666,130.317451000,3547
667,130.323878000,3547
669,130.387474000,3632
670,130.393449000,3632
673,130.465501000,3717
674,130.465605000,3717
683,135.399087000,3717
684,135.399406000,3786
685,135.399536000,3787
689,138.241319000,
691,138.701271000,0
692,138.802589000,0
694,138.804402000,1
697,138.831163000,1
698,138.844592000,1
699,138.844761000,91
700,138.844782000,1519
703,138.932313000,1529
706,138.959707000,1658
708,139.028126000,1658
709,139.031010000,1658
711,139.127181000,1664
714,139.179518000,1749
715,139.187352000,1749
718,139.297412000,1818
719,139.303964000,1818
722,139.444345000,1919
723,139.451769000,1919
726,139.534045000,2084
727,139.540346000,2084
731,139.805847000,2169
732,139.844768000,2169
735,140.040065000,2270
737,140.058145000,2270
740,140.247452000,2355
741,140.265584000,2355
744,140.451480000,2760
745,140.457519000,2760
749,140.546117000,2845
750,140.552855000,2845
753,142.683925000,2962
754,142.691508000,2962
759,145.013475000,3079
760,145.021842000,3079
763,147.169629000,3196
764,147.177847000,3196
769,149.433700000,3313
770,149.440365000,3313
775,151.557248000,3430
776,151.563508000,3430
779,151.628443000,3547
780,151.634344000,3547
782,151.645159000,3632
783,151.651072000,3632
786,151.696564000,3717
787,151.696687000,3717
813,156.657368000,3717
814,156.657628000,3786
815,156.657691000,3787
820,159.440988000,
822,159.875355000,0
823,159.975953000,0
825,160.026676000,1
828,160.030473000,1
829,160.045067000,1
830,160.045207000,91
831,160.045225000,1519
834,160.069490000,1529
837,160.107222000,1658
839,160.178988000,1658
840,160.181175000,1658
842,160.270844000,1664
