frame.number,frame.time_relative,tcp.seq
6,5.959423373,
8,6.263692501,0
10,6.267534722,1
12,6.288328321,1
13,6.450734668,1
15,6.450770731,91
17,6.456511619,1529
20,6.487877074,1658
22,6.492312402,1658
23,6.501470300,1658
25,6.554218951,1664
28,6.589170427,1749
29,6.757468841,1749
32,6.829075467,1818
33,6.842963637,1818
36,6.853521009,1919
37,6.875281951,1919
40,6.941135338,2084
41,6.954685510,2084
45,7.087910660,2169
46,7.152212725,2169
49,7.223495374,2270
50,7.251653677,2270
53,7.262168645,2355
54,7.285213927,2355
57,7.343128507,2760
58,7.356091101,2760
61,7.364128874,2845
62,7.373296631,2845
67,9.424028750,2962
68,9.434156819,2962
84,11.453476135,3079
85,11.465102367,3079
97,13.535602546,3196
98,13.535618834,3196
101,15.566547447,3313
102,15.573259753,3313
113,17.615611129,3430
114,17.625175276,3430
117,17.632026368,3547
118,17.640181841,3547
120,17.649588926,3632
121,17.655886759,3632
124,17.666928845,3717
125,17.666939160,3717
126,22.731396472,3717
128,22.731434369,3786
130,22.731440928,3787
138,25.487725715,
142,25.802287287,0
144,25.806281820,1
146,25.824232825,1
147,25.834227873,1
149,25.840031569,91
151,25.844374716,1529
154,25.874603861,1657
156,25.879076645,1657
159,25.886557913,1657
160,25.886702711,1657
162,25.936672539,1663
165,25.969477256,1748
166,25.981717758,1748
171,26.039839957,1817
172,26.050084696,1817
175,26.059695631,1918
176,26.070246690,1918
179,26.123222269,2083
180,26.132237863,2083
188,26.263514062,2168
189,26.264974714,2168
190,26.306597166,2168
193,26.390014947,2269
194,26.410785065,2269
197,26.420495464,2354
198,26.442289965,2354
203,26.496159268,2759
204,26.500773147,2759
207,26.507596947,2844
208,26.511875384,2844
217,28.573489835,2961
218,28.582423388,2961
229,30.614021155,3078
230,30.614310212,3078
251,32.700194876,3195
252,32.700209516,3195
264,34.917911574,3312
265,34.917926546,3312
270,36.930692984,3429
271,36.939004179,3429
274,36.947592350,3546
275,36.952910191,3546
277,36.963530253,3631
278,36.965839231,3631
281,36.977522590,3716
282,36.977590503,3716
287,42.084306889,3716
289,42.084337625,3785
291,42.084342026,3786
317,44.752575622,
319,45.258117131,0
321,45.260200927,0
323,45.260299738,1
325,45.280431326,1
326,45.285076938,1
328,45.285208524,91
330,45.285564621,1519
332,45.287997549,1529
335,45.320525966,1658
337,45.328213464,1658
339,45.330098116,1658
340,45.330963153,1658
342,45.377054448,1664
345,45.406819060,1749
346,45.415583124,1749
349,45.482261753,1818
350,45.490035961,1818
353,45.500947069,1919
354,45.519077237,1919
357,45.572201686,2084
358,45.576877688,2084
362,45.704865802,2169
363,45.742704155,2169
366,45.827317178,2270
367,45.837270577,2270
370,45.852773723,2355
371,45.871940510,2355
373,45.928094628,2760
374,45.936828113,2760
376,45.945196593,2845
377,45.953538440,2845
380,48.029160894,2962
381,48.037658926,2962
388,50.189751685,3079
389,50.189767886,3079
392,52.226580753,3196
393,52.234609540,3196
396,54.276683629,3313
397,54.286538875,3313
400,56.321888465,3430
401,56.329455338,3430
404,56.337353059,3547
405,56.342691138,3547
407,56.355561698,3632
408,56.362758747,3632
411,56.373132741,3717
412,56.373277834,3717
413,61.437330685,3717
415,61.437361670,3786
417,61.437365960,3787
422,64.205754323,
424,64.713728119,0
426,64.718606640,0
428,64.729199468,1
430,64.745788112,1
431,64.751296930,1
433,64.751437513,91
435,64.758963677,1529
438,64.786867010,1658
440,64.791728397,1658
442,64.796331147,1658
443,64.798349522,1658
445,64.847740262,1664
448,64.878874290,1749
449,64.882734624,1749
451,64.946379304,1818
452,64.955313679,1818
454,64.970257273,1919
455,64.974542917,1919
457,65.029192582,2084
458,65.037546434,2084
462,65.166960082,2169
463,65.216717922,2169
466,65.300874714,2270
467,65.321854146,2270
470,65.334480767,2355
471,65.344135026,2355
474,65.406215069,2760
475,65.411052357,2760
478,65.418622163,2845
479,65.421877665,2845
482,67.483786747,2962
483,67.490944594,2962
486,69.531706938,3079
487,69.539187402,3079
494,71.549663793,3196
495,71.556662613,3196
498,73.633592013,3313
499,73.640578676,3313
506,75.673768088,3430
507,75.679722155,3430
510,75.686640312,3547
511,75.692296118,3547
513,75.697870066,3632
514,75.702390162,3632
517,75.712289634,3717
518,75.713086421,3717
564,80.713821433,3717
566,80.713856516,3786
568,80.713921537,3787
602,83.665314071,
617,84.170721617,0
619,84.172919168,0
621,84.173051114,1
623,84.194390905,1
624,84.207762781,1
626,84.207793772,91
628,84.214996630,1529
631,84.250351060,1658
633,84.254034135,1658
635,84.258721505,1658
636,84.258732030,1658
638,84.307471627,1664
641,84.340346673,1749
642,84.349348383,1749
645,84.412483617,1818
646,84.416895551,1818
651,84.429318017,1919
652,84.433588404,1919
655,84.486155929,2084
656,84.489519908,2084
660,84.621347660,2169
661,84.661520928,2169
666,84.734697275,2270
667,84.754929918,2270
670,84.764617817,2355
