frame.number,frame.time_relative,tcp.seq
5,5.900519072,
7,6.257492195,0
9,6.263718648,1
11,6.283155618,1
14,6.450755928,203
16,6.450772489,203
18,6.456528975,203
19,6.480793096,203
21,6.487899380,245
24,6.545976802,336
26,6.554241440,336
27,6.581937255,336
30,6.801416743,437
31,6.823956748,437
34,6.842988505,522
35,6.849486384,522
38,6.921430409,607
39,6.937953687,607
42,6.954722579,692
43,7.080294053,692
44,7.080308704,2120
47,7.152324024,2217
48,7.219097046,2217
51,7.251770043,2590
52,7.257131528,2590
55,7.325435961,2691
56,7.340088973,2691
59,7.356440428,2776
60,7.359429195,2776
63,7.413517779,2861
66,9.378993076,2861
69,9.434204715,2946
83,11.439064920,2946
86,11.465122795,3031
96,13.470622676,3031
99,13.535631835,3116
100,15.540915456,3116
103,15.573282674,3201
112,17.578367935,3201
115,17.625197580,3286
116,17.628747115,3286
119,17.643515308,3371
122,17.664301107,3456
123,17.664346018,3525
127,22.731418935,3526
129,22.731436985,3526
135,25.395220570,
139,25.793923997,0
143,25.802301874,1
145,25.819326667,1
148,25.834248606,203
150,25.840066964,203
152,25.844389343,203
153,25.869593745,203
155,25.875269307,245
157,25.879088594,251
161,25.930122856,336
163,25.936693965,336
164,25.963323188,336
169,26.025424004,437
170,26.034871384,437
173,26.050108854,522
174,26.055108630,522
177,26.113441732,607
178,26.118850508,607
181,26.132294856,692
182,26.252401460,692
183,26.252414872,2120
191,26.306653666,2217
192,26.385370040,2217
195,26.410962811,2590
196,26.416047294,2590
201,26.485413037,2691
202,26.492461275,2691
205,26.500959668,2776
206,26.504074941,2776
209,26.553440101,2861
216,28.517340788,2861
219,28.582488625,2946
226,30.587802191,2946
231,30.614327165,3031
248,32.619327345,3031
253,32.700224458,3116
263,34.705193347,3116
266,34.917940419,3201
269,36.923025525,3201
272,36.939055296,3286
273,36.942527904,3286
276,36.956216278,3371
279,36.973329482,3456
280,36.973380976,3525
288,42.084322787,3526
290,42.084339641,3526
316,44.723545567,
318,45.046791620,0
320,45.258139199,1
322,45.260226590,1
324,45.278320716,1
327,45.285092015,203
329,45.285213064,203
331,45.285569791,203
333,45.288011970,203
334,45.318284487,203
336,45.326154394,245
338,45.328225520,251
341,45.373914310,336
343,45.377077484,336
344,45.403561739,336
347,45.457455125,437
348,45.478438086,437
351,45.490057755,522
352,45.496746227,522
355,45.569420512,607
356,45.570141806,607
359,45.577043604,692
360,45.698196685,692
361,45.698211918,2120
364,45.742761703,2217
365,45.813744842,2217
368,45.837391929,2590
369,45.842161335,2590
372,45.922983731,2691
375,45.940189129,2776
378,46.001454219,2861
379,47.959759381,2861
382,48.037681836,2946
387,50.043353265,2946
390,50.189780418,3031
391,52.194364936,3031
394,52.234633179,3116
395,54.239670580,3116
398,54.286561682,3201
399,56.291877354,3201
402,56.329479283,3286
403,56.332943215,3286
406,56.345993356,3371
409,56.370181195,3456
410,56.370230875,3525
414,61.437346716,3526
416,61.437363705,3526
419,64.120559157,
423,64.498334564,0
425,64.713765869,1
427,64.718635497,1
429,64.733433796,1
432,64.751306616,203
434,64.751442368,203
436,64.758998674,203
437,64.782179325,203
439,64.787677742,245
441,64.791739782,251
444,64.842118923,336
446,64.847762249,336
447,64.874436855,336
450,64.941414406,437
453,64.961608539,522
456,65.024909004,607
459,65.089414403,692
460,65.160743583,692
461,65.160759171,2120
464,65.216738590,2217
465,65.295728004,2217
468,65.321961554,2590
469,65.329142168,2590
472,65.385457298,2691
473,65.402526529,2691
476,65.411243486,2776
477,65.414497696,2776
480,65.465516750,2861
481,67.428020070,2861
484,67.490966424,2946
485,69.496673835,2946
488,69.539208960,3031
493,71.544609026,3031
496,71.556684693,3116
497,73.561913595,3116
500,73.640600002,3201
505,75.645721905,3201
508,75.679743965,3286
509,75.683265587,3286
512,75.695785415,3371
515,75.710035226,3456
516,75.710081778,3525
565,80.713843057,3526
567,80.713858865,3526
601,83.438860536,
616,83.949197292,0
618,84.170748086,1
620,84.172939685,1
622,84.190455636,1
625,84.207780746,203
627,84.207795753,203
629,84.215102507,203
630,84.244658197,203
632,84.250378033,245
634,84.254047862,251
637,84.301454968,336
639,84.307492348,336
640,84.336487743,336
643,84.389464717,437
644,84.408959304,437
647,84.416909228,522
648,84.422854215,522
653,84.477427565,607
654,84.482788337,607
657,84.489527192,692
658,84.615553805,692
659,84.615566999,2120
662,84.661589719,2217
665,84.730637650,2217
668,84.755064472,2590
669,84.760492825,2590
672,84.833385727,2691
675,84.846139035,2776
676,84.849372096,2776
679,84.905449452,2861
680,86.867765015,2861
683,86.947721328,2946
688,88.953748050,2946
691,88.998946555,3031
696,91.004378437,3031
699,91.023610017,3116
709,93.028654300,3116
712,93.088370361,3201
716,95.093906716,3201
719,95.105980129,3286
720,95.109652996,3286
723,95.121220709,3371
726,95.137978347,3456
727,95.138024619,3525
764,100.247181943,3526
766,100.247197837,3526
770,102.861622385,
772,103.179321612,0
774,103.219146335,1
776,103.244390853,1
779,103.254270179,203
781,103.254298255,203
