frame.number,frame.time_relative,tcp.seq
42,20.375182000,
46,20.700002000,0
48,20.704901000,1
50,20.725674000,1
55,20.891497000,203
56,20.893306000,203
58,20.897349000,203
59,20.921955000,203
61,20.929280000,245
64,20.990938000,336
66,20.994692000,336
67,21.024121000,336
70,21.242114000,437
71,21.265722000,437
74,21.283225000,522
75,21.290500000,522
78,21.362001000,607
79,21.378515000,607
82,21.394633000,692
83,21.525037000,692
84,21.525038000,2120
87,21.592716000,2217
88,21.660082000,2217
91,21.692052000,2590
92,21.697297000,2590
95,21.765769000,2691
96,21.780509000,2691
99,21.796709000,2776
100,21.799673000,2776
103,21.854470000,2861
104,23.861317000,2861
107,23.875489000,2946
112,25.890725000,2946
115,25.905116000,3031
121,27.961474000,3031
124,27.975775000,3116
125,30.004011000,3116
128,30.013564000,3201
129,32.052856000,3201
132,32.065972000,3286
133,32.069571000,3286
136,32.084335000,3371
139,32.105193000,3456
140,32.105194000,3525
159,37.172611000,3526
160,37.172613000,3526
165,39.921667000,
170,40.240626000,0
172,40.245086000,1
174,40.263286000,1
179,40.280578000,203
180,40.282447000,203
182,40.288068000,203
183,40.312264000,203
185,40.316954000,245
187,40.321863000,251
191,40.372404000,336
193,40.378701000,336
194,40.406349000,336
199,40.467695000,437
200,40.477330000,437
203,40.492102000,522
204,40.497035000,522
209,40.555353000,607
210,40.560692000,607
213,40.573835000,692
218,40.698521000,692
220,40.702377000,2120
223,40.748077000,2217
224,40.827567000,2217
227,40.855466000,2590
228,40.857749000,2590
233,40.926779000,2691
234,40.933833000,2691
237,40.942335000,2776
238,40.945399000,2776
241,40.998291000,2861
267,43.010881000,2861
270,43.025270000,2946
280,45.043336000,2946
285,45.058188000,3031
411,47.129386000,3031
416,47.143036000,3116
442,49.263955000,3116
445,49.362090000,3201
453,51.368093000,3201
456,51.382148000,3286
457,51.385604000,3286
460,51.399320000,3371
463,51.415810000,3456
464,51.415810000,3525
476,56.526512000,3526
477,56.526771000,3526
480,59.185554000,
482,59.598999000,0
485,59.700697000,1
487,59.702587000,1
488,59.720793000,1
493,59.727846000,203
494,59.728320000,203
495,59.728425000,203
497,59.730596000,203
498,59.760777000,203
500,59.768683000,245
502,59.770595000,251
505,59.816757000,336
507,59.819594000,336
508,59.846433000,336
511,59.903672000,437
512,59.922336000,437
515,59.932462000,522
516,59.941264000,522
519,60.011903000,607
520,60.012578000,607
523,60.019369000,692
524,60.142892000,692
525,60.142894000,2120
528,60.185202000,2217
529,60.258990000,2217
532,60.289731000,2590
533,60.291339000,2590
536,60.367161000,2691
539,60.384212000,2776
542,60.445717000,2861
546,62.467720000,2861
549,62.481513000,2946
550,64.514362000,2946
553,64.632955000,3031
636,66.666260000,3031
639,66.678856000,3116
640,68.716597000,3116
643,68.731150000,3201
647,70.761283000,3201
651,70.773865000,3286
652,70.777598000,3286
655,70.795773000,3371
658,70.813812000,3456
659,70.813814000,3525
667,75.881083000,3526
668,75.881083000,3526
708,78.641797000,
710,79.059165000,0
713,79.160210000,1
715,79.164501000,1
716,79.183938000,1
721,79.197817000,203
722,79.200516000,203
724,79.204809000,203
725,79.228288000,203
727,79.233321000,245
729,79.237906000,251
732,79.288701000,336
734,79.294998000,336
735,79.320460000,336
738,79.387739000,437
741,79.407861000,522
744,79.470504000,607
747,79.535079000,692
748,79.608091000,692
749,79.608093000,2120
752,79.662013000,2217
754,79.742009000,2217
757,79.769833000,2590
758,79.775295000,2590
761,79.830695000,2691
762,79.847833000,2691
765,79.856694000,2776
766,79.859649000,2776
769,79.911041000,2861
772,81.923195000,2861
777,81.936366000,2946
778,83.972488000,2946
781,83.984468000,3031
786,85.990399000,3031
789,86.001110000,3116
792,88.074546000,3116
