frame.number,frame.time_relative,tcp.seq
43,20.388805000,
47,20.700626000,0
49,20.705073000,1
51,20.725798000,1
52,20.843119000,1
53,20.843449000,91
54,20.843474000,1519
57,20.893355000,1529
60,20.922100000,1658
62,20.929332000,1658
63,20.938973000,1658
65,20.991031000,1664
68,21.024324000,1749
69,21.177029000,1749
72,21.265865000,1818
73,21.279834000,1818
76,21.290591000,1919
77,21.312469000,1919
80,21.378674000,2084
81,21.391464000,2084
85,21.525188000,2169
86,21.588922000,2169
89,21.660227000,2270
90,21.687962000,2270
93,21.697433000,2355
94,21.721015000,2355
97,21.780633000,2760
98,21.792860000,2760
101,21.799817000,2845
102,21.809814000,2845
105,23.861467000,2962
106,23.871573000,2962
113,25.890892000,3079
114,25.899022000,3079
122,27.961616000,3196
123,27.971671000,3196
126,30.004086000,3313
127,30.010725000,3313
130,32.053230000,3430
131,32.062696000,3430
134,32.069882000,3547
135,32.077990000,3547
137,32.084561000,3632
138,32.093563000,3632
141,32.105289000,3717
142,32.105351000,3717
156,37.102388000,3717
157,37.103251000,3786
158,37.103871000,3787
166,39.923793000,
171,40.241245000,0
173,40.245265000,1
175,40.263362000,1
176,40.273040000,1
177,40.273167000,91
178,40.273171000,1519
181,40.282513000,1529
184,40.312365000,1657
186,40.317006000,1657
188,40.321908000,1657
190,40.322472000,1657
192,40.372649000,1663
195,40.406505000,1748
196,40.418212000,1748
201,40.477456000,1817
202,40.487650000,1817
205,40.497192000,1918
208,40.507737000,1918
211,40.560825000,2083
212,40.569762000,2083
219,40.698688000,2168
221,40.702541000,2168
222,40.741782000,2168
225,40.827710000,2269
226,40.848382000,2269
229,40.857902000,2354
230,40.879615000,2354
235,40.933877000,2759
236,40.938474000,2759
239,40.945457000,2844
240,40.948771000,2844
268,43.011038000,2961
269,43.020119000,2961
281,45.043447000,3078
282,45.049243000,3078
413,47.129578000,3195
415,47.133826000,3195
443,49.264315000,3312
444,49.272467000,3312
454,51.368445000,3429
455,51.377041000,3429
458,51.385741000,3546
459,51.390881000,3546
461,51.399389000,3631
462,51.403623000,3631
465,51.415917000,3716
466,51.415960000,3716
473,56.409694000,3716
474,56.409942000,3785
475,56.410001000,3786
481,59.187509000,
483,59.599582000,0
484,59.700683000,0
486,59.700747000,1
489,59.720861000,1
490,59.725341000,1
491,59.725446000,91
492,59.725460000,1519
496,59.728460000,1529
499,59.760847000,1658
501,59.768745000,1658
503,59.770638000,1658
504,59.771138000,1658
506,59.816886000,1664
509,59.846583000,1749
510,59.855167000,1749
513,59.922479000,1818
514,59.930364000,1818
517,59.941365000,1919
518,59.948992000,1919
521,60.012627000,2084
522,60.017132000,2084
526,60.143040000,2169
527,60.182030000,2169
530,60.259103000,2270
531,60.268707000,2270
534,60.291455000,2355
535,60.309870000,2355
537,60.367290000,2760
538,60.375840000,2760
540,60.384378000,2845
